model,element,stratification,stratum,n_variants,spearman
bilstm_baseline_mse_seed42,F9,position,0,144,0.33935975479755026
bilstm_baseline_mse_seed42,F9,position,1,105,0.6834072909082213
bilstm_baseline_mse_seed42,F9,position,2,126,0.154258310349762
bilstm_baseline_mse_seed42,F9,position,3,170,0.3516071616632596
bilstm_baseline_mse_seed42,F9,position,4,126,0.23690197635847884
bilstm_baseline_mse_seed42,F9,mutation_type,False,447,0.34328679119709504
bilstm_baseline_mse_seed42,F9,mutation_type,True,224,0.3354729351599436
bilstm_baseline_mse_seed42,F9,effect_size,0,171,-0.0350127819970833
bilstm_baseline_mse_seed42,F9,effect_size,1,168,0.12858004802262696
bilstm_baseline_mse_seed42,F9,effect_size,2,169,0.29757494515090255
bilstm_baseline_mse_seed42,F9,effect_size,3,163,0.6318239789090634
bilstm_baseline_mse_seed42,F9,gc_context,0,206,0.2817600138629233
bilstm_baseline_mse_seed42,F9,gc_context,1,162,0.47829660421498377
bilstm_baseline_mse_seed42,F9,gc_context,2,225,0.3442577606717881
bilstm_baseline_mse_seed42,F9,gc_context,3,78,0.16819215428544534
bilstm_baseline_mse_seed42,GP1BB,position,0,186,0.009200830541015241
bilstm_baseline_mse_seed42,GP1BB,position,1,150,0.5434736694055584
bilstm_baseline_mse_seed42,GP1BB,position,2,168,0.503781199827758
bilstm_baseline_mse_seed42,GP1BB,position,3,183,0.4680715775142636
bilstm_baseline_mse_seed42,GP1BB,position,4,182,-0.18730193471918632
bilstm_baseline_mse_seed42,GP1BB,mutation_type,False,579,0.3235965736845385
bilstm_baseline_mse_seed42,GP1BB,mutation_type,True,290,0.29446632885828544
bilstm_baseline_mse_seed42,GP1BB,effect_size,0,239,-0.08318567175379223
bilstm_baseline_mse_seed42,GP1BB,effect_size,1,210,-0.049881735726969884
bilstm_baseline_mse_seed42,GP1BB,effect_size,2,207,0.1653416909108416
bilstm_baseline_mse_seed42,GP1BB,effect_size,3,213,0.5588485342591714
bilstm_baseline_mse_seed42,GP1BB,gc_context,0,239,0.21344978603604067
bilstm_baseline_mse_seed42,GP1BB,gc_context,1,228,0.0777773272618225
bilstm_baseline_mse_seed42,GP1BB,gc_context,2,276,0.3998776686949653
bilstm_baseline_mse_seed42,GP1BB,gc_context,3,126,0.6075221839591657
bilstm_baseline_mse_seed42,HBB,position,0,60,0.23258154891280233
bilstm_baseline_mse_seed42,HBB,position,1,105,0.23268726259187103
bilstm_baseline_mse_seed42,HBB,position,2,75,0.3989181947387112
bilstm_baseline_mse_seed42,HBB,position,3,87,0.5820178443082367
bilstm_baseline_mse_seed42,HBB,position,4,105,0.3712065142296885
bilstm_baseline_mse_seed42,HBB,mutation_type,False,288,0.36343642087863515
bilstm_baseline_mse_seed42,HBB,mutation_type,True,144,0.4252173801722605
bilstm_baseline_mse_seed42,HBB,effect_size,0,109,0.10864386459322718
bilstm_baseline_mse_seed42,HBB,effect_size,1,108,0.08462612227840564
bilstm_baseline_mse_seed42,HBB,effect_size,2,115,0.2599206134131529
bilstm_baseline_mse_seed42,HBB,effect_size,3,100,0.6103759613610619
bilstm_baseline_mse_seed42,HBB,gc_context,0,156,0.14002013542741132
bilstm_baseline_mse_seed42,HBB,gc_context,1,99,0.3467891946263253
bilstm_baseline_mse_seed42,HBB,gc_context,2,84,0.3617505470017567
bilstm_baseline_mse_seed42,HBB,gc_context,3,93,0.7292673767808608
bilstm_baseline_mse_seed42,HBG1,position,0,117,0.0527385996406872
bilstm_baseline_mse_seed42,HBG1,position,1,117,0.37831033040945095
bilstm_baseline_mse_seed42,HBG1,position,2,117,0.2866243410724599
bilstm_baseline_mse_seed42,HBG1,position,3,165,0.6482637814160266
bilstm_baseline_mse_seed42,HBG1,position,4,117,0.23110146912355692
bilstm_baseline_mse_seed42,HBG1,mutation_type,False,422,0.36531815470911344
bilstm_baseline_mse_seed42,HBG1,mutation_type,True,211,0.3229090377929145
bilstm_baseline_mse_seed42,HBG1,effect_size,0,184,0.00732133953306585
bilstm_baseline_mse_seed42,HBG1,effect_size,1,141,0.06514046148614329
bilstm_baseline_mse_seed42,HBG1,effect_size,2,150,0.24292299860546343
bilstm_baseline_mse_seed42,HBG1,effect_size,3,158,0.6509727180271311
bilstm_baseline_mse_seed42,HBG1,gc_context,0,198,0.22600184746588234
bilstm_baseline_mse_seed42,HBG1,gc_context,1,219,0.530579501279143
bilstm_baseline_mse_seed42,HBG1,gc_context,2,84,0.2343884092122873
bilstm_baseline_mse_seed42,HBG1,gc_context,3,132,0.36262394582738594
bilstm_baseline_mse_seed42,HNF4A,position,0,144,0.05805678869373169
bilstm_baseline_mse_seed42,HNF4A,position,1,135,0.14881272990377867
bilstm_baseline_mse_seed42,HNF4A,position,2,162,0.2253309059210766
bilstm_baseline_mse_seed42,HNF4A,position,3,87,0.18653241747118104
bilstm_baseline_mse_seed42,HNF4A,position,4,144,0.08747053253988994
bilstm_baseline_mse_seed42,HNF4A,mutation_type,False,448,0.14436581117695155
bilstm_baseline_mse_seed42,HNF4A,mutation_type,True,224,0.16403888707987282
bilstm_baseline_mse_seed42,HNF4A,effect_size,0,168,-0.0258338408246628
bilstm_baseline_mse_seed42,HNF4A,effect_size,1,229,0.08484570378199592
bilstm_baseline_mse_seed42,HNF4A,effect_size,2,128,0.10866540960027611
bilstm_baseline_mse_seed42,HNF4A,effect_size,3,147,0.3025158476374742
bilstm_baseline_mse_seed42,HNF4A,gc_context,0,189,0.19414966925582422
bilstm_baseline_mse_seed42,HNF4A,gc_context,1,150,0.1329334897797809
bilstm_baseline_mse_seed42,HNF4A,gc_context,2,222,0.1053798800523957
bilstm_baseline_mse_seed42,HNF4A,gc_context,3,111,0.16526157404899672
bilstm_baseline_mse_seed42,IRF4,position,0,168,0.09203457266648575
bilstm_baseline_mse_seed42,IRF4,position,1,216,0.11925435982292006
bilstm_baseline_mse_seed42,IRF4,position,2,162,0.2091895786260889
bilstm_baseline_mse_seed42,IRF4,position,3,213,0.08166821931034669
bilstm_baseline_mse_seed42,IRF4,position,4,213,0.1754703579256277
bilstm_baseline_mse_seed42,IRF4,mutation_type,False,648,0.1101727436706616
bilstm_baseline_mse_seed42,IRF4,mutation_type,True,324,0.07248497955104416
bilstm_baseline_mse_seed42,IRF4,effect_size,0,245,0.07174471598097493
bilstm_baseline_mse_seed42,IRF4,effect_size,1,243,0.10372972927756999
bilstm_baseline_mse_seed42,IRF4,effect_size,2,241,0.008967628605960223
bilstm_baseline_mse_seed42,IRF4,effect_size,3,243,0.194296577657832
bilstm_baseline_mse_seed42,IRF4,gc_context,0,291,0.04189337927489991
bilstm_baseline_mse_seed42,IRF4,gc_context,1,273,0.12081253276170675
bilstm_baseline_mse_seed42,IRF4,gc_context,2,261,0.09912011560258398
bilstm_baseline_mse_seed42,IRF4,gc_context,3,147,0.1854083331398219
bilstm_baseline_mse_seed42,IRF6,position,0,312,0.2369965534671064
bilstm_baseline_mse_seed42,IRF6,position,1,357,0.0507487297914211
bilstm_baseline_mse_seed42,IRF6,position,2,236,0.07682341498934753
bilstm_baseline_mse_seed42,IRF6,position,3,190,0.1754825410046493
bilstm_baseline_mse_seed42,IRF6,position,4,262,0.11596181185827491
bilstm_baseline_mse_seed42,IRF6,mutation_type,False,900,0.1573892435193315
bilstm_baseline_mse_seed42,IRF6,mutation_type,True,457,0.1360985430934197
bilstm_baseline_mse_seed42,IRF6,effect_size,0,425,0.06143893997468783
bilstm_baseline_mse_seed42,IRF6,effect_size,1,290,0.1560429820625686
bilstm_baseline_mse_seed42,IRF6,effect_size,2,304,0.10612153316253894
bilstm_baseline_mse_seed42,IRF6,effect_size,3,338,0.19635939679537387
bilstm_baseline_mse_seed42,IRF6,gc_context,0,542,0.2127079530651606
bilstm_baseline_mse_seed42,IRF6,gc_context,1,210,0.2301182694848609
bilstm_baseline_mse_seed42,IRF6,gc_context,2,424,0.026468672653091732
bilstm_baseline_mse_seed42,IRF6,gc_context,3,181,0.18441017227702688
bilstm_baseline_mse_seed42,LDLR,position,0,144,0.04194015923570628
bilstm_baseline_mse_seed42,LDLR,position,1,123,0.5312377568033365
bilstm_baseline_mse_seed42,LDLR,position,2,135,0.4329475007952205
bilstm_baseline_mse_seed42,LDLR,position,3,174,0.3407981131489882
bilstm_baseline_mse_seed42,LDLR,position,4,141,-0.22964783187580384
bilstm_baseline_mse_seed42,LDLR,mutation_type,False,478,0.2724589559898695
bilstm_baseline_mse_seed42,LDLR,mutation_type,True,239,0.2481999676000444
bilstm_baseline_mse_seed42,LDLR,effect_size,0,202,-0.11574842479990759
bilstm_baseline_mse_seed42,LDLR,effect_size,1,171,-0.010710037026164567
bilstm_baseline_mse_seed42,LDLR,effect_size,2,168,0.22674979024314906
bilstm_baseline_mse_seed42,LDLR,effect_size,3,176,0.465920553827288
bilstm_baseline_mse_seed42,LDLR,gc_context,0,198,0.10544554001385405
bilstm_baseline_mse_seed42,LDLR,gc_context,1,207,0.42662267594827974
bilstm_baseline_mse_seed42,LDLR,gc_context,2,222,0.3656066019141605
bilstm_baseline_mse_seed42,LDLR,gc_context,3,90,-0.03883074539985478
bilstm_baseline_mse_seed42,MSMB,position,0,300,0.058529928628435215
bilstm_baseline_mse_seed42,MSMB,position,1,201,0.1071070474660431
bilstm_baseline_mse_seed42,MSMB,position,2,345,0.07366026961817937
bilstm_baseline_mse_seed42,MSMB,position,3,297,0.32216933259681624
bilstm_baseline_mse_seed42,MSMB,position,4,201,0.23035390836903058
bilstm_baseline_mse_seed42,MSMB,mutation_type,False,896,0.1809194430542553
bilstm_baseline_mse_seed42,MSMB,mutation_type,True,448,0.18610543482926784
bilstm_baseline_mse_seed42,MSMB,effect_size,0,438,0.03858576965200861
bilstm_baseline_mse_seed42,MSMB,effect_size,1,270,0.09650200488385023
bilstm_baseline_mse_seed42,MSMB,effect_size,2,311,0.12246991956648723
bilstm_baseline_mse_seed42,MSMB,effect_size,3,325,0.3346273614094785
bilstm_baseline_mse_seed42,MSMB,gc_context,0,528,0.17781635299658058
bilstm_baseline_mse_seed42,MSMB,gc_context,1,225,0.3914118880936172
bilstm_baseline_mse_seed42,MSMB,gc_context,2,324,0.09001451577931859
bilstm_baseline_mse_seed42,MSMB,gc_context,3,267,0.13883440887634724
bilstm_baseline_mse_seed42,MYCrs6983267,position,0,302,0.3514500279786089
bilstm_baseline_mse_seed42,MYCrs6983267,position,1,270,0.10700499585137875
bilstm_baseline_mse_seed42,MYCrs6983267,position,2,285,0.22822366135477826
bilstm_baseline_mse_seed42,MYCrs6983267,position,3,303,-0.04249627519049029
bilstm_baseline_mse_seed42,MYCrs6983267,position,4,204,0.08656574054177897
bilstm_baseline_mse_seed42,MYCrs6983267,mutation_type,False,907,0.14148878089828582
bilstm_baseline_mse_seed42,MYCrs6983267,mutation_type,True,457,0.22975637892582615
bilstm_baseline_mse_seed42,MYCrs6983267,effect_size,0,483,0.0033886833258512834
bilstm_baseline_mse_seed42,MYCrs6983267,effect_size,1,297,-0.0351734431873121
bilstm_baseline_mse_seed42,MYCrs6983267,effect_size,2,285,0.10613938741497508
bilstm_baseline_mse_seed42,MYCrs6983267,effect_size,3,299,0.3973578320831965
bilstm_baseline_mse_seed42,MYCrs6983267,gc_context,0,550,0.016423622148966647
bilstm_baseline_mse_seed42,MYCrs6983267,gc_context,1,255,0.08162073365420638
bilstm_baseline_mse_seed42,MYCrs6983267,gc_context,2,248,0.22099534561561823
bilstm_baseline_mse_seed42,MYCrs6983267,gc_context,3,311,0.37641767844730123
bilstm_baseline_mse_seed42,PKLR,position,0,236,0.2994527664880035
bilstm_baseline_mse_seed42,PKLR,position,1,185,0.42092219186444463
bilstm_baseline_mse_seed42,PKLR,position,2,186,-0.1833870333569441
bilstm_baseline_mse_seed42,PKLR,position,3,231,0.46657055260084657
bilstm_baseline_mse_seed42,PKLR,position,4,187,0.43943935416128005
bilstm_baseline_mse_seed42,PKLR,mutation_type,False,682,0.326994457613696
bilstm_baseline_mse_seed42,PKLR,mutation_type,True,343,0.21301705243097244
bilstm_baseline_mse_seed42,PKLR,effect_size,0,272,0.023688053131412787
