model,architecture,condition,seed,pearson,spearman,kendall,mse,n_samples,ndcg@100,ndcg@500,ndcg@1000,spearman_extreme,cross_pearson_k562,cross_spearman_k562,cross_pearson_hepg2,cross_spearman_hepg2,cross_pearson_consensus,cross_spearman_consensus,cross_n_samples,cagi5_all_F9_spearman,cagi5_all_F9_pearson,cagi5_all_F9_n,cagi5_highconf_F9_spearman,cagi5_highconf_F9_pearson,cagi5_highconf_F9_n,cagi5_all_GP1BB_spearman,cagi5_all_GP1BB_pearson,cagi5_all_GP1BB_n,cagi5_highconf_GP1BB_spearman,cagi5_highconf_GP1BB_pearson,cagi5_highconf_GP1BB_n,cagi5_all_HBB_spearman,cagi5_all_HBB_pearson,cagi5_all_HBB_n,cagi5_highconf_HBB_spearman,cagi5_highconf_HBB_pearson,cagi5_highconf_HBB_n,cagi5_all_HBG1_spearman,cagi5_all_HBG1_pearson,cagi5_all_HBG1_n,cagi5_highconf_HBG1_spearman,cagi5_highconf_HBG1_pearson,cagi5_highconf_HBG1_n,cagi5_all_HNF4A_spearman,cagi5_all_HNF4A_pearson,cagi5_all_HNF4A_n,cagi5_highconf_HNF4A_spearman,cagi5_highconf_HNF4A_pearson,cagi5_highconf_HNF4A_n,cagi5_all_IRF4_spearman,cagi5_all_IRF4_pearson,cagi5_all_IRF4_n,cagi5_highconf_IRF4_spearman,cagi5_highconf_IRF4_pearson,cagi5_highconf_IRF4_n,cagi5_all_IRF6_spearman,cagi5_all_IRF6_pearson,cagi5_all_IRF6_n,cagi5_highconf_IRF6_spearman,cagi5_highconf_IRF6_pearson,cagi5_highconf_IRF6_n,cagi5_all_LDLR_spearman,cagi5_all_LDLR_pearson,cagi5_all_LDLR_n,cagi5_highconf_LDLR_spearman,cagi5_highconf_LDLR_pearson,cagi5_highconf_LDLR_n,cagi5_all_MSMB_spearman,cagi5_all_MSMB_pearson,cagi5_all_MSMB_n,cagi5_highconf_MSMB_spearman,cagi5_highconf_MSMB_pearson,cagi5_highconf_MSMB_n,cagi5_all_MYCrs6983267_spearman,cagi5_all_MYCrs6983267_pearson,cagi5_all_MYCrs6983267_n,cagi5_highconf_MYCrs6983267_spearman,cagi5_highconf_MYCrs6983267_pearson,cagi5_highconf_MYCrs6983267_n,cagi5_all_PKLR_spearman,cagi5_all_PKLR_pearson,cagi5_all_PKLR_n,cagi5_highconf_PKLR_spearman,cagi5_highconf_PKLR_pearson,cagi5_highconf_PKLR_n,cagi5_all_SORT1_spearman,cagi5_all_SORT1_pearson,cagi5_all_SORT1_n,cagi5_highconf_SORT1_spearman,cagi5_highconf_SORT1_pearson,cagi5_highconf_SORT1_n,cagi5_all_TERT-GBM_spearman,cagi5_all_TERT-GBM_pearson,cagi5_all_TERT-GBM_n,cagi5_highconf_TERT-GBM_spearman,cagi5_highconf_TERT-GBM_pearson,cagi5_highconf_TERT-GBM_n,cagi5_all_TERT-HEK293T_spearman,cagi5_all_TERT-HEK293T_pearson,cagi5_all_TERT-HEK293T_n,cagi5_highconf_TERT-HEK293T_spearman,cagi5_highconf_TERT-HEK293T_pearson,cagi5_highconf_TERT-HEK293T_n,cagi5_all_ZFAND3_spearman,cagi5_all_ZFAND3_pearson,cagi5_all_ZFAND3_n,cagi5_highconf_ZFAND3_spearman,cagi5_highconf_ZFAND3_pearson,cagi5_highconf_ZFAND3_n,cagi5_all_mean_spearman,cagi5_all_mean_pearson,cagi5_highconf_mean_spearman,cagi5_highconf_mean_pearson,cagi5_all_matched_mean_spearman,cagi5_highconf_matched_mean_spearman,probe_experiment_accuracy,probe_activity_r2,probe_activity_spearman,probe_feature_overlap
bilstm_baseline_mse_seed123,bilstm,baseline_mse,123,0.749563455581665,0.6974178368809177,0.5147929536124745,0.11914539337158203,22571,0.8413335036939126,0.8880293090501821,0.9010718762349502,0.8130408637959273,0.829071044921875,0.8106683222050985,0.7694014310836792,0.7570553572951545,0.8284961581230164,0.8178913882788487,2226,0.3204294244129022,0.5980296774658298,671,0.6700339310257674,0.7694879691287074,111,0.3031162693252267,0.4292279015457603,869,0.6709430195411316,0.4936702458116416,143,0.4073870770641579,0.4860341116481147,432,0.602727109282277,0.5699244716063127,64,0.36973300836934314,0.6256603750831643,633,0.6819749703170908,0.6562500568435414,125,0.140312817505353,0.2153823265408243,672,0.3803674357103094,0.36065553741567635,95,0.11982115911887566,0.11935660732556996,972,0.17253004502213537,0.18897373463755612,462,0.16109555801723827,0.12213068068397268,1357,0.09352268903732139,0.17407310617119348,236,0.3731480404392091,0.548748637603337,717,0.5906988553042565,0.5892593042733143,288,0.18748758819975336,0.23200199495917287,1344,0.35671499620592256,0.3329885860951334,263,0.17386871730443937,0.21225720927791816,1364,0.5759054421828336,0.48952228230915146,76,0.32482781216147727,0.4692699501717509,1025,0.6154048771335667,0.6122426356217376,180,0.1758215098385318,0.1686242616154388,1360,0.1930699660868834,0.19850512439306972,523,0.49635275774800625,0.43742828710318216,575,0.6783005862874765,0.5425470155423829,220,0.3520491667515187,0.3353554178339918,575,0.5930439113109037,0.559212846404842,98,0.15424628737612847,0.1603395872811307,1247,0.2813227605165711,0.27994376296909856,214,0.2706464795754774,0.34398980174261057,0.47710403966429643,0.45448377861489064,0.35126604173005127,0.6427624940685165,0.620514927417146,0.40435636043548584,0.5938561412859912,0.15169808683291527
bilstm_baseline_mse_seed42,bilstm,baseline_mse,42,0.7524900436401367,0.7018551399921034,0.5185079143281066,0.12073779851198196,22571,0.8310289967745653,0.8791431696771772,0.9022089521114414,0.8238519509699086,0.8296470642089844,0.8069852145733983,0.7634183764457703,0.7392068473982419,0.8246755003929138,0.8062053459357159,2226,0.3424487586449868,0.4712139664075891,671,0.7483686770617425,0.7784693431205982,111,0.3123152737641227,0.4543595280814975,869,0.5876087441573445,0.44221153342884734,143,0.38295373507123087,0.4582833535972613,432,0.6311185052599503,0.7142525558855537,64,0.3513083364846625,0.601467583729516,633,0.7311630814474879,0.6987128441123415,125,0.1507365999112751,0.32393234779673186,672,0.38190857600748923,0.46594712875471833,95,0.09960585275298776,0.08671812866939296,972,0.12753877101404348,0.13832045657974817,462,0.15146656343114528,0.14505988212349927,1357,0.12132612714354021,0.18350381253595777,236,0.2619061796209498,0.5192402308550489,717,0.43339968401637,0.5424377078254472,288,0.18173814322772716,0.23753846587625174,1344,0.3713261878332761,0.36031260596554515,263,0.16485555143629424,0.3238436164348324,1364,0.7069180143327323,0.5835467855504083,76,0.2949521473491502,0.45212797576659586,1025,0.5610416848183661,0.6319242809707606,180,0.15133037498559568,0.12451229945671932,1360,0.2100405047275094,0.19226695283021494,523,0.44206020034869015,0.5071797515021381,575,0.6567221883327709,0.6213403446328681,220,0.3777834413264665,0.45229145115905856,575,0.6635868368614929,0.6504946766757878,98,0.1776555138283384,0.20653468406473502,1247,0.2690264852380995,0.2884788194752706,214,0.2562077781455748,0.3576202177013911,0.480072937883481,0.4861479898896045,0.3353823731672916,0.6277330039207871,0.6188715420432758,0.41061633825302124,0.6042206388463751,0.014665658232863758
bilstm_baseline_mse_seed456,bilstm,baseline_mse,456,0.747799277305603,0.6885621310410107,0.5057257461809892,0.12003064155578613,22571,0.8471090205611576,0.8914580674067524,0.9063753752236404,0.8174649239455518,0.828330397605896,0.8070789130948309,0.7717221975326538,0.7514084996716266,0.8252512216567993,0.8118947341528837,2226,0.3583599889565318,0.5743733470775256,671,0.7678042599530839,0.769949197393437,111,0.3310890379983854,0.45597592145299953,869,0.6217018110869216,0.5219304902818521,143,0.40405248947648886,0.4795021084619983,432,0.6277958640841935,0.6485315801905771,64,0.4475368776320918,0.6333357212267331,633,0.7055519553685361,0.6940081078234601,125,0.19955315368361465,0.3084857087231835,672,0.5606738452971756,0.582862872276106,95,0.1058949180391583,0.11952823252388654,972,0.19423633420817313,0.20312762415477903,462,0.13317614594563656,0.032496444836503074,1357,0.021601613784379445,0.0262814116487146,236,0.3300501468628748,0.5768711489675169,717,0.4733043996169273,0.5757144948199572,288,0.1669017064061254,0.185939628602066,1344,0.35649525919285235,0.32046636246850024,263,0.1717535266536,0.32486901593875034,1364,0.6775639759287144,0.6513586104428696,76,0.3039715417818074,0.44162925186434593,1025,0.5710733127509363,0.5718830578129743,180,0.17471141106233937,0.17725336332402616,1360,0.1950538825235778,0.210982817375959,523,0.4562108865183151,0.5189156517688714,575,0.5223266152362063,0.5533368465440733,220,0.3876880455383808,0.4694061572711683,575,0.583383554065207,0.6542044890541393,98,0.18883581774004773,0.2391281556224912,1247,0.37086844729203183,0.3478366753690586,214,0.2773190462863599,0.36918065717747106,0.4832956753592611,0.48883164251043054,0.3716624867221934,0.6315307358226468,0.6191454396055875,0.39464855194091797,0.5903752446147252,0.058693823654189
bilstm_consensus_only_seed42,bilstm,consensus_only,42,0.6077500581741333,0.5323217569774172,0.3761602376128791,0.7302051782608032,22571,0.8146264369585868,0.8635977067745457,0.8753939504611369,0.686935124005387,0.7767919301986694,0.7513423827884026,0.7771601676940918,0.7664920035443997,0.8066972494125366,0.7904755216507166,2226,0.30148105907072986,0.5703251190848839,671,0.7009974606896429,0.7599234923971915,111,0.24959280526178637,0.3833525662599766,869,0.5345153393013277,0.4672829530665396,143,0.4619146458035988,0.49009944204298617,432,0.7753669618212525,0.6373572357459946,64,0.37728040616872277,0.5053937395111948,633,0.6814710441410922,0.6234872644217738,125,0.2504479842982501,0.29268454756305295,672,0.5263064166700662,0.5240970893592293,95,0.12550644449843162,0.13941997174613552,972,0.19733957095655758,0.22323290849968858,462,0.1505582542900837,0.07854893995251114,1357,0.007759014072431486,0.08748570910069847,236,0.27826577624148935,0.5570922112688357,717,0.43072657596668584,0.6287091985252657,288,0.15776016507111018,0.11916523209038903,1344,0.2916312684697815,0.2495901716664653,263,0.031672993420937906,0.026155198581040782,1364,-0.016414187364781615,-0.018782820978450278,76,0.21889666773393857,0.2638487748209025,1025,0.3634535966338851,0.29264084269443075,180,0.21536857090563713,0.16864498528087601,1360,0.2775822058076318,0.2048992599568945,523,0.4605375953420999,0.472580224679353,575,0.6255903959216219,0.49232403310913264,220,0.3486430720852076,0.38915380859679477,575,0.5686857828102033,0.477766636569322,98,0.13357957099552312,0.13445331763161944,1247,0.16192544996602193,0.23148692400548232,214,0.2507670674125031,0.3060612052740368,0.408462459724228,0.39210005987597724,0.30039999016941465,0.5377304549087883,0.6216105176663927,0.3062521815299988,0.5024153682918225,0.154040341203447
bilstm_contrastive_only_seed42,bilstm,contrastive_only,42,0.6784278750419617,0.6252274897486932,0.449868043990776,0.154171884059906,22571,0.8001677711074827,0.8439013650963088,0.87124675992025,0.7841018986872434,0.8002690076828003,0.7826957083282305,0.8381986021995544,0.8344676133197719,0.8469359874725342,0.8443712499718927,2226,0.4183207865664483,0.4904560930251252,671,0.7596552697906949,0.7113813750939314,111,0.3079633039643939,0.44555928927937216,869,0.6110277175942216,0.5067978053518262,143,0.3202626843518323,0.37734815746384964,432,0.681805969265288,0.6913775384268646,64,0.32641750178322226,0.3858764864551467,633,0.5005769105605319,0.4295515625971216,125,0.2004601447016349,0.19744665630629152,672,0.5487790442762152,0.4724692854068109,95,0.17179976580819098,0.12187272690610704,972,0.2471079432760007,0.23186305444750643,462,0.21810664281839567,0.14023879184770796,1357,0.2561090945914498,0.22011316326106423,236,0.36680300493660783,0.5681838708631801,717,0.5205022642705366,0.5725959519025091,288,0.19216531229726175,-0.02363281616108006,1344,0.2991349905242221,-0.061630853950609576,263,0.12860989043908658,0.08525738258091024,1364,0.5822659397866865,0.5012356385838085,76,0.17220181828423264,0.26574574169868725,1025,0.39945119319561123,0.3241868919138444,180,0.3724968018890155,0.29528004274831665,1360,0.47677517555578286,0.36709378581941166,523,0.4949770044834723,0.5846192718978083,575,0.6739152553336605,0.6285891701154815,220,0.40788574718338705,0.48417647883029846,575,0.5427781712661336,0.615063210253681,98,0.20263361588148712,0.23025588056140667,1247,0.35035628606163655,0.3663836148289302,214,0.28674026835924465,0.30991227028687524,0.4966827483565782,0.4384714129368122,0.3263522716822504,0.5642563571760953,0.6620104081073679,0.49324846267700195,0.6607588112115426,0.04405469342339071
bilstm_full_disentangle_seed123,bilstm,full_disentangle,123,0.6871321797370911,0.626255798620713,0.45040959077595166,39.605472564697266,22571,0.8503191657159509,0.8851057066209701,0.8989278910516929,0.7725157054928602,0.8321932554244995,0.8213436060467059,0.8718678951263428,0.8814386979871,0.8861371278762817,0.8909227804374628,2226,0.3163542736664453,0.36730429708703327,671,0.6460740568811018,0.6434858217181286,111,0.2319673250598573,0.31582264703924434,869,0.5350161043104064,0.4430739744021581,143,0.39712370352801013,0.44673974421756196,432,0.6508939489473853,0.7038001513142339,64,0.30162227893710997,0.5333763216721785,633,0.6272252349271973,0.5977793253477208,125,0.18307508741262354,0.31368197706824796,672,0.3675619608773792,0.5384597505883963,95,0.12586527675876566,0.17518099498303524,972,0.26375802538667076,0.26049304149009855,462,0.08027545894029889,0.02331042714404216,1357,0.00775399235233283,-0.022551574130707318,236,0.3537160863313828,0.4999152532390262,717,0.4232005786555942,0.5017281390730621,288,0.1696173842416156,0.12143826300782314,1344,0.24655383692214294,0.1872413874474534,263,0.08329679161750286,0.1000961980748682,1364,0.44905113083201303,0.3459508289782499,76,0.2386717058105088,0.20247178614723088,1025,0.42741731410178435,0.31265544047345134,180,0.2658235558627285,0.20687507859481247,1360,0.37740315006460307,0.2695204764883464,523,0.3208192412967919,0.26418840451961634,575,0.4203516101729156,0.25878172249391773,220,0.2959299367460399,0.29237717166799276,575,0.5511377279322117,0.34887041379326833,98,0.1633806369992301,0.11760352341799707,1247,0.17901912175912482,0.17495970440054642,214,0.23516924954726073,0.2653588058587141,0.4114945196081909,0.3709499069252216,0.30075413274229185,0.5267471982697246,0.6294165981922761,0.44582581520080566,0.6277227627471333,0.0964812553627685
bilstm_full_disentangle_seed42,bilstm,full_disentangle,42,0.6820122003555298,0.6254483256177968,0.44967617786646763,24.97331428527832,22571,0.8474160224531843,0.8885453672603242,0.8988477032070227,0.7765640478354235,0.8220028877258301,0.8155716114327844,0.8432063460350037,0.853648263236645,0.8655456304550171,0.8714804493738009,2226,0.30715916614494704,0.42812955409341835,671,0.7375911219519808,0.6815321777528763,111,0.23826429371006916,0.27267990475060544,869,0.5817678539284995,0.48737279907920383,143,0.35305502989080323,0.4168612875740916,432,0.5289873899472062,0.4899578902504951,64,0.30628804756741657,0.44858089505131643,633,0.5370593220704772,0.5619972028244588,125,0.08959009734787071,0.15163160183999885,672,0.3001160573262565,0.3121656611772893,95,0.09518976431812955,0.11117612081959437,972,0.1812874399738556,0.19291921084428293,462,0.11629274912497524,0.023693892033250088,1357,0.021818004268630595,-0.03491617508732962,236,0.19828114652721757,0.26368322842035297,717,0.3034768868336361,0.2596182008962116,288,0.13895345158843164,0.15473724295576408,1344,0.3789641936179263,0.2992888669275628,263,0.12387473742849034,0.09504783172656717,1364,0.604643948560672,0.40994106324600305,76,0.2741921461172028,0.41817961801019987,1025,0.6084146330131687,0.5811767590332553,180,0.2604593153146861,0.1930814060938688,1360,0.3757186665970749,0.2599742094184526,523,0.39691553258726636,0.3707576115361738,575,0.4996093386053683,0.3780692216052541,220,0.311051246998305,0.28695396823881525,575,0.38347473557686623,0.3507619061959269,98,0.09215207683868765,0.05724149328459466,1247,0.21993016810565805,0.20420641482273338,214,0.22011458676696657,0.2461623770952408,0.4175239840251519,0.3622710272657785,0.2768141636103346,0.5247165534774348,0.6279101615995618,0.4658370614051819,0.642442582636795,0.3069414592818283
bilstm_full_disentangle_seed456,bilstm,full_disentangle,456,0.6877433657646179,0.6300633706607716,0.4537243459927632,30.82554817199707,22571,0.8299416321799274,0.8833323880453231,0.8982749569085808,0.7760911033525824,0.8163340091705322,0.8061125686586881,0.8520016670227051,0.8594686286599937,0.8681820631027222,0.8698704079319304,2226,0.36659576650569764,0.43062155039529093,671,0.7478245333998491,0.7326208762904821,111,0.19509440189697527,0.2922111406818064,869,0.47926084610695013,0.37985320536865264,143,0.31208922593264316,0.3569110280810788,432,0.5053851802159685,0.5423813372539059,64,0.09924699866576255,0.12213733253991607,633,0.165929984329871,0.19648607886080088,125,0.1728592990386286,0.26966570019180786,672,0.520373026525924,0.5062791804631669,95,0.12485082876398493,0.11552242257760645,972,0.2031779762358563,0.20833970211379016,462,0.14334871767098295,0.11059110664181973,1357,0.19495778287008772,0.20185743863635827,236,0.26315705953714735,0.3967987852868009,717,0.28315076613372114,0.35442711763385926,288,0.10744236953987141,0.06162902870250052,1344,0.24055989951005916,0.11250318017070955,263,0.08525352267262039,0.10781799912025057,1364,0.32337316957566853,0.21696500616819142,76,0.20577122726656613,0.24128304446928645,1025,0.40161493817429783,0.47136244668459004,180,0.24112565018261758,0.20602648685022268,1360,0.29885708813711387,0.23736911556387047,523,0.2544062177815677,0.2338249468818831,575,0.3282799469475022,0.3217533868768917,220,0.22346614948952648,0.20202536284208117,575,0.30418966495442895,0.3988780981485161,98,0.10864735421113271,0.11552668684862008,1247,0.13613339720459083,0.1792511140015249,214,0.193556985943715,0.21750617480739812,0.34220454668812594,0.337355152282354,0.24044004714105854,0.41171761949968166,0.6253081347576006,0.46209394931793213,0.6385941474787985,0.016149685486022487
bilstm_ranking_contrastive_seed123,bilstm,ranking_contrastive,123,0.6687473654747009,0.6397362114370425,0.4591495429090389,0.30865973234176636,22571,0.7778751120940619,0.8453367197842351,0.8618916104809692,0.7729086636612176,0.7799026966094971,0.77304193746846,0.8264108300209045,0.8344885062137762,0.8414364457130432,0.8403511849422716,2226,0.43210837231033083,0.5590666115728429,671,0.7644296915982765,0.7803489179477592,111,0.3217123864590446,0.4716039267781252,869,0.6404456095619893,0.5516530613225916,143,0.4391743948895345,0.4910924045856864,432,0.6729837840744854,0.7089302274618494,64,0.31092558928769953,0.43269640235262347,633,0.5406912778023694,0.5314157108783734,125,0.22176926496450527,0.31143545763206504,672,0.5792025547791779,0.49958740160891724,95,0.19921103901732826,0.12813868603850162,972,0.294175951994335,0.22291530799728138,462,0.17634002304964747,0.08591779077956195,1357,0.17239336838679337,0.13149538583218284,236,0.35257086963258594,0.47520096790408106,717,0.4310237275192866,0.49208898107272636,288,0.1202534806508702,0.12597194806263023,1344,0.23682964925514535,0.20214345622477403,263,0.19291756784191696,0.16438443972771596,1364,0.5850153161702873,0.4651041692591718,76,0.3173448793443366,0.48381843024246746,1025,0.6296322977542415,0.6436295819364791,180,0.2978088694939052,0.2523248084736353,1360,0.4170491405411403,0.3456143373877122,523,0.4041438633994561,0.4513774647332668,575,0.6045186045625833,0.4855849095218807,220,0.2871222805666212,0.38345463922869544,575,0.5080263910753436,0.3994568366438074,98,0.24192799608531151,0.25151897786676936,1247,0.40212775640051374,0.3905298376690417,214,0.28768872513287297,0.3378668637319112,0.49856967476506464,0.45669987485096997,0.35309219448820534,0.5851793612645412,0.6505067104902766,0.4835726022720337,0.6622047077206454,0.09153820152835064
bilstm_ranking_contrastive_seed42,bilstm,ranking_contrastive,42,0.6590000987052917,0.6230639942996179,0.4462443038666404,0.18018053472042084,22571,0.8078617406789674,0.8686735485534965,0.8845629548858124,0.7585707311326869,0.7636986970901489,0.7643625693773389,0.7955420017242432,0.8117916286978166,0.8126171827316284,0.8229354123939491,2226,0.4939985932018279,0.6009838749131722,671,0.8291564578315763,0.7954407030267795,111,0.30852151758261276,0.426330902978277,869,0.5837729662804255,0.5116467205908042,143,0.4422297166297556,0.5041693114043464,432,0.6937445627312829,0.6893499176725465,64,0.3771019827584217,0.4719484152863873,633,0.6140924271453808,0.5852723657951895,125,0.2164675262015277,0.3040162479692388,672,0.5108389722329163,0.4294060234636776,95,0.16364897556728278,0.12614400518190388,972,0.25206843679440355,0.23329747061484643,462,0.22724523955727532,0.12113720713678813,1357,0.17336256036583386,0.14805504057625765,236,0.37024251361273997,0.553064807795808,717,0.45193636459732717,0.5343374686194324,288,0.121750850088026,0.17301096531609375,1344,0.31850583102627816,0.30590731344110933,263,0.13751218068936089,0.13797729510064521,1364,0.3863489350985473,0.35287186338625953,76,0.2994982275833669,0.45812283096396444,1025,0.6419943500219163,0.656965677286233,180,0.3205836578660258,0.25713822345808773,1360,0.428338170328377,0.31299705469739214,523,0.4983020177190486,0.4887823249398027,575,0.6270656974427078,0.6060355834601622,220,0.3818802818013263,0.40480630369832216,575,0.4318211571193561,0.6178201058033873,98,0.17759345506651744,0.24146078661059278,1247,0.26268118592972384,0.3440630524929627,214,0.3024384490616744,0.35127290018356205,0.48038187166307017,0.474897757395136,0.37316802989067865,0.6061478998480408,0.6191454396055875,0.46932119131088257,0.6577899166398641,0.04269210665390638
