model,architecture,condition,seed,pearson,spearman,kendall,mse,n_samples,ndcg@100,ndcg@500,ndcg@1000,spearman_extreme,cross_pearson_k562,cross_spearman_k562,cross_pearson_hepg2,cross_spearman_hepg2,cross_pearson_consensus,cross_spearman_consensus,cross_n_samples,e1_raw_spearman_k562,e1_raw_spearman_hepg2,e1_denoised_spearman_k562,e1_denoised_spearman_hepg2,e1_n_samples,cagi5_all_F9_spearman,cagi5_all_F9_pearson,cagi5_all_F9_n,cagi5_highconf_F9_spearman,cagi5_highconf_F9_pearson,cagi5_highconf_F9_n,cagi5_all_GP1BB_spearman,cagi5_all_GP1BB_pearson,cagi5_all_GP1BB_n,cagi5_highconf_GP1BB_spearman,cagi5_highconf_GP1BB_pearson,cagi5_highconf_GP1BB_n,cagi5_all_HBB_spearman,cagi5_all_HBB_pearson,cagi5_all_HBB_n,cagi5_highconf_HBB_spearman,cagi5_highconf_HBB_pearson,cagi5_highconf_HBB_n,cagi5_all_HBG1_spearman,cagi5_all_HBG1_pearson,cagi5_all_HBG1_n,cagi5_highconf_HBG1_spearman,cagi5_highconf_HBG1_pearson,cagi5_highconf_HBG1_n,cagi5_all_HNF4A_spearman,cagi5_all_HNF4A_pearson,cagi5_all_HNF4A_n,cagi5_highconf_HNF4A_spearman,cagi5_highconf_HNF4A_pearson,cagi5_highconf_HNF4A_n,cagi5_all_IRF4_spearman,cagi5_all_IRF4_pearson,cagi5_all_IRF4_n,cagi5_highconf_IRF4_spearman,cagi5_highconf_IRF4_pearson,cagi5_highconf_IRF4_n,cagi5_all_IRF6_spearman,cagi5_all_IRF6_pearson,cagi5_all_IRF6_n,cagi5_highconf_IRF6_spearman,cagi5_highconf_IRF6_pearson,cagi5_highconf_IRF6_n,cagi5_all_LDLR_spearman,cagi5_all_LDLR_pearson,cagi5_all_LDLR_n,cagi5_highconf_LDLR_spearman,cagi5_highconf_LDLR_pearson,cagi5_highconf_LDLR_n,cagi5_all_MSMB_spearman,cagi5_all_MSMB_pearson,cagi5_all_MSMB_n,cagi5_highconf_MSMB_spearman,cagi5_highconf_MSMB_pearson,cagi5_highconf_MSMB_n,cagi5_all_MYCrs6983267_spearman,cagi5_all_MYCrs6983267_pearson,cagi5_all_MYCrs6983267_n,cagi5_highconf_MYCrs6983267_spearman,cagi5_highconf_MYCrs6983267_pearson,cagi5_highconf_MYCrs6983267_n,cagi5_all_PKLR_spearman,cagi5_all_PKLR_pearson,cagi5_all_PKLR_n,cagi5_highconf_PKLR_spearman,cagi5_highconf_PKLR_pearson,cagi5_highconf_PKLR_n,cagi5_all_SORT1_spearman,cagi5_all_SORT1_pearson,cagi5_all_SORT1_n,cagi5_highconf_SORT1_spearman,cagi5_highconf_SORT1_pearson,cagi5_highconf_SORT1_n,cagi5_all_TERT-GBM_spearman,cagi5_all_TERT-GBM_pearson,cagi5_all_TERT-GBM_n,cagi5_highconf_TERT-GBM_spearman,cagi5_highconf_TERT-GBM_pearson,cagi5_highconf_TERT-GBM_n,cagi5_all_TERT-HEK293T_spearman,cagi5_all_TERT-HEK293T_pearson,cagi5_all_TERT-HEK293T_n,cagi5_highconf_TERT-HEK293T_spearman,cagi5_highconf_TERT-HEK293T_pearson,cagi5_highconf_TERT-HEK293T_n,cagi5_all_ZFAND3_spearman,cagi5_all_ZFAND3_pearson,cagi5_all_ZFAND3_n,cagi5_highconf_ZFAND3_spearman,cagi5_highconf_ZFAND3_pearson,cagi5_highconf_ZFAND3_n,cagi5_all_mean_spearman,cagi5_all_mean_pearson,cagi5_highconf_mean_spearman,cagi5_highconf_mean_pearson,cagi5_all_matched_mean_spearman,cagi5_highconf_matched_mean_spearman,probe_experiment_accuracy,probe_activity_r2,probe_activity_spearman,probe_feature_overlap,e1_k562norm_spearman_k562,e1_k562norm_spearman_hepg2,e1_hepg2norm_spearman_k562,e1_hepg2norm_spearman_hepg2
bilstm_baseline_mse_seed123,bilstm,baseline_mse,123,0.7495634795519649,0.6974174077487154,0.514792345011018,0.11914543062448502,22571,0.8413335036939126,0.8880297109563908,0.9010720861293173,0.813038381381926,0.8290710517644051,0.8106685196666993,0.769401515991467,0.757058548230692,0.8284961781105556,0.817893187735395,2226,0.8104309603055978,0.7573505781252517,0.8106685196666993,0.757058548230692,2226,0.320435662060834,0.598026484577817,671,0.6700339310257674,0.7694910841500514,111,0.30310076567806093,0.4292213662412175,869,0.6709430195411316,0.4936597069891765,143,0.4073671241856945,0.4860358577061282,432,0.602727109282277,0.5699221902463765,64,0.36972273973652653,0.625661538232159,633,0.6819749703170908,0.6562488491911821,125,0.14032915522565576,0.215385885606924,672,0.3804024616261544,0.36066627450693794,95,0.11981995029142715,0.11934803234910979,972,0.17255858263066462,0.18896440449831445,462,0.16107967396076275,0.12212492774041371,1357,0.09343321111556352,0.17406485416979017,236,0.3731434492177442,0.5487541250095926,717,0.5907724524343595,0.5892672474565372,288,0.18748341698971357,0.2320020861764968,1344,0.35671499620592256,0.3329899042642351,263,0.1738795963184812,0.21225675395245866,1364,0.5768492579563086,0.48951114535397666,76,0.3248592722302416,0.46927013212960395,1025,0.6154048771335667,0.6122468739948516,180,0.17585357781612396,0.16862506728143173,1360,0.1931000813511867,0.19850466066683906,523,0.496347234155621,0.4374417187386261,575,0.6782385988286074,0.5425604534716234,220,0.3519861593192061,0.3353718780686196,575,0.5928016053205827,0.5592282140636193,98,0.15423697844324788,0.1603426188793428,1247,0.2812070351890325,0.2799480889600876,214,0.2706429837086228,0.3439912315126627,0.4771441459972144,0.45448493013223995,0.3512624754576309,0.6427624940685165,0.6199671322925226,0.404358446598053,0.5938602540975471,0.16589952460059132,,,,
bilstm_baseline_mse_seed42,bilstm,baseline_mse,42,0.7524901117569065,0.7018549011781908,0.5185077229130113,0.12073773145675659,22571,0.8310271711312215,0.879142576232304,0.902208672335301,0.8238513605463337,0.8296474997612234,0.8069877679749252,0.7634183905276616,0.7392088889224616,0.8246756971491775,0.8062078492909232,2226,0.8075702682739523,0.7445921777728519,0.8069877679749252,0.7392088889224616,2226,0.3424857872301619,0.47122528889167925,671,0.7483686770617425,0.7784661322762395,111,0.31232103618165336,0.4543673758184615,869,0.5876087441573445,0.4422217968039981,143,0.3828958866138949,0.4582770482236815,432,0.6311185052599503,0.7142452708261573,64,0.351351942683467,0.6014594453862456,633,0.7311630814474879,0.698708678881817,125,0.1507582449152641,0.3239320836483846,672,0.38190857600748923,0.465946686217034,95,0.09957173114792794,0.08672116096515131,972,0.12755635602228432,0.13832198944105034,462,0.15147513467360507,0.1450640447871618,1357,0.12147403962644604,0.1835109255558331,236,0.2619261237567458,0.5192340442599628,717,0.43339968401637,0.5424326762570186,288,0.18177836651151152,0.23754119242461066,1344,0.37147036962713753,0.36031839994493453,263,0.16487431783657688,0.32384326810253555,1364,0.7069180143327323,0.5835440972748394,76,0.29493531961134145,0.4521266504835218,1025,0.5610416848183661,0.6319271889517443,180,0.15132145806971087,0.12450601711514936,1360,0.21003396157816218,0.19225600288727102,523,0.442105651623174,0.5071762763583043,575,0.6566354058903541,0.6213408394206593,220,0.37784218723404855,0.45228486691131514,575,0.6635868368614929,0.6504908127319398,98,0.17762925591602333,0.206535827244599,1247,0.26922915763712224,0.2884820821457608,214,0.2562181629336738,0.3576196393747176,0.4801008729562987,0.4861475719744198,0.3353760462725892,0.6277330039207871,0.6165434127636265,0.41061389446258545,0.6042142420642164,0.013532767075301287,,,,
bilstm_baseline_mse_seed456,bilstm,baseline_mse,456,0.7477993471500813,0.6885618798234342,0.5057256234449792,0.12003061920404434,22571,0.8471090205611576,0.8914583124027474,0.9063755570800615,0.817465348422415,0.8283305867275994,0.8070759930566128,0.7717221498943,0.7514071402873941,0.8252511958902738,0.811892435874798,2226,0.8077820988780411,0.7559080832403959,0.8070759930566128,0.7514071402873941,2226,0.35835406559197375,0.5743649539673034,671,0.7678042599530839,0.7699484471681778,111,0.3311121608420639,0.4559743809865199,869,0.6218721532826328,0.5219221964854488,143,0.40405703098987045,0.47950585222525866,432,0.6277958640841935,0.6485311451685697,64,0.44755012748088757,0.6333291229219145,633,0.7056595005890236,0.6940078142665776,125,0.19951123010315294,0.30849084717057473,672,0.5606318141981614,0.5828762712755537,95,0.10590309232639113,0.11952538420908974,972,0.19429645181420066,0.20312536823387686,462,0.1331551760618206,0.03249837075216434,1357,0.021790156548083507,0.02628295114454928,236,0.3300391735179552,0.5768731949647623,717,0.47321397310895075,0.5757168623511082,288,0.16692177105746656,0.185943166591913,1344,0.35654013041474053,0.3204704931533283,263,0.17173147305005076,0.32487064984230585,1364,0.6775639759287144,0.6513656560859065,76,0.30396721310797786,0.44163313130847187,1025,0.5710640527866908,0.5718857174976121,180,0.1747399175216287,0.17725386210029387,1360,0.19499834964065635,0.2109817401252356,523,0.45618686678228576,0.5189089044823945,575,0.5222161648549486,0.5533300235787103,220,0.38763955885700196,0.4694005188481431,575,0.5828925656111354,0.6542004152934447,98,0.18883304084852998,0.2391308533848991,1247,0.37086844729203183,0.34783622075416976,214,0.27731345987593714,0.36918021291706726,0.48328052400714977,0.48883208817215124,0.3716716331051999,0.6315978926856352,0.6190084908244317,0.394645094871521,0.5903750312949316,0.0572003410124455,,,,
bilstm_consensus_only_seed123,bilstm,consensus_only,123,0.5875979444973327,0.5132499497626438,0.3619763118293185,94.48908233642578,22571,0.8259516557383614,0.8655220405043815,0.8798434316556253,0.6859625367951524,0.7744934726519817,0.7574396787985525,0.7771058933608146,0.7745160221959742,0.8054708873323607,0.7971014780427639,2226,0.756903048339822,0.774104593868941,0.7574396787985525,0.7745160221959742,2226,0.15455806939526054,0.35751975835832606,671,0.5094939977458326,0.6237802470769744,111,0.1550226692958863,0.232091426774285,869,0.37165383399211893,0.28758060182140693,143,0.15429419458739627,0.18571084048252465,432,0.37855194636897754,0.42472752688051585,64,0.25603153670831924,0.36698580271209164,633,0.5699865958631644,0.48440538022733953,125,0.12118853562774715,0.12887832414810171,672,0.19643934642507085,0.23003583109512551,95,0.03841336722513687,0.05541630820554823,972,0.09172601943876142,0.1233566026516614,462,0.03321706119373353,-0.035134473230500854,1357,-0.051510978691970716,-0.0758086548015973,236,0.10649059783920214,0.11433618268751644,717,0.10593339817079174,0.0797745168932532,288,0.06679502001010668,0.05498861961384993,1344,0.1594386691743381,0.12108727919793509,263,0.051540923586016224,0.04105256819335862,1364,0.10789592494449783,0.17979357386913342,76,0.1577399433973233,0.21314990610519233,1025,0.35785028938047214,0.2990746560001919,180,0.13522321643003596,0.06060803660151206,1360,0.14122884546831227,0.08153876620929207,523,0.3066054283570505,0.3126335383999256,575,0.44352872104409197,0.390805020658518,220,0.319708897507208,0.2874294302940257,575,0.46559096040200276,0.4788086086302872,98,0.07220719436923419,0.07725255014514804,1247,0.12732357703196612,0.1621962573396713,214,0.14193577703531043,0.1635279212993937,0.26500874311722855,0.25941041424998057,0.15990860395048911,0.3478141295699527,0.6240755957271981,0.33074116706848145,0.5100359154222064,0.08704327659684963,0.7574396787985525,0.7745160221959742,0.7574396787985525,0.7745160221959742
bilstm_consensus_only_seed42,bilstm,consensus_only,42,0.607750039067476,0.5323212754737576,0.3761599060158596,0.7302069664001465,22571,0.8146264369585868,0.8635977067745457,0.8753938988296437,0.6869351949564486,0.7767920743778323,0.7513416631143036,0.7771600769947331,0.766490508711318,0.8066972152041887,0.7904744554672732,2226,0.75136360746262,0.7666253107785711,0.7513416631143036,0.766490508711318,2226,0.30149605723693546,0.5703299086325708,671,0.7009974606896429,0.7599295796855657,111,0.24955342760097018,0.38335184804177563,869,0.5345153393013277,0.467275013561921,143,0.46193511983933555,0.49009354234438773,432,0.7753669618212525,0.637345704584082,64,0.377227335792207,0.5053916026012485,633,0.6812743900236293,0.6234840175184663,125,0.2504267353602078,0.2926831414861587,672,0.5263064166700662,0.5240919320534883,95,0.12550904511099648,0.13941100513932617,972,0.19737054247626204,0.22321581300145474,462,0.1505359434222034,0.0785511165440154,1357,0.007811057353453913,0.08748781645013955,236,0.2783085299562651,0.5570926093977936,717,0.43080394086795465,0.628710940906846,288,0.1577738001928847,0.11916201033961357,1344,0.29165799324164143,0.24958305908104225,263,0.03167371789934939,0.026160027014821584,1364,-0.016906612985725065,-0.018774260852818695,76,0.21888878321440233,0.26385110862272965,1025,0.3634535966338851,0.29264712501546636,180,0.21537353891994268,0.16864362049389495,1360,0.27756071570500307,0.20489736890668267,523,0.4604554042874083,0.47257769111975156,575,0.6254545870344631,0.4923195678742606,220,0.34859206005584037,0.38914985428525306,575,0.5686857828102033,0.47775752099052265,98,0.13359791643491467,0.1344505174545548,1247,0.16199647715117796,0.23148550837474013,214,0.2507564943549242,0.3060599735678597,0.4084232432529493,0.3920971138101239,0.300397541794294,0.537710343577528,0.6216105176663927,0.30625754594802856,0.5024202069209971,0.15339695899868827,0.7513416631143036,0.766490508711318,0.7513416631143036,0.766490508711318
bilstm_consensus_only_seed456,bilstm,consensus_only,456,0.620324780404601,0.545797546051836,0.38625944269769297,1.4627008438110352,22571,0.8178010768122875,0.8658004147609443,0.8766430263830525,0.7116634988198562,0.78473085901903,0.7595721552931622,0.7770321262613161,0.7690630484485318,0.8111673590145052,0.7960404296870501,2226,0.7595261342288294,0.7691030091228459,0.7595721552931622,0.7690630484485318,2226,0.27736788151074493,0.46154492854861406,671,0.6913608519677225,0.7139965120500265,111,0.2196235132670415,0.3226203082626193,869,0.48548757167065926,0.4217197210853768,143,0.3938390725875386,0.44467788752474946,432,0.7451194697385013,0.6492807831619254,64,0.37437073937318033,0.5179828186583706,633,0.6061801716380861,0.5739017563575654,125,0.2559685494967981,0.3861046428693108,672,0.5223134622637368,0.6224996437159153,95,0.2047600340027177,0.22418676739436957,972,0.29387664176756434,0.3032294690078905,462,0.09973946233443778,0.06981448630156424,1357,-0.021311267058675372,0.08728750308218532,236,0.34143715758026677,0.5807423317494119,717,0.4826715811043191,0.6187413985375487,288,0.14872377821087956,0.14864187797362205,1344,0.37162642909738114,0.366320191746926,263,0.15576576566751146,0.1297888995047638,1364,0.29386866778747356,0.245333860265071,76,0.16286321503838014,0.2058296876395922,1025,0.28847360836864977,0.2577230846599618,180,0.20159816673152797,0.12939241127406365,1360,0.23810931518594114,0.15896589091144542,523,0.3755271728434745,0.4238214176869764,575,0.49097223149548186,0.4964847656172678,220,0.3179762562523125,0.3556350302073487,575,0.5082049323313697,0.5392844655917785,98,0.17594443166245038,0.19205241619224947,1247,0.2800271266907945,0.31555616952712806,214,0.2470336797706175,0.30618906078584185,0.4184653862699336,0.42468834768786756,0.2815856780126686,0.5053432242391256,0.6216105176663927,0.3143412470817566,0.5139940610411302,0.16899333502478325,0.7595721552931622,0.7690630484485318,0.7595721552931622,0.7690630484485318
bilstm_contrastive_only_seed123,bilstm,contrastive_only,123,0.6650567566067085,0.6102057386960377,0.43538574900707844,0.1861337125301361,22571,0.8031734817335393,0.8504340999936805,0.8712264305373052,0.7556611391095719,0.7683106581077827,0.7573623108410821,0.8256102972375388,0.831189828460328,0.8255919661823916,0.8299385404265797,2226,0.7515686596396898,0.8324649825477819,0.7573623108410821,0.831189828460328,2226,0.39189584530336447,0.3722885606390114,671,0.595679332581223,0.5837098856368947,111,0.3010547415869016,0.37129478520877035,869,0.5710034585489167,0.49259483010499344,143,0.18501157653069503,0.2445436718214583,432,0.37144836868287684,0.41183419761808415,64,0.2706077900102799,0.30856991377646315,633,0.43084458959643696,0.4223889854269375,125,0.14345791777847347,0.2550136936439038,672,0.4129345322629859,0.4692562083908543,95,0.17270713129364193,0.18125857782955482,972,0.2864190162311821,0.2941075146951636,462,0.1653095068567223,0.12559515306628766,1357,0.2135139516746372,0.21186538847211223,236,0.33486239819514996,0.5945214150883489,717,0.4788874829302454,0.5872766312339557,288,0.0739759787890003,0.1034913360254569,1344,0.14550450510076873,0.19388980265820577,263,0.07670707941423174,-0.015903367376791516,1364,-0.18002259992324238,-0.1497375226878062,76,0.26900087815678164,0.3005046008571088,1025,0.49020501611051137,0.42460295873946885,180,0.32479430322367103,0.28792399687192516,1360,0.4260999518757063,0.34586840895972776,523,0.5525986712969784,0.6252024082245593,575,0.7187023214113305,0.6755508129143571,220,0.43034009079842805,0.5417377329044677,575,0.6913627551204067,0.6896833906980865,98,0.14917811076679788,0.1792304079400613,1247,0.2531855860383515,0.26827697279953744,214,0.2561001346667412,0.298351525768039,0.39371788454948914,0.39474456437737154,0.2967467904295491,0.48059545718941665,0.6552999178307313,0.48252004384994507,0.6499620323982715,0.0736921145995907,0.7572365898140924,0.831034707977766,0.7574996483762964,0.8313510218382768
bilstm_contrastive_only_seed42,bilstm,contrastive_only,42,0.6784276382929703,0.6252270860200148,0.44986775161162396,0.15417195856571198,22571,0.8001677711074827,0.84390155718947,0.8712468563036562,0.7841022589433397,0.8002689209158522,0.7826947466459836,0.8381984017733957,0.8344648168084358,0.8469357597634476,0.8443692947099424,2226,0.7859723997906624,0.8370932267480355,0.7826947466459836,0.8344648168084358,2226,0.4182943858209024,0.49045207831126836,671,0.7596552697906949,0.7113796554683356,111,0.3079589226977318,0.4455605652453483,869,0.6110277175942216,0.506801640869172,143,0.3203366142336014,0.37734137666958434,432,0.681805969265288,0.6913760521036014,64,0.3263809700572569,0.38587185697972154,633,0.5005769105605319,0.42954293309189545,125,0.20038572391024365,0.1974492049770734,672,0.5487790442762152,0.4724685066286015,95,0.17180365365863345,0.12187869923222294,972,0.24712875321654865,0.23186581169945789,462,0.21809897937354944,0.1402310198548969,1357,0.25607668167081304,0.22009825813910391,236,0.36679600712322885,0.5681829678905156,717,0.5205022642705366,0.5725990347644703,288,0.19216295789206575,-0.02362819256703586,1344,0.2991349905242221,-0.06162289416570384,263,0.12861214925911352,0.08525316138531394,1364,0.5822659397866865,0.5012460988481566,76,0.17220029710131152,0.2657444813592511,1025,0.39945119319561123,0.3241957450240134,180,0.3724909932506583,0.2952751565409494,1360,0.4767854516557193,0.36708670689960815,523,0.4949357195758161,0.5846211112777621,575,0.6739152553336605,0.6285961148546246,220,0.40783495612196874,0.48417922044588413,575,0.5427781712661336,0.6150734898119277,98,0.20261025532029095,0.23025240545223444,1247,0.35035628606163655,0.3663823649308875,214,0.2867268390264249,0.30991100753699935,0.4966826598979013,0.4384726345978767,0.32635117004067016,0.5642578251903719,0.6628321007943029,0.49324846267700195,0.6607598801243777,0.0391446877823682,0.7826882592436382,0.834462794323211,0.7826710017524919,0.8344500909618728
bilstm_contrastive_only_seed456,bilstm,contrastive_only,456,0.6404557132824473,0.5700350818505456,0.40502809298851644,0.1966460943222046,22571,0.8348772744418271,0.8771176667493867,0.8872041086179359,0.7638024330728974,0.7715575111091049,0.7584984096972266,0.7786898847898283,0.7791858491929036,0.7984141530195791,0.801604933008852,2226,0.7589887139236958,0.7860537613280211,0.7584984096972266,0.7791858491929036,2226,0.4707238627955359,0.42388974946897096,671,0.7840627459798212,0.759608366164901,111,0.2367950784670331,0.4536951033431461,869,0.587276269028366,0.3935443448095702,143,0.3810537445548694,0.4715294699192142,432,0.6179195996238407,0.6634519660089169,64,0.3098275790500862,0.38263020749772597,633,0.46448166184434153,0.43495698558775836,125,0.18399524762337263,0.1703512303606315,672,0.49635225343942635,0.3991006432022609,95,0.20509719231361026,0.128456123591207,972,0.29559820798956515,0.19115703395601852,462,0.18348651798777074,0.08956315029436322,1357,0.10217100408722384,0.10266824565526647,236,0.3637669213550789,0.6351712912223271,717,0.4894239294027226,0.6077948389131129,288,0.20040141574384673,0.18154427060912992,1344,0.39726406363285593,0.2802935339842278,263,0.14970357182023658,0.08988311571521,1364,0.1886810837581647,0.1937691812142205,76,0.2867296243111178,0.3671364987176895,1025,0.6182950148630632,0.5593985590359986,180,0.365432975226933,0.30475603326930395,1360,0.4564198573691779,0.33485592012452536,523,0.45445566962842754,0.41639228177795884,575,0.5127878723609502,0.47422590336873965,220,0.3728934264996966,0.3353188732094852,575,0.47019477421810374,0.5302825154742887,98,0.1856541099242789,0.19761015239299223,1247,0.3563948214065368,0.3330714596103021,214,0.29000112915345966,0.3098618367592904,0.45582154393361063,0.4172119664740072,0.34490425510866496,0.5739827254444761,0.6399616543412764,0.4706255793571472,0.6424607401428373,0.020926545724721562,0.7584369148238111,0.7791541318593901,0.7585684759272372,0.7792325056097226
bilstm_e3_gc_dependent_baseline_seed42,bilstm,baseline_mse,42,0.7399245514964143,0.6863011155067247,0.5039067357243234,0.12335143983364105,22571,0.8296659336258629,0.8822876093633485,0.8998394208584888,0.8053096311467277,0.8133994160613289,0.7915716100641507,0.7677678708280966,0.7563303202767936,0.8211382478125884,0.8071560024192681,2226,0.7915479723330154,0.7557922592432136,0.7915716100641507,0.7563303202767936,2226,0.33965508697635055,0.43147770917757605,671,0.7117750157994045,0.6832137360953012,111,0.30576963532856516,0.44890542391133703,869,0.5647664714071525,0.41143326858364054,143,0.41396869781758194,0.49814659906414416,432,0.6413843207547023,0.605419367775611,64,0.45618197808330924,0.637905441482949,633,0.6945393247906161,0.6867194005122892,125,0.23325692010994886,0.3755823437188201,672,0.5892549926266916,0.6064878421886581,95,0.07900643355568458,0.11601939335747312,972,0.1432915309221954,0.1968777151591512,462,0.1829637228512087,0.08083033839897376,1357,0.11730053370445447,0.08576515785023157,236,0.2627805305342462,0.5659841368690997,717,0.35327325766784895,0.5380009369428383,288,0.1584566968715454,0.22454987863890874,1344,0.32765164184055473,0.2820865360523784,263,0.10416727919392191,0.12117955608924752,1364,0.28429372515801754,0.2467191628549097,76,0.3331882669285553,0.316203648407127,1025,0.5636293303825112,0.49605760360800444,180,0.1528484811077234,0.13511172379789466,1360,0.14381619965922915,0.1666047355529557,523,0.4165328707954399,0.36608717673459423,575,0.5215540260897553,0.4218920652291659,220,0.2761804528021389,0.24831601483255225,575,0.3422253289614129,0.36769313554680705,98,0.19938803336930153,0.19925982472277762,1247,0.34543642888294324,0.2979932801188721,214,0.2609563390883681,0.31770394728023166,0.4229461419098326,0.40619759627138763,0.3772771445395029,0.6160798618337455,0.6216105176663927,0.3824726939201355,0.5806411831273428,0.06521579158255524,0.7915716100641507,0.7563303202767936,0.7915716100641507,0.7563303202767936
