model,architecture,condition,seed,pearson,spearman,kendall,mse,n_samples,ndcg@100,ndcg@500,ndcg@1000,spearman_extreme,cross_pearson_k562,cross_spearman_k562,cross_pearson_hepg2,cross_spearman_hepg2,cross_pearson_consensus,cross_spearman_consensus,cross_n_samples,e1_raw_spearman_k562,e1_raw_spearman_hepg2,e1_denoised_spearman_k562,e1_denoised_spearman_hepg2,e1_k562norm_spearman_k562,e1_k562norm_spearman_hepg2,e1_hepg2norm_spearman_k562,e1_hepg2norm_spearman_hepg2,e1_n_samples,cagi5_all_F9_spearman,cagi5_all_F9_pearson,cagi5_all_F9_n,cagi5_highconf_F9_spearman,cagi5_highconf_F9_pearson,cagi5_highconf_F9_n,cagi5_matched_bn_all_F9_spearman,cagi5_matched_bn_hc_F9_spearman,cagi5_all_GP1BB_spearman,cagi5_all_GP1BB_pearson,cagi5_all_GP1BB_n,cagi5_highconf_GP1BB_spearman,cagi5_highconf_GP1BB_pearson,cagi5_highconf_GP1BB_n,cagi5_matched_bn_all_GP1BB_spearman,cagi5_matched_bn_hc_GP1BB_spearman,cagi5_all_HBB_spearman,cagi5_all_HBB_pearson,cagi5_all_HBB_n,cagi5_highconf_HBB_spearman,cagi5_highconf_HBB_pearson,cagi5_highconf_HBB_n,cagi5_matched_bn_all_HBB_spearman,cagi5_matched_bn_hc_HBB_spearman,cagi5_all_HBG1_spearman,cagi5_all_HBG1_pearson,cagi5_all_HBG1_n,cagi5_highconf_HBG1_spearman,cagi5_highconf_HBG1_pearson,cagi5_highconf_HBG1_n,cagi5_matched_bn_all_HBG1_spearman,cagi5_matched_bn_hc_HBG1_spearman,cagi5_all_HNF4A_spearman,cagi5_all_HNF4A_pearson,cagi5_all_HNF4A_n,cagi5_highconf_HNF4A_spearman,cagi5_highconf_HNF4A_pearson,cagi5_highconf_HNF4A_n,cagi5_all_IRF4_spearman,cagi5_all_IRF4_pearson,cagi5_all_IRF4_n,cagi5_highconf_IRF4_spearman,cagi5_highconf_IRF4_pearson,cagi5_highconf_IRF4_n,cagi5_all_IRF6_spearman,cagi5_all_IRF6_pearson,cagi5_all_IRF6_n,cagi5_highconf_IRF6_spearman,cagi5_highconf_IRF6_pearson,cagi5_highconf_IRF6_n,cagi5_all_LDLR_spearman,cagi5_all_LDLR_pearson,cagi5_all_LDLR_n,cagi5_highconf_LDLR_spearman,cagi5_highconf_LDLR_pearson,cagi5_highconf_LDLR_n,cagi5_matched_bn_all_LDLR_spearman,cagi5_matched_bn_hc_LDLR_spearman,cagi5_all_MSMB_spearman,cagi5_all_MSMB_pearson,cagi5_all_MSMB_n,cagi5_highconf_MSMB_spearman,cagi5_highconf_MSMB_pearson,cagi5_highconf_MSMB_n,cagi5_all_MYCrs6983267_spearman,cagi5_all_MYCrs6983267_pearson,cagi5_all_MYCrs6983267_n,cagi5_highconf_MYCrs6983267_spearman,cagi5_highconf_MYCrs6983267_pearson,cagi5_highconf_MYCrs6983267_n,cagi5_all_PKLR_spearman,cagi5_all_PKLR_pearson,cagi5_all_PKLR_n,cagi5_highconf_PKLR_spearman,cagi5_highconf_PKLR_pearson,cagi5_highconf_PKLR_n,cagi5_matched_bn_all_PKLR_spearman,cagi5_matched_bn_hc_PKLR_spearman,cagi5_all_SORT1_spearman,cagi5_all_SORT1_pearson,cagi5_all_SORT1_n,cagi5_highconf_SORT1_spearman,cagi5_highconf_SORT1_pearson,cagi5_highconf_SORT1_n,cagi5_matched_bn_all_SORT1_spearman,cagi5_matched_bn_hc_SORT1_spearman,cagi5_all_TERT-GBM_spearman,cagi5_all_TERT-GBM_pearson,cagi5_all_TERT-GBM_n,cagi5_highconf_TERT-GBM_spearman,cagi5_highconf_TERT-GBM_pearson,cagi5_highconf_TERT-GBM_n,cagi5_all_TERT-HEK293T_spearman,cagi5_all_TERT-HEK293T_pearson,cagi5_all_TERT-HEK293T_n,cagi5_highconf_TERT-HEK293T_spearman,cagi5_highconf_TERT-HEK293T_pearson,cagi5_highconf_TERT-HEK293T_n,cagi5_all_ZFAND3_spearman,cagi5_all_ZFAND3_pearson,cagi5_all_ZFAND3_n,cagi5_highconf_ZFAND3_spearman,cagi5_highconf_ZFAND3_pearson,cagi5_highconf_ZFAND3_n,cagi5_all_mean_spearman,cagi5_all_mean_pearson,cagi5_highconf_mean_spearman,cagi5_highconf_mean_pearson,cagi5_all_matched_mean_spearman,cagi5_highconf_matched_mean_spearman,cagi5_matched_bn_all_mean_spearman,cagi5_matched_bn_hc_mean_spearman,probe_experiment_accuracy,probe_activity_r2,probe_activity_spearman,probe_feature_overlap
N1_dilated_cnn_heteroscedastic_seed42,dilated_cnn,heteroscedastic_mse,42,0.72679203748703,0.6648813539775356,0.48435451319758094,0.13776211440563202,22571,0.8593364732606111,0.8881688632281457,0.9045047628093774,0.7941217661892679,0.8409602642059326,0.8168439185396165,0.8726460933685303,0.8621964847094307,0.8885421752929688,0.8770143488790106,2226,0.8156798698914282,0.8633598608580944,0.8168439185396165,0.8621964847094307,0.8168439185396165,0.8621964847094307,0.8168439185396165,0.8621964847094307,2226,0.4142076338438971,0.5396912781368585,671,0.8070308744181324,0.7947915393899447,111,0.4142076338438971,0.8070308744181324,0.25476472020163027,0.42291154829178346,869,0.5770536849700816,0.5039070269425345,143,0.25476472020163027,0.5770536849700816,0.41250298021195464,0.5134409632364716,432,0.6866180702784529,0.6801519662206625,64,0.41250298021195464,0.6866180702784529,0.35574587646946265,0.47818688713163127,633,0.6066533706082311,0.5926188270387236,125,0.35574587646946265,0.6066533706082311,0.24859799986765155,0.34496644935966647,672,0.5519734078012787,0.5460602754001287,95,0.14247422985515856,0.1539156995791996,972,0.18359707514518905,0.23433194834664783,462,0.15491516626491053,0.09449547473192708,1357,0.1692064022041831,0.14706422465426347,236,0.3543382131208003,0.5295994422453263,717,0.4847069310880244,0.5251669683767215,288,0.3543382131208003,0.4847069310880244,0.11664049254787895,0.09034014820633816,1344,0.22837406341285527,0.16066249467721838,263,0.1463511876621007,0.11223536524832817,1364,0.5246658206257737,0.4787058582197107,76,0.2331861307455902,0.3066412198214613,1025,0.521139469999809,0.48251855847080477,180,0.2331861307455902,0.521139469999809,0.27948885827199843,0.23786961506696547,1360,0.43908101491817964,0.35927897821141963,523,0.27948885827199843,0.43908101491817964,0.21912911640074936,0.23882016480579374,575,0.18119159636394844,0.25688455810171945,220,0.12668528138234986,0.15233162663220323,575,0.04675867965854371,0.13519354045410753,98,0.1599529699590598,0.14972135552420873,1247,0.2040788597494648,0.23364506868285095,214,0.2412653904536795,0.29101114920121085,0.4141419547494764,0.4087321222124972,0.32917634469504764,0.5888976308972731,0.32917634469504764,0.5888976308972731,0.6952889619282389,0.5000596046447754,0.6696941899003709,0.5338347521030337
N2_dilated_cnn_heteroscedastic_rcmixup_seed42,dilated_cnn,heteroscedastic_mse,42,0.7350852489471436,0.6795117813805743,0.4962059089132767,0.1321261078119278,22571,0.8415115224713215,0.8872801417084897,0.9033283491859352,0.8077274273178189,0.8545476794242859,0.8356610805388779,0.9010530710220337,0.8971484058240308,0.906509518623352,0.9065093499215447,2226,0.8348822283405867,0.8970381700438238,0.8356610805388779,0.8971484058240308,0.8356610805388779,0.8971484058240308,0.8356610805388779,0.8971484058240308,2226,0.42323200065210165,0.5604406977560281,671,0.7875426324627369,0.7879352688485759,111,0.42323200065210165,0.7875426324627369,0.2595516884980614,0.39679251136793436,869,0.4895757843677287,0.4412611774038466,143,0.2595516884980614,0.4895757843677287,0.4041596989727098,0.4651995474754978,432,0.7452798731056067,0.6588047807700104,64,0.4041596989727098,0.7452798731056067,0.3794883041869771,0.49404746748317346,633,0.5562423166848619,0.5226469614616037,125,0.3794883041869771,0.5562423166848619,0.1878619404448473,0.34121946024968786,672,0.47413881761053045,0.5836407468603793,95,0.08744489833442749,0.0571603725295428,972,0.13394257385934194,0.11978462526132012,462,0.11873343637201474,0.08485055803867864,1357,0.14347465189866412,0.13678583162194047,236,0.3404224162318938,0.6200003471754492,717,0.42720094689457844,0.5943039948690051,288,0.3404224162318938,0.42720094689457844,0.11424448174260247,0.11189199872371508,1344,0.2039436627074467,0.17672947575868922,263,0.11130997103364917,0.10075086130034168,1364,0.3789625507843956,0.2975743074970974,76,0.2976972027257447,0.38936016079376307,1025,0.5612577506507601,0.5624425672733204,180,0.2976972027257447,0.5612577506507601,0.1979082214622633,0.22218186386496155,1360,0.3172100348504039,0.2997806468835754,523,0.1979082214622633,0.3172100348504039,0.47449123129880616,0.48009405814646844,575,0.6122861966812416,0.4998037172313399,220,0.40939448477225404,0.40985216443479167,575,0.5786585872539456,0.5117342962382421,98,0.14287743965059832,0.14249089293003908,1247,0.2263293501062211,0.23897756450820715,214,0.26325449442526344,0.3250888641513382,0.442403048661231,0.42881373083247687,0.3289227903899645,0.5549013341452396,0.3289227903899645,0.5549013341452396,0.6991235278006026,0.5147973299026489,0.681801130681989,0.3406719519655037
N3_dilated_cnn_heteroscedastic_ranking_seed42,dilated_cnn,heteroscedastic_ranking,42,0.72679203748703,0.6648813539775356,0.48435451319758094,0.13776211440563202,22571,0.8593364732606111,0.8881688632281457,0.9045047628093774,0.7941217661892679,0.8409602642059326,0.8168439185396165,0.8726460933685303,0.8621964847094307,0.8885421752929688,0.8770143488790106,2226,0.8156798698914282,0.8633598608580944,0.8168439185396165,0.8621964847094307,0.8168439185396165,0.8621964847094307,0.8168439185396165,0.8621964847094307,2226,0.4142076338438971,0.5396912781368585,671,0.8070308744181324,0.7947915393899447,111,0.4142076338438971,0.8070308744181324,0.25476472020163027,0.42291154829178346,869,0.5770536849700816,0.5039070269425345,143,0.25476472020163027,0.5770536849700816,0.41250298021195464,0.5134409632364716,432,0.6866180702784529,0.6801519662206625,64,0.41250298021195464,0.6866180702784529,0.35574587646946265,0.47818688713163127,633,0.6066533706082311,0.5926188270387236,125,0.35574587646946265,0.6066533706082311,0.24859799986765155,0.34496644935966647,672,0.5519734078012787,0.5460602754001287,95,0.14247422985515856,0.1539156995791996,972,0.18359707514518905,0.23433194834664783,462,0.15491516626491053,0.09449547473192708,1357,0.1692064022041831,0.14706422465426347,236,0.3543382131208003,0.5295994422453263,717,0.4847069310880244,0.5251669683767215,288,0.3543382131208003,0.4847069310880244,0.11664049254787895,0.09034014820633816,1344,0.22837406341285527,0.16066249467721838,263,0.1463511876621007,0.11223536524832817,1364,0.5246658206257737,0.4787058582197107,76,0.2331861307455902,0.3066412198214613,1025,0.521139469999809,0.48251855847080477,180,0.2331861307455902,0.521139469999809,0.27948885827199843,0.23786961506696547,1360,0.43908101491817964,0.35927897821141963,523,0.27948885827199843,0.43908101491817964,0.21912911640074936,0.23882016480579374,575,0.18119159636394844,0.25688455810171945,220,0.12668528138234986,0.15233162663220323,575,0.04675867965854371,0.13519354045410753,98,0.1599529699590598,0.14972135552420873,1247,0.2040788597494648,0.23364506868285095,214,0.2412653904536795,0.29101114920121085,0.4141419547494764,0.4087321222124972,0.32917634469504764,0.5888976308972731,0.32917634469504764,0.5888976308972731,0.6952889619282389,0.5000596046447754,0.6696941899003709,0.5338347521030337
N4_dilated_cnn_heteroscedastic_ranking_rcmixup_seed42,dilated_cnn,heteroscedastic_ranking,42,0.7350852489471436,0.6795117813805743,0.4962059089132767,0.1321261078119278,22571,0.8415115224713215,0.8872801417084897,0.9033283491859352,0.8077274273178189,0.8545476794242859,0.8356610805388779,0.9010530710220337,0.8971484058240308,0.906509518623352,0.9065093499215447,2226,0.8348822283405867,0.8970381700438238,0.8356610805388779,0.8971484058240308,0.8356610805388779,0.8971484058240308,0.8356610805388779,0.8971484058240308,2226,0.42323200065210165,0.5604406977560281,671,0.7875426324627369,0.7879352688485759,111,0.42323200065210165,0.7875426324627369,0.2595516884980614,0.39679251136793436,869,0.4895757843677287,0.4412611774038466,143,0.2595516884980614,0.4895757843677287,0.4041596989727098,0.4651995474754978,432,0.7452798731056067,0.6588047807700104,64,0.4041596989727098,0.7452798731056067,0.3794883041869771,0.49404746748317346,633,0.5562423166848619,0.5226469614616037,125,0.3794883041869771,0.5562423166848619,0.1878619404448473,0.34121946024968786,672,0.47413881761053045,0.5836407468603793,95,0.08744489833442749,0.0571603725295428,972,0.13394257385934194,0.11978462526132012,462,0.11873343637201474,0.08485055803867864,1357,0.14347465189866412,0.13678583162194047,236,0.3404224162318938,0.6200003471754492,717,0.42720094689457844,0.5943039948690051,288,0.3404224162318938,0.42720094689457844,0.11424448174260247,0.11189199872371508,1344,0.2039436627074467,0.17672947575868922,263,0.11130997103364917,0.10075086130034168,1364,0.3789625507843956,0.2975743074970974,76,0.2976972027257447,0.38936016079376307,1025,0.5612577506507601,0.5624425672733204,180,0.2976972027257447,0.5612577506507601,0.1979082214622633,0.22218186386496155,1360,0.3172100348504039,0.2997806468835754,523,0.1979082214622633,0.3172100348504039,0.47449123129880616,0.48009405814646844,575,0.6122861966812416,0.4998037172313399,220,0.40939448477225404,0.40985216443479167,575,0.5786585872539456,0.5117342962382421,98,0.14287743965059832,0.14249089293003908,1247,0.2263293501062211,0.23897756450820715,214,0.26325449442526344,0.3250888641513382,0.442403048661231,0.42881373083247687,0.3289227903899645,0.5549013341452396,0.3289227903899645,0.5549013341452396,0.6991235278006026,0.5147973299026489,0.681801130681989,0.3406719519655037
N5_dilated_cnn_heteroscedastic_evoaug_seed42,dilated_cnn,heteroscedastic_mse,42,0.729482889175415,0.6656616234749037,0.48497525955201076,0.13364867866039276,22571,0.8452156932423907,0.8908591891611289,0.9065981285284269,0.7984357549778551,0.84617018699646,0.8222318546917093,0.8685808181762695,0.8582518269158833,0.8864151835441589,0.8778478122191808,2226,0.8237085731773581,0.8580365002358505,0.8222318546917093,0.8582518269158833,0.8222318546917093,0.8582518269158833,0.8222318546917093,0.8582518269158833,2226,0.35642339436634163,0.49563832741142994,671,0.7818993360982607,0.7724630358321348,111,0.35642339436634163,0.7818993360982607,0.22417655485181187,0.31712295503428417,869,0.49045417544922754,0.437198347047261,143,0.22417655485181187,0.49045417544922754,0.3939304984634826,0.46882740898726616,432,0.7171634543286858,0.6669655395371499,64,0.3939304984634826,0.7171634543286858,0.36909398709028046,0.4976689827120186,633,0.6257441836050551,0.6185172828928142,125,0.36909398709028046,0.6257441836050551,0.15990917038487076,0.20997975802896948,672,0.3775023157941888,0.42468074311456655,95,0.13113464424689855,0.08482287466790023,972,0.1720490433261358,0.16544125082956912,462,0.22686957946020686,0.16541614016622697,1357,0.24905449089285694,0.22360367126644468,236,0.33072302130231374,0.3526657846843284,717,0.36884043220075435,0.33437439145987724,288,0.33072302130231374,0.36884043220075435,0.15375223347628503,0.15643689451963927,1344,0.27469931085153254,0.2646497685158813,263,0.15407257438913546,0.12855971748671324,1364,0.5502172389569504,0.4873519429988778,76,0.25290950989592703,0.3289667827311815,1025,0.5182102346434986,0.49855787493020043,180,0.25290950989592703,0.5182102346434986,0.20839089627009552,0.17765846139157038,1360,0.30257091259738167,0.25818463719215456,523,0.20839089627009552,0.30257091259738167,0.37978721979801633,0.358913922627259,575,0.3950162086883859,0.37751086755762286,220,0.26803974102647754,0.261687652225042,575,0.267167860222736,0.3202487269255343,98,0.09312566676867826,0.12206693080534546,1247,0.13832850460790327,0.19310744321023438,214,0.2468225794527214,0.27509550623194495,0.4152611801509035,0.40285703488735486,0.30509255174860755,0.543554675560409,0.30509255174860755,0.543554675560409,0.6687208983840044,0.509543776512146,0.6740842691558911,0.5975209896576911
N6_dilated_cnn_heteroscedastic_curriculum_seed42,dilated_cnn,heteroscedastic_mse,42,0.7208520174026489,0.656152069075322,0.4762139397660062,0.13591499626636505,22571,0.8276396474978447,0.8794715988922847,0.8999138880419146,0.7955032752849835,0.8430674076080322,0.8237068177818049,0.8997299671173096,0.8954724847026907,0.9041268825531006,0.8991625936849883,2226,0.8247860509607408,0.8944820995811305,0.8237068177818049,0.8954724847026907,0.8237068177818049,0.8954724847026907,0.8237068177818049,0.8954724847026907,2226,0.4110362467683304,0.5701994283002323,671,0.8372703419512625,0.8203332572254347,111,0.4110362467683304,0.8372703419512625,0.18683063782330317,0.28686720430039325,869,0.49034335040623467,0.4126779140694336,143,0.18683063782330317,0.49034335040623467,0.40095495399713077,0.4383963778224035,432,0.6158343558514692,0.627727544550386,64,0.40095495399713077,0.6158343558514692,0.3741357438406103,0.5726854392819998,633,0.6472563004231404,0.6297319726372222,125,0.3741357438406103,0.6472563004231404,0.15558993261265816,0.2664343780713345,672,0.455448988915641,0.4683852266107487,95,0.12510464985715766,0.1184108216721127,972,0.1914014970146343,0.19492267256340592,462,0.1501979160987925,0.07169817151613947,1357,0.1137725470751446,0.0710122684467651,236,0.30971872037111264,0.5207390824469378,717,0.4018548990782438,0.501323539879275,288,0.30971872037111264,0.4018548990782438,0.11541434846987485,0.08737232501102538,1344,0.17930375298807474,0.11500501795675735,263,0.13997617303391033,0.13641796167020956,1364,0.4251821667057265,0.3929890820907714,76,0.25247616221476005,0.31813857978296967,1025,0.536594350325464,0.5213033144704026,180,0.25247616221476005,0.536594350325464,0.17915239440104017,0.22797756108016065,1360,0.26769877871862985,0.2792931384222569,523,0.17915239440104017,0.26769877871862985,0.41011316234505746,0.41397310503952667,575,0.542803326990101,0.46664294953504903,220,0.3172114546140016,0.3121849987386438,575,0.5662244640664151,0.4398847228690447,98,0.1186461078086857,0.10047779241969343,1247,0.1707389439585685,0.17947119774402936,214,0.2431039069504283,0.2961315484769188,0.42944853763124996,0.4080469212713988,0.3020435513451839,0.542407482393492,0.3020435513451839,0.542407482393492,0.68173103259381,0.4971984624862671,0.6646029129755203,0.5961995453214869
N6_test_curriculum_seed42,dilated_cnn,heteroscedastic_mse,42,0.6501683592796326,0.5787668594884792,0.41168855452575825,0.16846731305122375,22571,0.7986597274529836,0.8623075823351467,0.8836065537457362,0.75512965930043,0.7705200910568237,0.7603241113719187,0.7817156314849854,0.7882740725888018,0.8011804223060608,0.8077016038453385,2226,0.7534289078470128,0.7977581493259998,0.7603241113719187,0.7882740725888018,0.7603241113719187,0.7882740725888018,0.7603241113719187,0.7882740725888018,2226,0.3553267602375843,0.6022744720621307,671,0.7923258307809943,0.8037321102667695,111,0.3553267602375843,0.7923258307809943,0.2381654819694603,0.3493719618052059,869,0.5441078624670417,0.43971134835347075,143,0.2381654819694603,0.5441078624670417,0.4349781854270281,0.5055336066216157,432,0.7251836226839607,0.7107876037562316,64,0.4349781854270281,0.7251836226839607,0.3345916410910843,0.48987298509852645,633,0.630165828527384,0.6124231852925887,125,0.3345916410910843,0.630165828527384,0.15666507342836417,0.19753158497906742,672,0.45963108326753344,0.3929982061584143,95,0.21791145589316144,0.2463976246993606,972,0.3022417510856211,0.33032221802329376,462,0.14328255891867162,0.09743043957457995,1357,0.1279232977931464,0.15728425308387267,236,0.35271466278144326,0.5622789818304983,717,0.4749943705771111,0.5690291654270794,288,0.35271466278144326,0.4749943705771111,0.13536660550544447,0.09629785074283173,1344,0.16855478579765926,0.12941031101013656,263,0.07492423375118042,0.06800975832834157,1364,-0.01544301461236537,0.12140848325452036,76,0.13195719118328256,0.21365955215520535,1025,0.3727403118871546,0.3211472322187023,180,0.13195719118328256,0.3727403118871546,0.24699251119027266,0.23120908318972064,1360,0.42295999516780325,0.3594528277360493,523,0.24699251119027266,0.42295999516780325,0.5044252197301938,0.5813739165272283,575,0.6209841642052906,0.6260289533672242,220,0.4349552048066936,0.4966688103941348,575,0.5582411193326777,0.5982428930584217,98,0.14278129481239665,0.12959796067500182,1247,0.21286235087931618,0.2274001711718687,214,0.2603358720484174,0.3245005725788966,0.4264982239893553,0.426625264145243,0.2992466334114508,0.5660682602987784,0.2992466334114508,0.5660682602987784,0.6743357984113941,0.42715561389923096,0.6083644062331428,0.15112178693979944
N7_bilstm_heteroscedastic_rcmixup_seed42,bilstm,heteroscedastic_mse,42,0.7062665224075317,0.6396520877996122,0.4614858658789067,0.13982053101062775,22571,0.8064990420952368,0.8717930422146997,0.8919651075455267,0.783966562755611,0.8059539198875427,0.7781779387285286,0.8273282647132874,0.8163643671564431,0.8464939594268799,0.831637453154191,2226,0.7810462985803536,0.8185877828613277,0.7781779387285286,0.8163643671564431,0.7781779387285286,0.8163643671564431,0.7781779387285286,0.8163643671564431,2226,0.4781677407276072,0.5735154168326856,671,0.8395083521735663,0.825015022789733,111,0.4781677407276072,0.8395083521735663,0.32626919648194613,0.5004270292965497,869,0.6266335255001032,0.5245006826427996,143,0.32626919648194613,0.6266335255001032,0.4402098599405359,0.5203821394346778,432,0.5997023600740018,0.6988845318555517,64,0.4402098599405359,0.5997023600740018,0.4009514976467389,0.567158253564213,633,0.6235379702247686,0.6096941279434801,125,0.4009514976467389,0.6235379702247686,0.23242809270651654,0.33835836770166483,672,0.5817664518190315,0.5445129887686415,95,0.20048433290694603,0.15010396921358402,972,0.2849798445532843,0.24276202774886538,462,0.1939776875254195,0.12756460813021003,1357,0.12784386331158584,0.1912271609175665,236,0.3645615120061186,0.510995676617282,717,0.42997201699457055,0.5198521297763526,288,0.3645615120061186,0.42997201699457055,0.21207192801149183,0.1934368134991792,1344,0.3776639179895329,0.3304480532294265,263,0.10211699582155782,0.10752708674756639,1364,0.23108440111718384,0.31100147691384844,76,0.2885942100976091,0.37807183557916146,1025,0.6087315295673463,0.6021272662246291,180,0.2885942100976091,0.6087315295673463,0.37359610637832225,0.3694415726947289,1360,0.4591986825650316,0.44486687226760163,523,0.37359610637832225,0.4591986825650316,0.43432786540389023,0.4270451261269926,575,0.5635031935959248,0.39164924926855627,220,0.33701769575394364,0.3031186435106029,575,0.48748139368548565,0.28903548153083153,98,0.17620765745060155,0.1809017005610699,1247,0.2652914349842066,0.3034340621342184,214,0.3040654919239497,0.3498698826340113,0.4737932625437083,0.45526740893414014,0.38176430332555394,0.5981834910141984,0.38176430332555394,0.5981834910141984,0.6814571350314982,0.48719048500061035,0.6595907954553233,0.143267838980512
N8_bilstm_heteroscedastic_ranking_rcmixup_seed42,bilstm,heteroscedastic_ranking,42,0.7062665224075317,0.6396520877996122,0.4614858658789067,0.13982053101062775,22571,0.8064990420952368,0.8717930422146997,0.8919651075455267,0.783966562755611,0.8059539198875427,0.7781779387285286,0.8273282647132874,0.8163643671564431,0.8464939594268799,0.831637453154191,2226,0.7810462985803536,0.8185877828613277,0.7781779387285286,0.8163643671564431,0.7781779387285286,0.8163643671564431,0.7781779387285286,0.8163643671564431,2226,0.4781677407276072,0.5735154168326856,671,0.8395083521735663,0.825015022789733,111,0.4781677407276072,0.8395083521735663,0.32626919648194613,0.5004270292965497,869,0.6266335255001032,0.5245006826427996,143,0.32626919648194613,0.6266335255001032,0.4402098599405359,0.5203821394346778,432,0.5997023600740018,0.6988845318555517,64,0.4402098599405359,0.5997023600740018,0.4009514976467389,0.567158253564213,633,0.6235379702247686,0.6096941279434801,125,0.4009514976467389,0.6235379702247686,0.23242809270651654,0.33835836770166483,672,0.5817664518190315,0.5445129887686415,95,0.20048433290694603,0.15010396921358402,972,0.2849798445532843,0.24276202774886538,462,0.1939776875254195,0.12756460813021003,1357,0.12784386331158584,0.1912271609175665,236,0.3645615120061186,0.510995676617282,717,0.42997201699457055,0.5198521297763526,288,0.3645615120061186,0.42997201699457055,0.21207192801149183,0.1934368134991792,1344,0.3776639179895329,0.3304480532294265,263,0.10211699582155782,0.10752708674756639,1364,0.23108440111718384,0.31100147691384844,76,0.2885942100976091,0.37807183557916146,1025,0.6087315295673463,0.6021272662246291,180,0.2885942100976091,0.6087315295673463,0.37359610637832225,0.3694415726947289,1360,0.4591986825650316,0.44486687226760163,523,0.37359610637832225,0.4591986825650316,0.43432786540389023,0.4270451261269926,575,0.5635031935959248,0.39164924926855627,220,0.33701769575394364,0.3031186435106029,575,0.48748139368548565,0.28903548153083153,98,0.17620765745060155,0.1809017005610699,1247,0.2652914349842066,0.3034340621342184,214,0.3040654919239497,0.3498698826340113,0.4737932625437083,0.45526740893414014,0.38176430332555394,0.5981834910141984,0.38176430332555394,0.5981834910141984,0.6814571350314982,0.48719048500061035,0.6595907954553233,0.143267838980512
bilstm_baseline_mse_seed123,bilstm,baseline_mse,123,0.749563455581665,0.6974178368809177,0.5147929536124745,0.11914539337158203,22571,0.8413335036939126,0.8880293090501821,0.9010718762349502,0.8130408637959273,0.829071044921875,0.8106683222050985,0.7694014310836792,0.7570553572951545,0.8284961581230164,0.8178913882788487,2226,0.8104310478849855,0.7573509806640002,0.8106683222050985,0.7570553572951545,,,,,2226,0.3204294244129022,0.5980296774658298,671,0.6700339310257674,0.7694879691287074,111,,,0.3031162693252267,0.4292279015457603,869,0.6709430195411316,0.4936702458116416,143,,,0.4073870770641579,0.4860341116481147,432,0.602727109282277,0.5699244716063127,64,,,0.36973300836934314,0.6256603750831643,633,0.6819749703170908,0.6562500568435414,125,,,0.140312817505353,0.2153823265408243,672,0.3803674357103094,0.36065553741567635,95,0.11982115911887566,0.11935660732556996,972,0.17253004502213537,0.18897373463755612,462,0.16109555801723827,0.12213068068397268,1357,0.09352268903732139,0.17407310617119348,236,0.3731480404392091,0.548748637603337,717,0.5906988553042565,0.5892593042733143,288,,,0.18748758819975336,0.23200199495917287,1344,0.35671499620592256,0.3329885860951334,263,0.17386871730443937,0.21225720927791816,1364,0.5759054421828336,0.48952228230915146,76,0.32482781216147727,0.4692699501717509,1025,0.6154048771335667,0.6122426356217376,180,,,0.1758215098385318,0.1686242616154388,1360,0.1930699660868834,0.19850512439306972,523,,,0.49635275774800625,0.43742828710318216,575,0.6783005862874765,0.5425470155423829,220,0.3520491667515187,0.3353554178339918,575,0.5930439113109037,0.559212846404842,98,0.15424628737612847,0.1603395872811307,1247,0.2813227605165711,0.27994376296909856,214,0.2706464795754774,0.34398980174261057,0.47710403966429643,0.45448377861489064,0.35126604173005127,0.6427624940685165,,,0.620514927417146,0.40435636043548584,0.5938561412859912,0.15169808683291527
