model,architecture,condition,seed,pearson,spearman,kendall,mse,n_samples,ndcg@100,ndcg@500,ndcg@1000,spearman_extreme,cross_pearson_k562,cross_spearman_k562,cross_pearson_hepg2,cross_spearman_hepg2,cross_pearson_consensus,cross_spearman_consensus,cross_n_samples,cagi5_F9_spearman,cagi5_F9_pearson,cagi5_F9_n,cagi5_GP1BB_spearman,cagi5_GP1BB_pearson,cagi5_GP1BB_n,cagi5_HBB_spearman,cagi5_HBB_pearson,cagi5_HBB_n,cagi5_HBG1_spearman,cagi5_HBG1_pearson,cagi5_HBG1_n,cagi5_HNF4A_spearman,cagi5_HNF4A_pearson,cagi5_HNF4A_n,cagi5_IRF4_spearman,cagi5_IRF4_pearson,cagi5_IRF4_n,cagi5_IRF6_spearman,cagi5_IRF6_pearson,cagi5_IRF6_n,cagi5_LDLR_spearman,cagi5_LDLR_pearson,cagi5_LDLR_n,cagi5_MSMB_spearman,cagi5_MSMB_pearson,cagi5_MSMB_n,cagi5_MYCrs6983267_spearman,cagi5_MYCrs6983267_pearson,cagi5_MYCrs6983267_n,cagi5_PKLR_spearman,cagi5_PKLR_pearson,cagi5_PKLR_n,cagi5_SORT1_spearman,cagi5_SORT1_pearson,cagi5_SORT1_n,cagi5_TERT-GBM_spearman,cagi5_TERT-GBM_pearson,cagi5_TERT-GBM_n,cagi5_TERT-HEK293T_spearman,cagi5_TERT-HEK293T_pearson,cagi5_TERT-HEK293T_n,cagi5_ZFAND3_spearman,cagi5_ZFAND3_pearson,cagi5_ZFAND3_n,cagi5_mean_spearman,cagi5_k562_mean_spearman
bilstm_baseline_mse_seed42,bilstm,baseline_mse,42,0.7524900436401367,0.7018551399921034,0.5185079143281066,0.12073779851198196,22571,0.8310289967745653,0.8791431696771772,0.9022089521114414,0.8238519509699086,0.8296470642089844,0.8069852145733983,0.7634183764457703,0.7392068473982419,0.8246755003929138,0.8062053459357159,2226,0.3424487586449868,0.4712139664075891,671,0.3123152737641227,0.4543595280814975,869,0.38295373507123087,0.4582833535972613,432,0.3513083364846625,0.601467583729516,633,0.1507365999112751,0.32393234779673186,672,0.09960585275298776,0.08671812866939296,972,0.15146656343114528,0.14505988212349927,1357,0.2619061796209498,0.5192402308550489,717,0.18173814322772716,0.23753846587625174,1344,0.16485555143629424,0.3238436164348324,1364,0.2949521473491502,0.45212797576659586,1025,0.15133037498559568,0.12451229945671932,1360,0.44206020034869015,0.5071797515021381,575,0.3777834413264665,0.45229145115905856,575,0.1776555138283384,0.20653468406473502,1247,0.2562077781455748,0.3353823731672916
bilstm_ranking_seed42,bilstm,ranking_only,42,0.7381131649017334,0.7011159166720105,0.5179689049156907,0.953896701335907,22571,0.847828574551705,0.8922217024070322,0.9048319002987237,0.8134919307993402,0.8197314739227295,0.8085378262581068,0.7507046461105347,0.7426083557808347,0.8181627988815308,0.8094454308585994,2226,0.36372748144332884,0.5837368813998408,671,0.29435473299054615,0.3367464214809112,869,0.4209495250423513,0.5006231404063248,432,0.4293111664233456,0.663082732739147,633,0.17791672452236354,0.41469389209717894,672,0.11567346304859646,0.1007034303275763,972,0.07659243049430522,0.037524080883058156,1357,0.24415542661562623,0.294016795867575,717,0.09873334188797045,0.12043652450702816,1344,0.15977134661551154,0.3192215661024475,1364,0.3256324009126799,0.49766477851687474,1025,0.1533368194173882,0.1293345582266776,1360,0.4163099386067734,0.44233797343924985,575,0.2678212037249246,0.32141839072932143,575,0.17571016046333549,0.1855957683699741,1247,0.24799974414726977,0.3675619563422307
cnn_baseline_mse_seed42,cnn,baseline_mse,42,0.6542451977729797,0.587633589138107,0.4218670906646359,0.15628965198993683,22571,0.8383124961168267,0.874605506129448,0.8857761289127504,0.7604643760315377,0.7406924366950989,0.7185628148935287,0.676830530166626,0.664928995194734,0.7296232581138611,0.7206120901487149,2226,0.24605490875798372,0.5042075761004101,671,0.21440442768267332,0.3075293848388394,869,0.26220948665853955,0.3156111299400756,432,0.3236781428655935,0.448770125837136,633,0.12197425125287752,0.16267939728475267,672,0.09085887534868206,0.06417877935834221,972,0.16239820194782992,0.06570899326261134,1357,0.3168951414201813,0.527178741007257,717,0.134246782303614,0.14529533418747886,1344,0.06899363690879955,0.06108189071553369,1364,0.1928771626219654,0.25105865867382027,1025,0.11663192867671646,0.0879001433730448,1360,0.4302879099333596,0.42890096834407637,575,0.3285020960693926,0.3343226294745192,575,0.04775633330970896,0.059646168365056346,1247,0.2038512857171945,0.24829230495719296
cnn_multi_mse_seed42,cnn,baseline_mse,42,0.6374050378799438,0.5617015680111023,0.3994061078900312,0.17140871286392212,22571,0.8141323899825609,0.8677631896118224,0.8800863995535754,0.7396580292269428,0.8047761917114258,0.782120715980909,0.8586612939834595,0.850337395086777,0.8558632135391235,0.8525949848346421,2226,0.24371306926199046,0.4167312913489139,671,0.2727206693345713,0.33563036070694807,869,0.29607785992722874,0.3277584349957139,432,0.16814389368002391,0.27635750240217744,633,0.168671931423381,0.1941599109028819,672,0.18438022909079754,0.1807651709724923,972,0.1811830368059458,0.11917020324870403,1357,0.2764121926820004,0.43158957087035554,717,0.16149991205522513,0.1238296308599153,1344,0.07911992735231496,0.04245908864086778,1364,0.16308834453860757,0.23772654649579955,1025,0.16461470228296105,0.15474948591854656,1360,0.42149832784264857,0.4631573634788305,575,0.3892021810585732,0.3871792119234507,575,0.09771846268954586,0.09978390448311884,1247,0.21786964933505437,0.22500769187010788
cnn_ranking_seed42,cnn,ranking_only,42,0.6294815540313721,0.5826090466915693,0.4156810632435679,0.989223301410675,22571,0.8192018041760185,0.8659799492840144,0.8774223899718061,0.7416309009980878,0.7231926321983337,0.7152995807974809,0.688739538192749,0.6936749606508549,0.7347661852836609,0.7337818382673098,2226,0.2813992693960748,0.45168215146119506,671,0.21655007757025138,0.26373502891946043,869,0.3350033944739104,0.3603986137437195,432,0.3435676091950865,0.47090019469214806,633,0.23118141572928014,0.2336386732127605,672,0.11791944484530116,0.07884226839140951,972,0.15731549840372727,0.08876565897170022,1357,0.31500953327692854,0.42173842737894796,717,0.143251700262765,0.1483490464102786,1344,0.09923601271866231,0.11302846329741764,1364,0.2197127851571698,0.307755775414195,1025,0.13306924451135732,0.09845954448158568,1360,0.43737638338635626,0.43999377810330675,575,0.33210081165352495,0.32720608615543456,575,0.07654635824421767,0.1147151997263553,1247,0.22928263592164094,0.27870846659910453
dilated_cnn_baseline_mse_seed42,dilated_cnn,baseline_mse,42,0.7360388040542603,0.6773086667868492,0.496910621834269,0.12473074346780777,22571,0.854275083860675,0.8869186840790301,0.902532289798022,0.8158875463987254,0.8336153030395508,0.812013778771565,0.7643793821334839,0.7474426819391982,0.8255611658096313,0.8128606174767141,2226,0.2678923976742462,0.5295548464461867,671,0.25584928950114844,0.3499174770842409,869,0.5003759781218513,0.5673381770676011,432,0.3454239366718127,0.4363298806544932,633,0.0946228875297188,0.23574781965216268,672,0.04988478686446578,0.02361164317548279,972,0.11088061831888273,0.06292436509209728,1357,0.3160031908246029,0.5221630619965103,717,0.13175617675857992,0.15402373189250515,1344,0.13146608028081863,0.17721208645017897,1364,0.2921688116550901,0.5723467222433627,1025,0.12157107947254987,0.13941094822215344,1360,0.4384164600507957,0.45091116234828493,575,0.3330552984926205,0.33678622762808896,575,0.12035700422932173,0.1325472751440803,1247,0.23398159976310032,0.3484545039874756
dilated_cnn_multi_mse_seed42,dilated_cnn,baseline_mse,42,0.7190035581588745,0.6542507906501567,0.4752727108787025,0.14161880314350128,22571,0.8404313955218746,0.8851832991363268,0.905531007131202,0.7916992381625712,0.8375679850578308,0.8171465200113204,0.8668908476829529,0.861920863708579,0.8770754933357239,0.8768645087634174,2226,0.37618140617257173,0.5239083173271611,671,0.2657681845301231,0.3816523431789083,869,0.4047736373027201,0.5322553195867559,432,0.35951472497807546,0.5639783844595568,633,0.2323038864256209,0.3030503480335124,672,0.2069846620258997,0.17515350932007145,972,0.12654295859041315,0.11221235324092639,1357,0.3008577769103963,0.5310764844847521,717,0.17233433029948375,0.14957207523290342,1344,0.1271892971843776,0.0974656922710089,1364,0.25150350225311857,0.4216029268820146,1025,0.24152136754710862,0.2703506805067565,1360,0.5064206884969614,0.5015161569761857,575,0.3877274094001512,0.389062381994645,575,0.08028377728132201,0.10387010896361407,1247,0.2693271739598896,0.32039001226600927
dilated_cnn_ranking_seed42,dilated_cnn,ranking_only,42,0.6996922492980957,0.6771140033252291,0.49641572859312694,1.7047913074493408,22571,0.8211379127507895,0.8752977739887248,0.8936600950629567,0.8068542954577249,0.8179438710212708,0.8069295580919928,0.7483947277069092,0.7444100873966194,0.815447211265564,0.8095237398566479,2226,0.3107133342332488,0.5518975630463387,671,0.25914973700856264,0.35106175737042955,869,0.44260092951042085,0.5579629865276252,432,0.3953076772313087,0.5883177502514512,633,0.1787530969820811,0.2688500854375745,672,0.05544226324460202,0.023689253964382644,972,0.12611146653864724,0.1278191784583762,1357,0.319618680042628,0.5418066527583337,717,0.14195781850304398,0.19088890023664484,1344,0.11034072072602771,0.12055991215169692,1364,0.31966931371299434,0.506859434925396,1025,0.15271971301797968,0.1705297072135623,1360,0.4409690541272264,0.4069339946330882,575,0.3818236824395345,0.3289745917333875,575,0.13483157448377203,0.15958780268295888,1247,0.25133393745347193,0.3541819143658216
transformer_baseline_mse_seed42,transformer,baseline_mse,42,0.6544619798660278,0.590057405207095,0.4217848143289653,0.15782438218593597,22571,0.8226608642160658,0.8661479262503391,0.8808038857505296,0.7588978497337251,0.75491863489151,0.7294828874755073,0.7162498235702515,0.6979422543391472,0.7608315348625183,0.7433657666790101,2226,0.21676185343852988,0.48873425226781786,671,0.18011430237727757,0.3268473326460226,869,0.2504168887804614,0.2572022840132787,432,0.33808150930121417,0.356139874147823,633,0.1954843088029271,0.2836979008614594,672,0.0934690082464942,0.06753637562959171,972,0.09665869974484709,0.07363431752849645,1357,0.25924664132324926,0.34319883914532684,717,0.13555609048036715,0.19239990509822907,1344,0.11480513662809008,0.10415082976576613,1364,0.15517444332640734,0.17792755981621672,1025,0.11400446804745894,0.10463449832588471,1360,0.39403632060225285,0.3701051389079412,575,0.3297941588008481,0.28025882990662976,575,0.1071303293972964,0.11141342716347445,1247,0.1987156106198481,0.2309467859463401
transformer_ranking_seed42,transformer,ranking_only,42,0.6151502728462219,0.593259176047127,0.4238728886395946,0.9373642206192017,22571,0.8239066816655066,0.8657988010653886,0.8746952002479099,0.7511755594642006,0.7205953598022461,0.7270374250960813,0.6790591478347778,0.6916379785913835,0.733583927154541,0.7394870565887551,2226,0.23994801305125388,0.488142164100067,671,0.19562173627458537,0.2742203796979207,869,0.3265073397025506,0.3574831012392222,432,0.2778016771117007,0.3587232287501353,633,0.08049580930864701,0.1662796677633218,672,0.09286562692622753,0.11162501405088371,972,0.14838007061097924,0.134052822963505,1357,0.20451705097492873,0.2943234513649984,717,0.07732265769813941,0.09943402677509174,1344,0.05157864624344965,0.0694104592417767,1364,0.215055875881557,0.26538266661348775,1025,0.11849414235189386,0.10800457577380133,1360,0.39005447332361437,0.35150052999638526,575,0.30352072243036,0.2715084779850407,575,0.087289321864283,0.11685155041165687,1247,0.18729687758361133,0.25374665724259843
