model,architecture,condition,seed,pearson,spearman,kendall,mse,n_samples,ndcg@100,ndcg@500,ndcg@1000,spearman_extreme,cross_pearson_k562,cross_spearman_k562,cross_pearson_hepg2,cross_spearman_hepg2,cross_pearson_consensus,cross_spearman_consensus,cross_n_samples,cagi5_F9_spearman,cagi5_F9_pearson,cagi5_F9_n,cagi5_GP1BB_spearman,cagi5_GP1BB_pearson,cagi5_GP1BB_n,cagi5_HBB_spearman,cagi5_HBB_pearson,cagi5_HBB_n,cagi5_HBG1_spearman,cagi5_HBG1_pearson,cagi5_HBG1_n,cagi5_HNF4A_spearman,cagi5_HNF4A_pearson,cagi5_HNF4A_n,cagi5_IRF4_spearman,cagi5_IRF4_pearson,cagi5_IRF4_n,cagi5_IRF6_spearman,cagi5_IRF6_pearson,cagi5_IRF6_n,cagi5_LDLR_spearman,cagi5_LDLR_pearson,cagi5_LDLR_n,cagi5_MSMB_spearman,cagi5_MSMB_pearson,cagi5_MSMB_n,cagi5_MYCrs6983267_spearman,cagi5_MYCrs6983267_pearson,cagi5_MYCrs6983267_n,cagi5_PKLR_spearman,cagi5_PKLR_pearson,cagi5_PKLR_n,cagi5_SORT1_spearman,cagi5_SORT1_pearson,cagi5_SORT1_n,cagi5_TERT-GBM_spearman,cagi5_TERT-GBM_pearson,cagi5_TERT-GBM_n,cagi5_TERT-HEK293T_spearman,cagi5_TERT-HEK293T_pearson,cagi5_TERT-HEK293T_n,cagi5_ZFAND3_spearman,cagi5_ZFAND3_pearson,cagi5_ZFAND3_n,cagi5_mean_spearman,cagi5_k562_mean_spearman,probe_experiment_accuracy,probe_activity_r2,probe_activity_spearman,probe_feature_overlap
bilstm_baseline_mse_seed123,bilstm,baseline_mse,123,0.749563455581665,0.6974178368809177,0.5147929536124745,0.11914539337158203,22571,0.8413335036939126,0.8880293090501821,0.9010718762349502,0.8130408637959273,0.829071044921875,0.8106683222050985,0.7694014310836792,0.7570553572951545,0.8284961581230164,0.8178913882788487,2226,0.3204294244129022,0.5980296774658298,671,0.3031162693252267,0.4292279015457603,869,0.4073870770641579,0.4860341116481147,432,0.36973300836934314,0.6256603750831643,633,0.140312817505353,0.2153823265408243,672,0.11982115911887566,0.11935660732556996,972,0.16109555801723827,0.12213068068397268,1357,0.3731480404392091,0.548748637603337,717,0.18748758819975336,0.23200199495917287,1344,0.17386871730443937,0.21225720927791816,1364,0.32482781216147727,0.4692699501717509,1025,0.1758215098385318,0.1686242616154388,1360,0.49635275774800625,0.43742828710318216,575,0.3520491667515187,0.3353554178339918,575,0.15424628737612847,0.1603395872811307,1247,0.2706464795754774,0.35126604173005127,0.620514927417146,0.40435636043548584,0.5938561412859912,0.15169808683291527
bilstm_baseline_mse_seed42,bilstm,baseline_mse,42,0.7524900436401367,0.7018551399921034,0.5185079143281066,0.12073779851198196,22571,0.8310289967745653,0.8791431696771772,0.9022089521114414,0.8238519509699086,0.8296470642089844,0.8069852145733983,0.7634183764457703,0.7392068473982419,0.8246755003929138,0.8062053459357159,2226,0.3424487586449868,0.4712139664075891,671,0.3123152737641227,0.4543595280814975,869,0.38295373507123087,0.4582833535972613,432,0.3513083364846625,0.601467583729516,633,0.1507365999112751,0.32393234779673186,672,0.09960585275298776,0.08671812866939296,972,0.15146656343114528,0.14505988212349927,1357,0.2619061796209498,0.5192402308550489,717,0.18173814322772716,0.23753846587625174,1344,0.16485555143629424,0.3238436164348324,1364,0.2949521473491502,0.45212797576659586,1025,0.15133037498559568,0.12451229945671932,1360,0.44206020034869015,0.5071797515021381,575,0.3777834413264665,0.45229145115905856,575,0.1776555138283384,0.20653468406473502,1247,0.2562077781455748,0.3353823731672916,0.6188715420432758,0.41061633825302124,0.6042206388463751,0.014665658232863758
bilstm_consensus_only_seed42,bilstm,consensus_only,42,0.6077500581741333,0.5323217569774172,0.3761602376128791,0.7302051782608032,22571,0.8146264369585868,0.8635977067745457,0.8753939504611369,0.686935124005387,0.7767919301986694,0.7513423827884026,0.7771601676940918,0.7664920035443997,0.8066972494125366,0.7904755216507166,2226,0.30148105907072986,0.5703251190848839,671,0.24959280526178637,0.3833525662599766,869,0.4619146458035988,0.49009944204298617,432,0.37728040616872277,0.5053937395111948,633,0.2504479842982501,0.29268454756305295,672,0.12550644449843162,0.13941997174613552,972,0.1505582542900837,0.07854893995251114,1357,0.27826577624148935,0.5570922112688357,717,0.15776016507111018,0.11916523209038903,1344,0.031672993420937906,0.026155198581040782,1364,0.21889666773393857,0.2638487748209025,1025,0.21536857090563713,0.16864498528087601,1360,0.4605375953420999,0.472580224679353,575,0.3486430720852076,0.38915380859679477,575,0.13357957099552312,0.13445331763161944,1247,0.2507670674125031,0.3269211312420116,0.6216105176663927,0.3062521815299988,0.5024153682918225,0.154040341203447
bilstm_contrastive_only_seed42,bilstm,contrastive_only,42,0.6784278750419617,0.6252274897486932,0.449868043990776,0.154171884059906,22571,0.8001677711074827,0.8439013650963088,0.87124675992025,0.7841018986872434,0.8002690076828003,0.7826957083282305,0.8381986021995544,0.8344676133197719,0.8469359874725342,0.8443712499718927,2226,0.4183207865664483,0.4904560930251252,671,0.3079633039643939,0.44555928927937216,869,0.3202626843518323,0.37734815746384964,432,0.32641750178322226,0.3858764864551467,633,0.2004601447016349,0.19744665630629152,672,0.17179976580819098,0.12187272690610704,972,0.21810664281839567,0.14023879184770796,1357,0.36680300493660783,0.5681838708631801,717,0.19216531229726175,-0.02363281616108006,1344,0.12860989043908658,0.08525738258091024,1364,0.17220181828423264,0.26574574169868725,1025,0.3724968018890155,0.29528004274831665,1360,0.4949770044834723,0.5846192718978083,575,0.40788574718338705,0.48417647883029846,575,0.20263361588148712,0.23025588056140667,1247,0.28674026835924465,0.2817113270959203,0.6620104081073679,0.49324846267700195,0.6607588112115426,0.04405469342339071
bilstm_full_disentangle_seed123,bilstm,full_disentangle,123,0.6871321797370911,0.626255798620713,0.45040959077595166,39.605472564697266,22571,0.8503191657159509,0.8851057066209701,0.8989278910516929,0.7725157054928602,0.8321932554244995,0.8213436060467059,0.8718678951263428,0.8814386979871,0.8861371278762817,0.8909227804374628,2226,0.3163542736664453,0.36730429708703327,671,0.2319673250598573,0.31582264703924434,869,0.39712370352801013,0.44673974421756196,432,0.30162227893710997,0.5333763216721785,633,0.18307508741262354,0.31368197706824796,672,0.12586527675876566,0.17518099498303524,972,0.08027545894029889,0.02331042714404216,1357,0.3537160863313828,0.4999152532390262,717,0.1696173842416156,0.12143826300782314,1344,0.08329679161750286,0.1000961980748682,1364,0.2386717058105088,0.20247178614723088,1025,0.2658235558627285,0.20687507859481247,1360,0.3208192412967919,0.26418840451961634,575,0.2959299367460399,0.29237717166799276,575,0.1633806369992301,0.11760352341799707,1247,0.23516924954726073,0.29234625333387154,0.6294165981922761,0.44582581520080566,0.6277227627471333,0.0964812553627685
bilstm_full_disentangle_seed42,bilstm,full_disentangle,42,0.6820122003555298,0.6254483256177968,0.44967617786646763,24.97331428527832,22571,0.8474160224531843,0.8885453672603242,0.8988477032070227,0.7765640478354235,0.8220028877258301,0.8155716114327844,0.8432063460350037,0.853648263236645,0.8655456304550171,0.8714804493738009,2226,0.30715916614494704,0.42812955409341835,671,0.23826429371006916,0.27267990475060544,869,0.35305502989080323,0.4168612875740916,432,0.30628804756741657,0.44858089505131643,633,0.08959009734787071,0.15163160183999885,672,0.09518976431812955,0.11117612081959437,972,0.11629274912497524,0.023693892033250088,1357,0.19828114652721757,0.26368322842035297,717,0.13895345158843164,0.15473724295576408,1344,0.12387473742849034,0.09504783172656717,1364,0.2741921461172028,0.41817961801019987,1025,0.2604593153146861,0.1930814060938688,1360,0.39691553258726636,0.3707576115361738,575,0.311051246998305,0.28695396823881525,575,0.09215207683868765,0.05724149328459466,1247,0.22011458676696657,0.29294987932137295,0.6279101615995618,0.4658370614051819,0.642442582636795,0.3069414592818283
bilstm_ranking_contrastive_seed123,bilstm,ranking_contrastive,123,0.6687473654747009,0.6397362114370425,0.4591495429090389,0.30865973234176636,22571,0.7778751120940619,0.8453367197842351,0.8618916104809692,0.7729086636612176,0.7799026966094971,0.77304193746846,0.8264108300209045,0.8344885062137762,0.8414364457130432,0.8403511849422716,2226,0.43210837231033083,0.5590666115728429,671,0.3217123864590446,0.4716039267781252,869,0.4391743948895345,0.4910924045856864,432,0.31092558928769953,0.43269640235262347,633,0.22176926496450527,0.31143545763206504,672,0.19921103901732826,0.12813868603850162,972,0.17634002304964747,0.08591779077956195,1357,0.35257086963258594,0.47520096790408106,717,0.1202534806508702,0.12597194806263023,1344,0.19291756784191696,0.16438443972771596,1364,0.3173448793443366,0.48381843024246746,1025,0.2978088694939052,0.2523248084736353,1360,0.4041438633994561,0.4513774647332668,575,0.2871222805666212,0.38345463922869544,575,0.24192799608531151,0.25151897786676936,1247,0.28768872513287297,0.34728931249515377,0.6505067104902766,0.4835726022720337,0.6622047077206454,0.09153820152835064
bilstm_ranking_contrastive_seed42,bilstm,ranking_contrastive,42,0.6590000987052917,0.6230639942996179,0.4462443038666404,0.18018053472042084,22571,0.8078617406789674,0.8686735485534965,0.8845629548858124,0.7585707311326869,0.7636986970901489,0.7643625693773389,0.7955420017242432,0.8117916286978166,0.8126171827316284,0.8229354123939491,2226,0.4939985932018279,0.6009838749131722,671,0.30852151758261276,0.426330902978277,869,0.4422297166297556,0.5041693114043464,432,0.3771019827584217,0.4719484152863873,633,0.2164675262015277,0.3040162479692388,672,0.16364897556728278,0.12614400518190388,972,0.22724523955727532,0.12113720713678813,1357,0.37024251361273997,0.553064807795808,717,0.121750850088026,0.17301096531609375,1344,0.13751218068936089,0.13797729510064521,1364,0.2994982275833669,0.45812283096396444,1025,0.3205836578660258,0.25713822345808773,1360,0.4983020177190486,0.4887823249398027,575,0.3818802818013263,0.40480630369832216,575,0.17759345506651744,0.24146078661059278,1247,0.3024384490616744,0.3568378611385392,0.6191454396055875,0.46932119131088257,0.6577899166398641,0.04269210665390638
bilstm_ranking_only_seed123,bilstm,ranking_only,123,0.7298470139503479,0.6961904375190806,0.513871276453318,0.8114385008811951,22571,0.8242083075225038,0.8865073784428612,0.9044291938086172,0.8103136718622311,0.8090601563453674,0.7999611273720615,0.7295056581497192,0.7295046496005378,0.802597165107727,0.7977329295388382,2226,0.3278235203522435,0.536263400689445,671,0.3136896835187379,0.4378476955807703,869,0.43748390959703837,0.5615617848410797,432,0.41904269922976406,0.5445892259105831,633,0.18253356624695183,0.272323629675276,672,0.1174534908704228,0.08557687608345481,972,0.19360671051122483,0.16247554610180148,1357,0.3414944176011602,0.6171483163686113,717,0.1488870681341009,0.17421743252691504,1344,0.09232292844841887,0.16961056512279765,1364,0.3001214278084477,0.5228091931653363,1025,0.16471199061182165,0.1478604321907783,1360,0.4149107653105263,0.31705027893487603,575,0.317673877397542,0.24248886632686267,575,0.17165634954522235,0.2202184139568958,1247,0.2628941603455749,0.367584430038497,0.6224322103533279,0.3988147974014282,0.5996699368114249,0.023308703522426987
bilstm_ranking_seed42,bilstm,ranking_only,42,0.7381131649017334,0.7011159166720105,0.5179689049156907,0.953896701335907,22571,0.847828574551705,0.8922217024070322,0.9048319002987237,0.8134919307993402,0.8197314739227295,0.8085378262581068,0.7507046461105347,0.7426083557808347,0.8181627988815308,0.8094454308585994,2226,0.36372748144332884,0.5837368813998408,671,0.29435473299054615,0.3367464214809112,869,0.4209495250423513,0.5006231404063248,432,0.4293111664233456,0.663082732739147,633,0.17791672452236354,0.41469389209717894,672,0.11567346304859646,0.1007034303275763,972,0.07659243049430522,0.037524080883058156,1357,0.24415542661562623,0.294016795867575,717,0.09873334188797045,0.12043652450702816,1344,0.15977134661551154,0.3192215661024475,1364,0.3256324009126799,0.49766477851687474,1025,0.1533368194173882,0.1293345582266776,1360,0.4163099386067734,0.44233797343924985,575,0.2678212037249246,0.32141839072932143,575,0.17571016046333549,0.1855957683699741,1247,0.24799974414726977,0.3675619563422307,0.61873459326212,0.4077696204185486,0.6076297291431748,0.0015121315595716
