epoch,batch,global_step,loss,lr
1,0,1,0.17469096183776855,0.00020000065662354165
1,50,2,0.13521549105644226,0.0002017076753620733
1,100,3,0.11587421596050262,0.00020669510193741664
1,150,4,0.11628492176532745,0.0002149561144984321
2,0,5,0.11728259921073914,0.000220774421292343
2,50,6,0.10482971370220184,0.0002340530850332258
2,100,7,0.10164247453212738,0.0002505679142413451
2,150,8,0.11020516604185104,0.0002702963197708354
3,0,9,0.10286480188369751,0.000282276540925247
3,50,10,0.10219091922044754,0.00030689954119671094
3,100,11,0.10554273426532745,0.00033465906683598657
3,150,12,0.10873135924339294,0.00036551714809079667
4,0,13,0.09583763778209686,0.0003834542022951798
4,50,14,0.09269113093614578,0.0004190000345941176
4,100,15,0.08915454894304276,0.000457529060103116
4,150,16,0.10504431277513504,0.0004989885784420249
5,0,17,0.08484555780887604,0.0005225754133860892
5,50,18,0.08572907745838165,0.0005684355926288149
5,100,19,0.09175385534763336,0.0006170745656551273
5,150,20,0.08440352231264114,0.0006684258035991953
6,0,21,0.08326851576566696,0.0006972586521939005
6,50,22,0.08477500081062317,0.000752648128961129
6,100,23,0.082989901304245,0.0008105644317924054
6,150,24,0.08839373290538788,0.0008709283421989194
7,0,25,0.0836937427520752,0.0009045136343924405
7,50,26,0.075077585875988,0.0009684842336598089
7,100,27,0.0784061998128891,0.0010346864362437555
7,150,28,0.07416494190692902,0.0011030296901202667
8,0,29,0.08239248394966125,0.001140792501990181
8,50,30,0.07396265119314194,0.001212249154295786
8,100,31,0.07856526970863342,0.0012856039858612843
8,150,32,0.0742437019944191,0.0013607566612263726
9,0,33,0.07868120074272156,0.001402050556713805
9,50,34,0.07337601482868195,0.00147977004391234
9,100,35,0.07621552795171738,0.0015590217926659939
9,150,36,0.06506404280662537,0.0016396974016531186
10,0,37,0.06711430847644806,0.0016838154984648076
10,50,38,0.07265463471412659,0.0017664673931724315
10,100,39,0.06916487216949463,0.001850259401980235
10,150,40,0.07067536562681198,0.0019350769133541995
11,0,41,0.06471266597509384,0.0019812639836028164
11,50,42,0.0674816220998764,0.002067433423884521
11,100,43,0.0677213966846466,0.0021543313139685974
11,150,44,0.06570364534854889,0.0022418387940660606
12,0,45,0.06840222328901291,0.002289304192506079
12,50,46,0.06315029412508011,0.002377516101941093
12,100,47,0.0649326741695404,0.0024660323270407395
12,150,48,0.07288417220115662,0.0025547317944414768
13,0,49,0.059928953647613525,0.0026026629929908696
13,50,50,0.06354973465204239,0.002691407331509145
13,100,51,0.0688067078590393,0.0027800266421800866
13,150,52,0.059130702167749405,0.002868399710638695
14,0,53,0.06546653807163239,0.002915976207498118
14,50,54,0.05956347659230232,0.00300373382073591
14,100,55,0.06234346330165863,0.003090939202881636
14,150,56,0.06301934272050858,0.0031774730735556417
15,0,57,0.06137324124574661,0.0032238804388243
15,50,58,0.05777682736515999,0.0033091490635011787
15,100,59,0.06059102714061737,0.003393447707112163
15,150,60,0.0583452470600605,0.0034766610651431667
16,0,61,0.05966225638985634,0.003521104882493945
16,50,62,0.05471350625157356,0.003602424862642768
16,100,63,0.05762842297554016,0.0036823737162022894
16,150,64,0.05686771124601364,0.0037608420883440486
17,0,65,0.051780667155981064,0.003802561554099809
17,50,66,1.7041361331939697,0.0038785408279308833
17,100,67,0.14551371335983276,0.00395277130103882
17,150,68,0.1424805223941803,0.004025151440252195
18,0,69,0.13261981308460236,0.004063432387069825
18,50,70,0.13870735466480255,0.00413277031673603
18,100,71,0.13633129000663757,0.004200011708083117
18,150,72,0.13148456811904907,0.004265064587674458
19,0,73,0.1324133276939392,0.00429925170989303
19,50,74,0.12123364955186844,0.004360761346230238
19,100,75,0.11191493272781372,0.004419862595875136
19,150,76,0.11119745671749115,0.0044764746195570014
20,0,77,0.10544334352016449,0.004505982690932574
20,50,78,0.10163639485836029,0.004558611092040328
20,100,79,0.1082785427570343,0.004608560485626944
20,150,80,0.11351748555898666,0.0046557625504204565
21,0,81,0.09329734742641449,0.004680086442218684
21,50,82,0.10145767033100128,0.004722932698061094
21,100,83,0.09781092405319214,0.004762875185673001
21,150,84,0.09394539892673492,0.004799859271326883
22,0,85,0.0848294347524643,0.004818582599280493
22,50,86,0.09103478491306305,0.00485091325375636
22,100,87,0.0978899747133255,0.004880165086938529
22,150,88,0.0928296223282814,0.004906298087881786
23,0,89,0.08616738766431808,0.004919100339991485
23,50,90,0.08821824938058853,0.004940361946473677
23,100,91,0.08863834291696548,0.004958422382860249
23,150,92,0.09588509052991867,0.004973256945908627
24,0,93,0.0824718028306961,0.004979918969071435
24,50,94,0.08302415162324905,0.004989747564485724
24,100,95,0.0814594030380249,0.004996307439670203
24,150,96,0.09212515503168106,0.004999589621963059
25,0,97,0.0835937112569809,0.004999999497720549
25,50,98,0.09222574532032013,0.004999660466765292
25,100,99,0.08819157630205154,0.00499869368488333
25,150,100,0.07918347418308258,0.004997099394867898
26,0,101,0.08507917821407318,0.004995977694952612
26,50,102,0.08561424911022186,0.004993417880928568
26,100,103,0.08063788712024689,0.004990231883712628
26,150,104,0.08434679359197617,0.004986420503421739
27,0,105,0.08340126276016235,0.004984102654397246
27,50,106,0.07442452013492584,0.004979330111426376
27,100,107,0.07893272489309311,0.004973934923202403
27,150,108,0.07781556248664856,0.004967918444648528
28,0,109,0.0820026621222496,0.0049644117393253815
28,50,110,0.08908315002918243,0.004957441483593541
28,100,111,0.07672594487667084,0.004949854079619716
28,150,112,0.07530540972948074,0.0049416514328702674
29,0,113,0.07970643788576126,0.0049369669046407695
29,50,114,0.08825822174549103,0.004927820867151238
29,100,115,0.07581225037574768,0.0049180651202075315
29,150,116,0.08332803845405579,0.00490770211382387
30,0,117,0.07287923246622086,0.0049018545019469395
30,50,118,0.07964195311069489,0.004890561459517366
30,100,119,0.07249078154563904,0.004878668064792943
30,150,120,0.08493813127279282,0.0048661773046270946
31,0,121,0.0817023515701294,0.004859185007853103
31,50,122,0.07443855702877045,0.004845780492572996
31,100,123,0.07782705128192902,0.00483178687108779
31,150,124,0.07934191823005676,0.004817207657692373
32,0,125,0.07530705630779266,0.004809092676373874
32,50,126,0.07755471765995026,0.0047936188638074955
32,100,127,0.07644413411617279,0.0047775690446718415
32,150,128,0.07955124974250793,0.004760947249645987
33,0,129,0.07473124563694,0.004751735116516461
33,50,130,0.07950368523597717,0.004734240693002906
33,100,131,0.07424571365118027,0.004716185174885665
33,150,132,0.06850402057170868,0.004697573096545996
34,0,133,0.07795366644859314,0.004687292796384431
34,50,134,0.07077214866876602,0.004667832805852386
34,100,135,0.08189685642719269,0.004647828398093453
34,150,136,0.07713485509157181,0.004627284596924233
35,0,137,0.07424747943878174,0.00461596847535828
35,50,138,0.07474338263273239,0.004594604146137462
35,100,139,0.07230566442012787,0.004572713790004565
35,150,140,0.08371548354625702,0.0045503029044047455
36,0,141,0.06956562399864197,0.004537986566139415
36,50,142,0.08002957701683044,0.004514785118313593
36,100,143,0.07025320827960968,0.004491077688965777
36,150,144,0.07185491919517517,0.004466870231872685
37,0,145,0.06850847601890564,0.004453592428664764
37,50,146,0.07433367520570755,0.004428626862572507
37,100,147,0.07592935860157013,0.004403176952353406
37,150,148,0.071433886885643,0.004377249089382952
38,0,149,0.06957051903009415,0.004363051598113649
38,50,150,0.07178782671689987,0.004336400464662252
38,100,151,0.07829834520816803,0.0043092881484049755
38,150,152,0.07873523980379105,0.00428172145820645
39,0,153,0.07171833515167236,0.004266648949435862
39,50,154,0.07476519048213959,0.004238396102951134
39,100,155,0.0703582614660263,0.004209706686033217
39,150,156,0.07278409600257874,0.004180587903612679
40,0,157,0.07106384634971619,0.00416468780102969
40,50,158,0.06795087456703186,0.004134922135419218
40,100,159,0.0772327110171318,0.004104745885360347
40,150,160,0.06823588162660599,0.004074166629180202
41,0,161,0.07676450163125992,0.004057488960390009
41,50,162,0.07283101975917816,0.004026304129450041
41,100,163,0.0637340173125267,0.003994735991897036
41,150,164,0.0711025595664978,0.003962792475610463
42,0,165,0.06921392679214478,0.003945389714729225
42,50,166,0.06591344624757767,0.0039128838374751715
42,100,167,0.06573590636253357,0.0038800231374678633
42,150,168,0.07069896906614304,0.0038468158671950614
43,0,169,0.07159537076950073,0.00382874276974691
43,50,170,0.07156111299991608,0.0037950181216946303
43,100,171,0.06873553991317749,0.0037609682511525293
43,150,172,0.07205481082201004,0.0037266017092512835
44,0,173,0.06678996980190277,0.0037079151398871943
44,50,174,0.06521490961313248,0.0036730778312563783
44,100,175,0.07606781274080276,0.0036379459236694487
44,150,176,0.06980150938034058,0.003602528239994977
45,0,177,0.07452012598514557,0.0035832869935755332
45,50,178,0.07843117415904999,0.0035474466354276967
45,100,179,0.06731458008289337,0.0035113432287747597
45,150,180,0.06970345228910446,0.0034749858404631833
46,0,181,0.06589731574058533,0.003455250457068196
46,50,182,0.06870593875646591,0.003418519816429727
46,100,183,0.0694187581539154,0.003381558505385088
46,150,184,0.07011409848928452,0.0033443758062309727
47,0,185,0.07007531821727753,0.0033242083806779917
47,50,186,0.06083240360021591,0.0032867030257333675
47,100,187,0.0760747641324997,0.003249000104255941
47,150,188,0.06866498291492462,0.0032111090847870994
48,0,189,0.06867159157991409,0.0031905730712581425
48,50,190,0.07051032781600952,0.0031524110077296636
48,100,191,0.07581117749214172,0.0031140851031591543
48,150,192,0.06752032041549683,0.003075604982541162
49,0,193,0.06460357457399368,0.0030547649949323854
49,50,194,0.06633184850215912,0.0030160662947905158
49,100,195,0.06977329403162003,0.0029772379946019227
49,150,196,0.06667640805244446,0.002938289845530517
50,0,197,0.06659851223230362,0.0029172114541529902
50,50,198,0.06761959195137024,0.002878097877825517
50,100,199,0.07499507814645767,0.0028388893502163193
50,150,200,0.06890740245580673,0.002799595717977908
51,0,201,0.06267319619655609,0.002778345243249158
51,50,202,0.07061444222927094,0.0027389398565178373
