epoch,train_loss,train_pearson,train_spearman,val_pearson,val_spearman,val_kendall,val_pairwise_accuracy,val_mse,val_mae,val_ndcg@10,val_precision@10,val_recall@10,val_ndcg@50,val_precision@50,val_recall@50,val_ndcg@100,val_precision@100,val_recall@100,val_loss
1,22334.71848033558,0.2769316560460952,0.270449506555375,0.4185746879392904,0.4122114867799547,0.28431648900817774,0.6421859356612124,0.6296793222427368,0.584067702293396,0.31502000955791143,1.0,0.0028563267637817767,0.2947953830410129,0.8,0.011425307055127107,0.2984826044610246,0.73,0.02085118537560697,20064.536063058036
2,19565.60105868253,0.4661820430823894,0.46009661517337785,0.46422237074787653,0.4712102297853954,0.3272055541242571,0.6636346627210539,0.7767999172210693,0.6602714657783508,0.24768577841325667,1.0,0.0028563267637817767,0.2542533667070656,0.88,0.012567837760639817,0.3084542264043672,0.85,0.0242787774921451,19908.91748046875
3,18042.001519220525,0.5038402092467303,0.49837421875908133,0.496330670845776,0.49817319684424577,0.3478229284777532,0.6739453666411548,0.6404845118522644,0.649958074092865,0.25493107436694074,1.0,0.0028563267637817767,0.31015150261945124,0.92,0.013139103113396172,0.33927982337661,0.91,0.025992573550414167,19395.52734375
4,17115.14639337713,0.5470041668404583,0.542030899837407,0.5749797469899025,0.5728611605745996,0.4025327971199915,0.7013056306241033,0.6236799955368042,0.6564474105834961,0.3787251622842622,1.0,0.0028563267637817767,0.41869640083452964,0.98,0.013996001142530705,0.45461096074365315,0.96,0.027420736932305057,16178.803815569196
5,16234.18007257635,0.5809185805040601,0.5768854908533333,0.5676774986706895,0.5646405655339571,0.3956662774676437,0.6978717256280957,1.277859091758728,1.0000412464141846,0.43989235497815476,1.0,0.0028563267637817767,0.48175163415844824,0.96,0.013710368466152529,0.5055875245934208,0.98,0.02799200228506141,16883.892647879464
6,15375.352079634233,0.5913509391534365,0.5877510757520418,0.5761333769637614,0.5751072110339541,0.40650506893685184,0.7032921539344494,1.483864426612854,1.0990983247756958,0.33618774873923113,1.0,0.0028563267637817767,0.39373503882065697,1.0,0.014281633818908884,0.4387797881294583,1.0,0.028563267637817767,16244.9599609375
7,14417.315531782671,0.6330498947264794,0.6332534870299671,0.5825111686571407,0.5741720538303798,0.40256036189229777,0.7013194156985533,2.479490280151367,1.4537185430526733,0.42391054050584204,1.0,0.0028563267637817767,0.5250643663616672,1.0,0.014281633818908884,0.5048350793904394,0.92,0.026278206226792344,16731.14773995536
8,13620.856299937856,0.6606063577443059,0.6605007948012783,0.6453018934644797,0.6499142230151849,0.4644667869127191,0.7322786783287851,1.3286898136138916,1.0366679430007935,0.38513931135055435,1.0,0.0028563267637817767,0.44928333212386873,0.98,0.013996001142530705,0.4978478830752391,0.99,0.028277634961439587,13994.258823939732
9,12866.884976473722,0.683873009376556,0.6852934853151069,0.6655962292058306,0.666817440816436,0.4792949059261845,0.7396941586933271,2.0974743366241455,1.3450415134429932,0.3675853321106107,0.9,0.002570694087403599,0.4402239008131987,0.96,0.013710368466152529,0.49841380989976164,0.95,0.027135104255926877,13366.250209263393
10,12277.538352272728,0.6958079327659259,0.6958746090815003,0.659404885097829,0.6536376640610022,0.46847400716937415,0.7342826477348372,1.6635349988937378,1.1745731830596924,0.5023218930244344,0.9,0.002570694087403599,0.5293791420960958,0.96,0.013710368466152529,0.5567414845453175,0.97,0.027706369608683234,13992.273472377232
11,11727.676631303268,0.7159728318978774,0.7168095972929664,0.6592943401790556,0.6467691199157442,0.46231395367923295,0.7312020517426655,2.3103678226470947,1.4146850109100342,0.3824574380986319,0.8,0.0022850614110254213,0.5288098077476497,0.94,0.01342473578977435,0.5357682920048042,0.96,0.027420736932305057,13882.28773716518
12,11227.145681485263,0.7275630973314168,0.7274299252311622,0.6769992229670652,0.6817965575812989,0.4914989331086407,0.7457973879165559,2.2449028491973877,1.3832956552505493,0.41217772428015487,1.0,0.0028563267637817767,0.4626073715430228,0.98,0.013996001142530705,0.4851859476244307,0.98,0.02799200228506141,14529.053815569196
13,10634.140497935901,0.7438948898964279,0.7443809468332516,0.6936926801025006,0.6976753268587104,0.5071753976615738,0.7536371683730878,1.3972834348678589,1.0682201385498047,0.6375170059268431,1.0,0.0028563267637817767,0.5794359558578912,0.98,0.013996001142530705,0.5622224483314792,0.97,0.027706369608683234,13052.208321707589
14,10159.374542236328,0.7570189129228748,0.7580870414182119,0.6939346647638346,0.6931493334348199,0.5020532016043232,0.7510755579360602,2.1905856132507324,1.3643540143966675,0.5313929693786467,1.0,0.0028563267637817767,0.5053989789770742,0.98,0.013996001142530705,0.5438233019068643,0.97,0.027706369608683234,14171.85219029018
15,9562.56382779208,0.7693242108260147,0.76698460737378,0.7018018400504894,0.7011337997204452,0.5089801287619214,0.7545396714705879,1.7069145441055298,1.1847656965255737,0.5521367217457483,1.0,0.0028563267637817767,0.5245483424706413,1.0,0.014281633818908884,0.5198243530993955,0.98,0.02799200228506141,13641.70131138393
16,9058.92886352539,0.7784801484938271,0.7747250075373294,0.6970953180342985,0.6974382451212737,0.5082495524222752,0.7541743056397664,1.5408425331115723,1.1404638290405273,0.5808283243683738,1.0,0.0028563267637817767,0.5257696616818311,1.0,0.014281633818908884,0.5415995359683723,1.0,0.028563267637817767,12274.68394252232
17,8504.977554043857,0.7997003534694447,0.7981307773324766,0.7012454332636557,0.6951426410004157,0.5048775606463918,0.7524880065250443,1.362595796585083,1.0555368661880493,0.7235951977548131,1.0,0.0028563267637817767,0.5708552450588731,0.98,0.013996001142530705,0.5628420990958996,0.98,0.02799200228506141,12506.626534598214
18,7887.465051269532,0.8153532706815041,0.8123308453567375,0.7100444506396022,0.7064802533542849,0.5151376911299105,0.7576190403047965,1.8328608274459839,1.2195228338241577,0.7317322358812941,1.0,0.0028563267637817767,0.5983324843647443,1.0,0.014281633818908884,0.6118160782047779,0.99,0.028277634961439587,14322.945242745536
19,7268.809804465554,0.8312769310787784,0.8272410876171745,0.6878298239494431,0.6878891389977007,0.5002895341976913,0.7501935074712751,1.4870368242263794,1.1169918775558472,0.6303881213509259,1.0,0.0028563267637817767,0.5372044033838417,0.98,0.013996001142530705,0.5526571204428127,0.99,0.028277634961439587,12555.92919921875
20,6694.186145019531,0.8423862173929126,0.8369569470336825,0.6812910293155591,0.6692806502711297,0.4827419903159816,0.7414180497469794,2.051077127456665,1.2938429117202759,0.7165584833858246,1.0,0.0028563267637817767,0.6441130414409745,0.98,0.013996001142530705,0.6403121910398687,0.98,0.02799200228506141,16084.492257254464
21,6121.814833207564,0.8586930239049316,0.8529589149020311,0.7103818355101688,0.7023067431876211,0.5120599399694973,0.7560798774298264,1.5050989389419556,1.114168405532837,0.745441438679948,1.0,0.0028563267637817767,0.6112233056166307,1.0,0.014281633818908884,0.6074607262431557,0.99,0.028277634961439587,12636.984793526786
22,5518.958813476563,0.8726247846124546,0.8674569981559517,0.6436702649085289,0.6197751473625315,0.44097850543220324,0.720532240497354,1.7398455142974854,1.181335210800171,0.7285370244399905,1.0,0.0028563267637817767,0.6789086793029804,1.0,0.014281633818908884,0.6451171790863361,0.95,0.027135104255926877,16089.591622488839
23,5066.91339860396,0.8839948289404879,0.8795182921313276,0.699109516189692,0.6937162922177658,0.5056061714469151,0.7528523701768627,1.7399011850357056,1.2027535438537598,0.6842055166014112,1.0,0.0028563267637817767,0.5807698723532079,0.98,0.013996001142530705,0.5738382706796438,0.99,0.028277634961439587,13915.407819475446
24,4568.467614746094,0.8951423193606247,0.8912885993285198,0.714664399062271,0.7058331017154895,0.5159097933609664,0.7580051860104565,1.6409187316894531,1.1741900444030762,0.7186297734480414,1.0,0.0028563267637817767,0.6077169187260878,1.0,0.014281633818908884,0.6225982593077107,1.0,0.028563267637817767,12498.638985770089
25,4098.317931019176,0.9026340176260501,0.8981142330373321,0.7064454546723188,0.6942620725435646,0.5056296464903925,0.7528641099880411,2.0776145458221436,1.344861388206482,0.7091410381318529,1.0,0.0028563267637817767,0.6068917156971777,0.98,0.013996001142530705,0.6169930102414867,0.98,0.02799200228506141,12313.01820591518
26,3782.3795501708983,0.9116389594110174,0.9092487783540557,0.7147609748580926,0.7010055990840875,0.5116982647986715,0.755899004572411,2.1835572719573975,1.3689767122268677,0.7222742258334568,1.0,0.0028563267637817767,0.6083288987827346,1.0,0.014281633818908884,0.6335574596717335,0.99,0.028277634961439587,13414.373465401786
27,3488.214682006836,0.9197380804090439,0.9172943665869591,0.7137509643606549,0.7022583291685714,0.5121674613119629,0.756133667853867,1.9872418642044067,1.3080233335494995,0.7513324566947446,1.0,0.0028563267637817767,0.6536161747213681,1.0,0.014281633818908884,0.6516428737751415,0.99,0.028277634961439587,12440.67466517857
28,3193.3034484863283,0.9258707298812133,0.9237540695733254,0.7121887661841361,0.6978451692278076,0.5087741495684049,0.7544366617859186,1.9955717325210571,1.3163655996322632,0.7946698721615738,1.0,0.0028563267637817767,0.6373739311784161,1.0,0.014281633818908884,0.6460088364434173,1.0,0.028563267637817767,12086.732107979911
29,3036.8972098610616,0.9291356391970658,0.927658028795902,0.718785548463927,0.7090630698961401,0.5182944884942334,0.7591977790240703,2.3475046157836914,1.4333057403564453,0.7459036129472952,1.0,0.0028563267637817767,0.6468512588749143,1.0,0.014281633818908884,0.6426810068772367,1.0,0.028563267637817767,12799.582135881696
30,2804.2018862637606,0.9342064220683441,0.933086751390647,0.7144023877079733,0.7020874372191399,0.5123092598148341,0.7562045873578064,1.7773443460464478,1.2279889583587646,0.798177762819886,1.0,0.0028563267637817767,0.6549073841933591,1.0,0.014281633818908884,0.652971897909496,0.99,0.028277634961439587,12486.875279017857
31,2649.104881286621,0.9388126366890766,0.93782148086304,0.7146927947967855,0.7021283373998577,0.5124626859894948,0.7562813154094369,1.7956479787826538,1.2377296686172485,0.780413664430365,1.0,0.0028563267637817767,0.6527987024556784,1.0,0.014281633818908884,0.6316535853064245,0.96,0.027420736932305057,12337.74351283482
32,2503.5093381014735,0.9417892010511708,0.9407644983285619,0.7176255067958058,0.7083667745846899,0.518398032852416,0.7592495548637884,1.4400068521499634,1.09382963180542,0.7526773949691103,1.0,0.0028563267637817767,0.6032216574470379,1.0,0.014281633818908884,0.6179459289824447,1.0,0.028563267637817767,12164.381173270089
33,2355.295878323642,0.9446934545550645,0.9435967911105873,0.7183901730710166,0.7040572485714256,0.5139449135350191,0.7570225801769279,2.155810594558716,1.3683760166168213,0.8317502185466058,1.0,0.0028563267637817767,0.6965940236556403,0.98,0.013996001142530705,0.6660485231298947,0.97,0.027706369608683234,12584.10219029018
