epoch,batch,global_step,loss,lr
1,0,1,3038.77587890625,0.00020000065662354165
1,50,2,3012.60546875,0.0002017076753620733
1,100,3,2992.66845703125,0.00020669510193741664
1,150,4,3007.619384765625,0.0002149561144984321
2,0,5,2991.12451171875,0.000220774421292343
2,50,6,2983.321533203125,0.0002340530850332258
2,100,7,2978.5458984375,0.0002505679142413451
2,150,8,2989.635986328125,0.0002702963197708354
3,0,9,2971.4462890625,0.000282276540925247
3,50,10,2963.1328125,0.00030689954119671094
3,100,11,2944.326904296875,0.00033465906683598657
3,150,12,2954.465576171875,0.00036551714809079667
4,0,13,2960.53564453125,0.0003834542022951798
4,50,14,2951.24169921875,0.0004190000345941176
4,100,15,2960.06103515625,0.000457529060103116
4,150,16,2953.249755859375,0.0004989885784420249
5,0,17,2924.190185546875,0.0005225754133860892
5,50,18,2922.684326171875,0.0005684355926288149
5,100,19,2916.773193359375,0.0006170745656551273
5,150,20,2903.57421875,0.0006684258035991953
6,0,21,2910.8740234375,0.0006972586521939005
6,50,22,2907.74560546875,0.000752648128961129
6,100,23,2920.897216796875,0.0008105644317924054
6,150,24,2926.390380859375,0.0008709283421989194
7,0,25,2925.9462890625,0.0009045136343924405
7,50,26,2894.776611328125,0.0009684842336598089
7,100,27,2895.8828125,0.0010346864362437555
7,150,28,2902.581787109375,0.0011030296901202667
8,0,29,2896.042236328125,0.001140792501990181
8,50,30,2900.4453125,0.001212249154295786
8,100,31,2887.42724609375,0.0012856039858612843
8,150,32,2913.98583984375,0.0013607566612263726
9,0,33,2869.164306640625,0.001402050556713805
9,50,34,2886.81103515625,0.00147977004391234
9,100,35,2878.398681640625,0.0015590217926659939
9,150,36,2871.903564453125,0.0016396974016531186
10,0,37,2873.458251953125,0.0016838154984648076
10,50,38,2892.85498046875,0.0017664673931724315
10,100,39,2895.19775390625,0.001850259401980235
10,150,40,2898.95654296875,0.0019350769133541995
11,0,41,2865.02099609375,0.0019812639836028164
11,50,42,2871.758544921875,0.002067433423884521
11,100,43,2862.7314453125,0.0021543313139685974
11,150,44,2862.5751953125,0.0022418387940660606
12,0,45,2873.999267578125,0.002289304192506079
12,50,46,2873.013427734375,0.002377516101941093
12,100,47,2858.11328125,0.0024660323270407395
12,150,48,2879.20751953125,0.0025547317944414768
13,0,49,2854.018798828125,0.0026026629929908696
13,50,50,2864.177978515625,0.002691407331509145
13,100,51,2865.188232421875,0.0027800266421800866
13,150,52,2867.401611328125,0.002868399710638695
14,0,53,2850.427734375,0.002915976207498118
14,50,54,2850.051025390625,0.00300373382073591
14,100,55,2845.720703125,0.003090939202881636
14,150,56,2859.07568359375,0.0031774730735556417
15,0,57,2832.4423828125,0.0032238804388243
15,50,58,2848.3232421875,0.0033091490635011787
15,100,59,2853.133056640625,0.003393447707112163
15,150,60,2843.2041015625,0.0034766610651431667
16,0,61,2840.65576171875,0.003521104882493945
16,50,62,2822.911865234375,0.003602424862642768
16,100,63,2837.529052734375,0.0036823737162022894
16,150,64,2854.72705078125,0.0037608420883440486
17,0,65,2819.7236328125,0.003802561554099809
17,50,66,2815.90673828125,0.0038785408279308833
17,100,67,2832.969482421875,0.00395277130103882
17,150,68,2816.04150390625,0.004025151440252195
18,0,69,2811.654296875,0.004063432387069825
18,50,70,2811.781982421875,0.00413277031673603
18,100,71,2793.484130859375,0.004200011708083117
18,150,72,2806.83447265625,0.004265064587674458
19,0,73,2809.634765625,0.00429925170989303
19,50,74,2798.67724609375,0.004360761346230238
19,100,75,2821.2080078125,0.004419862595875136
19,150,76,2822.05078125,0.0044764746195570014
20,0,77,2784.788818359375,0.004505982690932574
20,50,78,2793.790771484375,0.004558611092040328
20,100,79,2812.952392578125,0.004608560485626944
20,150,80,2820.65087890625,0.0046557625504204565
21,0,81,2770.2587890625,0.004680086442218684
21,50,82,2798.00048828125,0.004722932698061094
21,100,83,2783.3896484375,0.004762875185673001
21,150,84,2773.71875,0.004799859271326883
22,0,85,2764.568115234375,0.004818582599280493
22,50,86,2776.525634765625,0.00485091325375636
22,100,87,2762.8154296875,0.004880165086938529
22,150,88,2787.4931640625,0.004906298087881786
23,0,89,2765.056640625,0.004919100339991485
23,50,90,2743.0712890625,0.004940361946473677
23,100,91,2784.85302734375,0.004958422382860249
23,150,92,2792.0888671875,0.004973256945908627
24,0,93,2746.170654296875,0.004979918969071435
24,50,94,2739.15087890625,0.004989747564485724
24,100,95,2753.131103515625,0.004996307439670203
24,150,96,2795.29345703125,0.004999589621963059
25,0,97,2762.650634765625,0.004999999497720549
25,50,98,2748.814208984375,0.004999660466765292
25,100,99,2742.232421875,0.00499869368488333
25,150,100,2767.310302734375,0.004997099394867898
26,0,101,2707.778564453125,0.004995977694952612
26,50,102,2759.133544921875,0.004993417880928568
26,100,103,2749.171142578125,0.004990231883712628
26,150,104,2768.197998046875,0.004986420503421739
27,0,105,2720.69775390625,0.004984102654397246
27,50,106,2749.353759765625,0.004979330111426376
27,100,107,2737.752685546875,0.004973934923202403
27,150,108,2768.136962890625,0.004967918444648528
28,0,109,2713.597900390625,0.0049644117393253815
28,50,110,2726.58154296875,0.004957441483593541
28,100,111,2740.336181640625,0.004949854079619716
28,150,112,2762.285888671875,0.0049416514328702674
29,0,113,2721.22412109375,0.0049369669046407695
29,50,114,2731.94775390625,0.004927820867151238
29,100,115,2722.2109375,0.0049180651202075315
29,150,116,2711.529541015625,0.00490770211382387
30,0,117,2659.74560546875,0.0049018545019469395
30,50,118,2686.613037109375,0.004890561459517366
30,100,119,2735.149169921875,0.004878668064792943
30,150,120,2743.488037109375,0.0048661773046270946
31,0,121,2696.974609375,0.004859185007853103
31,50,122,2717.411865234375,0.004845780492572996
31,100,123,2706.072265625,0.00483178687108779
31,150,124,2740.871826171875,0.004817207657692373
32,0,125,2696.39453125,0.004809092676373874
32,50,126,2720.55810546875,0.0047936188638074955
