experiment,n_models,all_F9_spearman,all_F9_pearson,all_F9_n,hc_F9_spearman,hc_F9_pearson,hc_F9_n,all_GP1BB_spearman,all_GP1BB_pearson,all_GP1BB_n,hc_GP1BB_spearman,hc_GP1BB_pearson,hc_GP1BB_n,all_IRF4_spearman,all_IRF4_pearson,all_IRF4_n,hc_IRF4_spearman,hc_IRF4_pearson,hc_IRF4_n,all_ZFAND3_spearman,all_ZFAND3_pearson,all_ZFAND3_n,hc_ZFAND3_spearman,hc_ZFAND3_pearson,hc_ZFAND3_n,all_IRF6_spearman,all_IRF6_pearson,all_IRF6_n,hc_IRF6_spearman,hc_IRF6_pearson,hc_IRF6_n,all_HBG1_spearman,all_HBG1_pearson,all_HBG1_n,hc_HBG1_spearman,hc_HBG1_pearson,hc_HBG1_n,all_LDLR_spearman,all_LDLR_pearson,all_LDLR_n,hc_LDLR_spearman,hc_LDLR_pearson,hc_LDLR_n,all_TERT-HEK293T_spearman,all_TERT-HEK293T_pearson,all_TERT-HEK293T_n,hc_TERT-HEK293T_spearman,hc_TERT-HEK293T_pearson,hc_TERT-HEK293T_n,all_TERT-GBM_spearman,all_TERT-GBM_pearson,all_TERT-GBM_n,hc_TERT-GBM_spearman,hc_TERT-GBM_pearson,hc_TERT-GBM_n,all_MSMB_spearman,all_MSMB_pearson,all_MSMB_n,hc_MSMB_spearman,hc_MSMB_pearson,hc_MSMB_n,all_HBB_spearman,all_HBB_pearson,all_HBB_n,hc_HBB_spearman,hc_HBB_pearson,hc_HBB_n,all_MYCrs6983267_spearman,all_MYCrs6983267_pearson,all_MYCrs6983267_n,hc_MYCrs6983267_spearman,hc_MYCrs6983267_pearson,hc_MYCrs6983267_n,all_SORT1_spearman,all_SORT1_pearson,all_SORT1_n,hc_SORT1_spearman,hc_SORT1_pearson,hc_SORT1_n,all_PKLR_spearman,all_PKLR_pearson,all_PKLR_n,hc_PKLR_spearman,hc_PKLR_pearson,hc_PKLR_n,all_HNF4A_spearman,all_HNF4A_pearson,all_HNF4A_n,hc_HNF4A_spearman,hc_HNF4A_pearson,hc_HNF4A_n,K562_matched_sp,all_mean_sp
adaptive_softsort,9,0.3947126002423727,0.5793214404405728,671,0.7621346340565806,0.7817125612207396,111,0.37945619138278697,0.5712814471127727,869,0.7135573008874918,0.5857808923904807,143,0.12178430142944119,0.11373567463456888,972,0.16227281315647538,0.19230581446461043,462,0.23437140558259503,0.2326620458060476,1247,0.3804552803781303,0.30389122798893775,214,0.12902788762235198,0.11459957895748209,1357,0.14633109759478108,0.15811810078315156,236,0.4437312371326266,0.6877100273374911,633,0.7110644160986669,0.7175624743078488,125,0.3139269004622132,0.5416786381794143,717,0.4416598943352824,0.5529900289097702,288,0.3987430404595968,0.4355184019097423,575,0.5321613430060116,0.6628970111549184,98,0.46258148234154683,0.494978088514065,575,0.5826601359982598,0.6029803008040532,220,0.18698138152044005,0.24969478058743116,1344,0.4581331958660544,0.40284417114203336,263,0.488637506149157,0.606542144331846,432,0.7080892067038603,0.7647517710710368,64,0.1563659818252521,0.23277449337721792,1364,0.5966009967519292,0.5193330740043465,76,0.15961258441604806,0.1497026271786181,1360,0.19528708707723577,0.20247048518627495,523,0.4389464032662848,0.6559772376391974,1025,0.7459590552603241,0.7933444241477441,180,0.18314279488621768,0.4178673727516116,672,0.5465373856621355,0.6456025719408465,95,0.43769283448271384,0.2994681132479287
combined_lambda_ranknet,9,0.40656814406728786,0.6129941027687374,671,0.770213412133564,0.791905344625329,111,0.37882643232024327,0.5693528359806561,869,0.671571028118091,0.5606284123978387,143,0.1657132934681865,0.12928191035545736,972,0.23775277973965048,0.21071127446246418,462,0.20214843070867602,0.1897964565509915,1247,0.33288176160330063,0.26737207516793304,214,0.14490592438026983,0.11360185919853712,1357,0.07911720015431506,0.1474764719513339,236,0.4697544370367719,0.6849595148466389,633,0.7269780360102315,0.7223753391319384,125,0.35872968389009785,0.6111595203104,717,0.5060081509656196,0.6262214735827163,288,0.40611042754748616,0.4770158755412234,575,0.5580689545500812,0.6564602340303864,98,0.5303107937038553,0.5685030541063939,575,0.6951825889493137,0.6570544024108103,220,0.21414345458784384,0.26120481904005743,1344,0.47316142590860444,0.40145172451894645,263,0.471948710139496,0.5906820527663278,432,0.6647573828186464,0.7359063349586106,64,0.16927082710942049,0.23254153304076258,1364,0.6149712081110139,0.5169668453266303,76,0.17463739445825324,0.17109958055672725,1360,0.1942604837219602,0.22675645706490646,523,0.43271786686081404,0.6380218792000988,1025,0.7318499564050079,0.7702209444084694,180,0.18965849557923145,0.4265055793663442,672,0.5339981077896272,0.6723962031103646,95,0.43831186158933133,0.31436295439052897
combined_margin_ranknet,9,0.38488139168767144,0.481786213287119,671,0.7348309093444727,0.7083782411282517,111,0.38395714254241925,0.5715219886278535,869,0.6631421679038019,0.5503913618887308,143,0.13672793742923267,0.12737385428767026,972,0.21072997667805704,0.20531632351636725,462,0.26651831158430195,0.30684751717335995,1247,0.4697989070578886,0.38718070937878396,214,0.13175948047531724,0.07697492256157341,1357,0.08373855220510489,0.0957317598436048,236,0.4666962063116072,0.695256151334477,633,0.7350039821791843,0.7343444961751656,125,0.37986398802483456,0.6113195626975557,717,0.5274942428150781,0.6248931105061586,288,0.39718553208770235,0.46259568247331123,575,0.5706051013124835,0.685597715812513,98,0.5024601780666225,0.538572195787096,575,0.6591960514640035,0.647193049267911,220,0.19394360434472668,0.2472379466262558,1344,0.4358246100721398,0.39668439739632644,263,0.5041268214688062,0.5873167231461816,432,0.6940424546987646,0.7760968802416877,64,0.1333491464597665,0.25629703991200303,1364,0.5927710197001468,0.554404685210398,76,0.18993331881938308,0.18099776143113727,1360,0.24926228102136735,0.25317593641631536,523,0.41598798067579384,0.6707340740012147,1025,0.7335424720920928,0.7924480039842404,180,0.16899118037974573,0.3916653797998889,672,0.5548105069847232,0.6209306419642213,95,0.4426920377496566,0.31042548135719544
combined_pl_a03,8,0.38009407636046055,0.6130927056138368,671,0.7558418759021024,0.7835683973455682,111,0.36211535745450635,0.5110993091172404,869,0.6107260271994077,0.5216032640698216,143,0.1840707561955768,0.15474181382203533,972,0.26412165171624624,0.2512830384492621,462,0.24522705775130893,0.2788625326577564,1247,0.36024253547136675,0.37380949597801927,214,0.124905841524311,0.0742695341042324,1357,0.0742821967393279,0.1031968107102739,236,0.42414372539301054,0.6479826408168506,633,0.7148991713891926,0.7017028893398115,125,0.33895092975240165,0.5791589376745025,717,0.47750621802090376,0.5962853489375887,288,0.4074139174785895,0.49256467800159254,575,0.5685391239213247,0.697362906344878,98,0.5109214062625724,0.5670300583617046,575,0.6705668055100196,0.6696131317029218,220,0.18288040896130175,0.2509774489227093,1344,0.44163048427483914,0.394176350230216,263,0.514846599032285,0.5846817662584965,432,0.7172551133956032,0.7509279363844569,64,0.14762840758637832,0.24144504921061533,1364,0.6027152815453103,0.558851621398953,76,0.1778140373930445,0.16962266521979588,1360,0.2119781577428576,0.22612843204279642,523,0.3984216779122982,0.6268979136195689,1025,0.7262240136834394,0.7739634460612049,180,0.20927033463726652,0.3905878837196114,672,0.5664601265947686,0.6563533427331106,95,0.42488183994802503,0.30724696891302083
combined_pl_a05,9,0.399959236892769,0.6041919658340281,671,0.7456040761988965,0.7771183008096226,111,0.34767359578589396,0.5318587508697681,869,0.6389720469533066,0.5360273428915939,143,0.15681406261319172,0.1461289455313464,972,0.21603085267431205,0.2200335619086477,462,0.2273003284026349,0.26112219640232637,1247,0.3274292005359373,0.33832444068417383,214,0.10552683632381668,0.06418370520438847,1357,0.06104905123935311,0.09127102083678507,236,0.4589367636106073,0.7108702246805055,633,0.7404488430564371,0.7370912569469262,125,0.35328467432295635,0.5858798867602905,717,0.5198233119064795,0.6119698448291224,288,0.3515900584872132,0.4207199831517624,575,0.4615929115617045,0.6665367887992214,98,0.4362407327919604,0.46405673411001963,575,0.5628647227695724,0.6052531048223436,220,0.18453874260684167,0.26141600766996287,1344,0.46103365845149125,0.40948769190474005,263,0.4822829610648121,0.587840014472923,432,0.6815997363647237,0.7563245176616442,64,0.182807542648993,0.24758058525701945,1364,0.638703387342594,0.5595500206207703,76,0.16207207878493074,0.17119804781294118,1360,0.20324670242835485,0.22517253345990934,523,0.39589020107550815,0.6028276427005943,1025,0.7152735915207376,0.7591397170061307,180,0.197997782907494,0.4274491572527085,672,0.5666072354413176,0.6900916161875745,95,0.42119588038420536,0.2961943732213082
combined_ranknet_a03,4,0.3833843363189069,0.5902473855290685,671,0.7626700012077984,0.7882185708651991,111,0.3714400923559044,0.5503803992586375,869,0.6759588788943633,0.5540802862677205,143,0.14452901062218873,0.12113195538068028,972,0.18843309894535612,0.20862927743752055,462,0.19997128584367274,0.23597082525274682,1247,0.30941523685240807,0.31252669005561345,214,0.1497361977495705,0.10633584697611027,1357,0.13836071475819708,0.15259178769906434,236,0.4833730338565768,0.6115618404307116,633,0.7355847263698168,0.677814450725888,125,0.3114352185237426,0.5897056355528772,717,0.46323716624695055,0.6080205694560481,288,0.37402095692528137,0.37177916156183155,575,0.559981896578932,0.5471168415216017,98,0.5449969527009934,0.49266776691568964,575,0.6721858052312112,0.5693355320395838,220,0.19773373027087973,0.2629445229860825,1344,0.4386577658247442,0.3907400870044059,263,0.47884228074650775,0.5765017537877934,432,0.6825850713340861,0.7221960323078347,64,0.1342112544602172,0.20179178429565492,1364,0.5533222560667883,0.4418897876635449,76,0.18885174797177987,0.18569011406964356,1360,0.22216407965937418,0.23483458543292274,523,0.44324384531622935,0.6890899545314423,1025,0.7541222281851457,0.7977432171835761,180,0.1787883864579351,0.3863892186235932,672,0.5713357340803921,0.653053491029941,95,0.44422481306880457,0.3056372220080258
combined_ranknet_a05,9,0.372064693857869,0.5875044996624911,671,0.7354233238150827,0.7817106236045663,111,0.3618984161545192,0.5902108520082747,869,0.6881804183577411,0.5775077402245922,143,0.12904475431641618,0.12262778031784237,972,0.18067208638098478,0.19509024012739065,462,0.22644694970399984,0.23049237392877306,1247,0.33710053148023866,0.3089179451616387,214,0.12391739162767412,0.10510836138464719,1357,0.10128809438987843,0.14145620327293223,236,0.4598572022139136,0.6643919838934959,633,0.7117066147010064,0.7051839290804371,125,0.35709454153058834,0.6241112262903578,717,0.5183227342435578,0.6380447355986085,288,0.40301924377533843,0.4200491547146226,575,0.495056644119735,0.6460207629327726,98,0.4830730947524488,0.4872154303741787,575,0.6101217073220014,0.6008110539862983,220,0.17986490442249126,0.25464727985414115,1344,0.48299020311485624,0.3905026941289734,263,0.5014415213926258,0.5965308712194403,432,0.7128325634168373,0.743621686177609,64,0.13847584927280893,0.2211719972998758,1364,0.5702562260314545,0.4880155451982187,76,0.1704981611503335,0.1855620008817202,1360,0.20931866113606099,0.23627575729588185,523,0.45811746485798627,0.7041635411241077,1025,0.7685924656460347,0.7981515091092307,180,0.18287624250406584,0.43108317371511296,672,0.5318685321062514,0.6474180552752135,95,0.44532865115476117,0.30317936210220525
combined_sampled_ranknet,8,0.4137259642598094,0.6135334962613561,671,0.7527788736762826,0.7923799573814213,111,0.3710229482068525,0.5932665938551299,869,0.7029653000192312,0.577797327077473,143,0.18766999091696576,0.15643997668357199,972,0.2716983563568752,0.23608361970327654,462,0.2093394869384267,0.2342862138843924,1247,0.296378074556361,0.3078248740635996,214,0.1438784968246373,0.09542396022383665,1357,0.08317566303404653,0.11957114904745071,236,0.47183577533858273,0.6120199747332252,633,0.7269073634367682,0.6905619339877919,125,0.3592797675767422,0.6079248197829081,717,0.5134515084958104,0.6264104680894135,288,0.4023780263542137,0.42126432762716703,575,0.5151234060023802,0.6698811039298321,98,0.49922638301386446,0.49940404217376,575,0.6509494653449927,0.632107299606855,220,0.1898417806729245,0.24900321841613096,1344,0.4543514756801512,0.38138861540375574,263,0.5047177393656855,0.5948490124824438,432,0.7001606974155029,0.7693599328332134,64,0.17215988108051639,0.21783755318404832,1364,0.6273228841030121,0.515776731576566,76,0.1839999652990821,0.18276241921093095,1360,0.2186518764741844,0.23072250023262925,523,0.4591139901179837,0.6696188626824207,1025,0.7631815598719437,0.7939598180059729,180,0.22200399344783706,0.447638651054225,672,0.571819091719053,0.6670818182901994,95,0.4516726132572761,0.3193462792942749
combined_softsort_a03,6,0.3865583853206611,0.6067386355016382,671,0.7305655251560818,0.7802609286139933,111,0.37983384010501775,0.5810382159798847,869,0.7185321139285039,0.5939404818304924,143,0.130555488053729,0.10771294887854634,972,0.18174811851154227,0.19982462116568797,462,0.22712783917009727,0.25935113922651465,1247,0.3758691285090061,0.3408271133782222,214,0.16221455305174864,0.10537458984105608,1357,0.12176666895219496,0.13361222803956554,236,0.4371333093016824,0.659760301461364,633,0.7182883821948415,0.7045737638847369,125,0.34426381959547414,0.5610137114589675,717,0.4507668484274973,0.5632213563331596,288,0.38238279448418383,0.40839712413141205,575,0.46314877107850316,0.5456084139718973,98,0.48378822636771357,0.49157840712307665,575,0.6133754853902786,0.5694316885103698,220,0.20441834686520052,0.2674597008348366,1344,0.4982022072058749,0.41563173227061034,263,0.49556793002049465,0.5877065374062417,432,0.7294915988290798,0.7698960819982282,64,0.17888283475192535,0.21490515809792923,1364,0.6519304866607138,0.5061776349644095,76,0.1960991299914302,0.18449600079169143,1360,0.22407434372264712,0.2327747583372558,523,0.4320325154478132,0.6902573570129988,1025,0.7551881529582887,0.8058858422855445,180,0.19351479166960434,0.40821322367356905,672,0.5244150172144365,0.631356269995473,95,0.436141898718752,0.3089582536131184
combined_softsort_a05,6,0.38089567371506555,0.5926793975661332,671,0.7528403092510125,0.7769481650792879,111,0.3871427990339451,0.5818532731306996,869,0.6762462030799005,0.5447878807687351,143,0.14312707788944332,0.13167717472677656,972,0.21884962605409458,0.21001987511500367,462,0.24993027922450464,0.25258714922722525,1247,0.39385064011655896,0.3151823401558279,214,0.11086762336430322,0.07033380980279721,1357,0.04087999724311734,0.09978889654650278,236,0.4432885502201835,0.6392877699759558,633,0.7082682403659918,0.6800890288874797,125,0.32091802827904176,0.5709130435975351,717,0.46676580953599045,0.588351060952071,288,0.35509467329192484,0.3937962729694911,575,0.47999541387924943,0.5921197239905467,98,0.4404261639042246,0.4728663659938269,575,0.5687219741103541,0.5645757829661714,220,0.19764846065795355,0.24745891319595684,1344,0.49645717858405997,0.4124079745265612,263,0.4611891204281309,0.5530225757176348,432,0.7159948012254885,0.768189768335271,64,0.1692518957675779,0.2705614242590024,1364,0.6721472940983366,0.5943769196746148,76,0.17786860042595867,0.1885304477096846,1360,0.25153837424237496,0.2681145457688143,523,0.4293581755747058,0.6660591975898236,1025,0.7318386386709301,0.7877392979284281,180,0.16447204812421662,0.42324967120569223,672,0.5299210911852698,0.6383996901810669,95,0.43024466131424133,0.2954319446600787
