experiment,n_models,all_F9_spearman,all_F9_pearson,all_F9_n,hc_F9_spearman,hc_F9_pearson,hc_F9_n,all_GP1BB_spearman,all_GP1BB_pearson,all_GP1BB_n,hc_GP1BB_spearman,hc_GP1BB_pearson,hc_GP1BB_n,all_IRF4_spearman,all_IRF4_pearson,all_IRF4_n,hc_IRF4_spearman,hc_IRF4_pearson,hc_IRF4_n,all_ZFAND3_spearman,all_ZFAND3_pearson,all_ZFAND3_n,hc_ZFAND3_spearman,hc_ZFAND3_pearson,hc_ZFAND3_n,all_IRF6_spearman,all_IRF6_pearson,all_IRF6_n,hc_IRF6_spearman,hc_IRF6_pearson,hc_IRF6_n,all_HBG1_spearman,all_HBG1_pearson,all_HBG1_n,hc_HBG1_spearman,hc_HBG1_pearson,hc_HBG1_n,all_LDLR_spearman,all_LDLR_pearson,all_LDLR_n,hc_LDLR_spearman,hc_LDLR_pearson,hc_LDLR_n,all_TERT-HEK293T_spearman,all_TERT-HEK293T_pearson,all_TERT-HEK293T_n,hc_TERT-HEK293T_spearman,hc_TERT-HEK293T_pearson,hc_TERT-HEK293T_n,all_TERT-GBM_spearman,all_TERT-GBM_pearson,all_TERT-GBM_n,hc_TERT-GBM_spearman,hc_TERT-GBM_pearson,hc_TERT-GBM_n,all_MSMB_spearman,all_MSMB_pearson,all_MSMB_n,hc_MSMB_spearman,hc_MSMB_pearson,hc_MSMB_n,all_HBB_spearman,all_HBB_pearson,all_HBB_n,hc_HBB_spearman,hc_HBB_pearson,hc_HBB_n,all_MYCrs6983267_spearman,all_MYCrs6983267_pearson,all_MYCrs6983267_n,hc_MYCrs6983267_spearman,hc_MYCrs6983267_pearson,hc_MYCrs6983267_n,all_SORT1_spearman,all_SORT1_pearson,all_SORT1_n,hc_SORT1_spearman,hc_SORT1_pearson,hc_SORT1_n,all_PKLR_spearman,all_PKLR_pearson,all_PKLR_n,hc_PKLR_spearman,hc_PKLR_pearson,hc_PKLR_n,all_HNF4A_spearman,all_HNF4A_pearson,all_HNF4A_n,hc_HNF4A_spearman,hc_HNF4A_pearson,hc_HNF4A_n,K562_matched_sp,all_mean_sp
adaptive_softsort,9,0.4072459022588128,0.5835430339059248,671,0.7628938022300288,0.7788498598969973,111,0.38806692616536,0.5937749003155657,869,0.722659320622182,0.6033951186298936,143,0.1788503009080822,0.14995364175739018,972,0.24242065628701448,0.22486138181373821,462,0.21107419899612634,0.2084791062123675,1247,0.3380459278067977,0.2756599071055157,214,0.13238671818594652,0.09436876378919495,1357,0.11173007655501878,0.13198127271774532,236,0.4633355714481243,0.6804818616662905,633,0.7260592925552096,0.7183822208872442,125,0.3685411241605334,0.6116894700667678,717,0.515937986280421,0.6248836183128914,288,0.3550963147681173,0.4116058621199342,575,0.5144347468719939,0.5813126107145603,98,0.4808294115255832,0.5073485035052567,575,0.6056822782222634,0.5724039757625655,220,0.20052539465326488,0.2687484669095561,1344,0.4902755078980468,0.441745716068286,263,0.4864673328121108,0.5963805243068524,432,0.7148490628890207,0.7388606265420383,64,0.18350209015743424,0.2007650309349662,1364,0.6058339771446188,0.4794206313007988,76,0.17990611093468215,0.17516277656956475,1360,0.2333200234666187,0.23912339662437068,523,0.42112252467234307,0.651366646441167,1025,0.7370921250528484,0.7996708952835202,180,0.16388206828996205,0.3601489381797968,672,0.5167723623770586,0.6187733455530089,95,0.4397480887744845,0.3080554659957656
combined_lambda_ranknet,9,0.40339908121085494,0.5999059828349111,671,0.7751853054313489,0.7929380219008311,111,0.3831555902639063,0.5914320958967384,869,0.6831584020576764,0.5634262381721344,143,0.12317344672804222,0.12307395739348516,972,0.1726393884816814,0.1952783568009571,462,0.23920473850907914,0.23553964331564006,1247,0.3861435782238131,0.30174027600049147,214,0.12391921923078536,0.11178965087397101,1357,0.10050424953447923,0.15138960745021307,236,0.4720283003736736,0.6591942595416806,633,0.7412170232027764,0.7203206903946503,125,0.3610753584736146,0.6246545522104907,717,0.5190926154850801,0.6349116416910554,288,0.42649030148301126,0.5060096356174163,575,0.6670875207742899,0.7355992786943939,98,0.5085460090298587,0.5675466630732344,575,0.6777815822000356,0.6992186861744989,220,0.14468338062659244,0.2065821752253534,1344,0.3801677981579869,0.33944806045714493,263,0.48248457447853893,0.560601883927353,432,0.6839599573378475,0.734815163615314,64,0.14581200999424312,0.2733301758819906,1364,0.6555416078809658,0.5741101993033196,76,0.18500102388664572,0.17933100144837594,1360,0.2176301804809193,0.23577583031326144,523,0.43419912012328127,0.6503141719109253,1025,0.7403999900583061,0.7783036558996842,180,0.15359958241053717,0.382776566960394,672,0.49715784950386127,0.5947867505283928,95,0.44296689630985003,0.3057847824548443
combined_margin_ranknet,9,0.39186485571491325,0.573845327586546,671,0.7514887266069544,0.7791885528018108,111,0.3724015105607676,0.5567603685006067,869,0.6780891824985593,0.5569027822265079,143,0.15577729378292948,0.15552102866686254,972,0.23033160202311698,0.2250212957918222,462,0.21280802257237053,0.19445713924893132,1247,0.28322335002281435,0.24368543604590562,214,0.11342377247744523,0.09746884576625585,1357,0.06584159829350618,0.1355155531016461,236,0.4687451534652013,0.6606042194223359,633,0.7037882137525411,0.7008659065178925,125,0.348539532972519,0.6016756851137542,717,0.4831345145882101,0.6035442979431623,288,0.3979060770025151,0.49344694630066394,575,0.6142711913577183,0.7152880989218509,98,0.4699282389744752,0.5537664033243372,575,0.6673524740064772,0.6803378924768956,220,0.18921122742309,0.2329278080263883,1344,0.43177432242581737,0.382248532542034,263,0.4848252406949921,0.5761512815441512,432,0.6596932193714584,0.7471368264904239,64,0.16210110918377907,0.3042468298608884,1364,0.6439285703203829,0.5763369527064954,76,0.19293670211863936,0.18236049934270576,1360,0.23769617402523413,0.24252940805486997,523,0.4182774222651671,0.6293756520004408,1025,0.7153126891475515,0.7613675650399674,180,0.16573926112079113,0.39201008443555185,672,0.5150630976838227,0.6376852615489335,95,0.436062331746532,0.3029656946886397
combined_pl_a03,9,0.37980911120255484,0.5878692691943951,671,0.7313729641382462,0.7654510596148671,111,0.36392377786281865,0.5622178896853316,869,0.6638851061549761,0.5593652092207682,143,0.1341769586659679,0.13401770853040718,972,0.2055173299619031,0.22393713666981735,462,0.2180283371569208,0.2660993909413254,1247,0.35206583693194293,0.35489619023356134,214,0.07655367849196648,0.02727547937310253,1357,-0.012405018203705624,0.02539541917335086,236,0.4492943281121799,0.6618154090168009,633,0.716736658299236,0.7071984930258649,125,0.3570682641141192,0.6133911309125983,717,0.5026334839248842,0.617756976066802,288,0.40126943015412125,0.41237755236579954,575,0.5435497245511034,0.6508563787606553,98,0.45860430644389705,0.4589157195085525,575,0.6124079175095666,0.617353097070475,220,0.2064171899045594,0.2654894297055692,1344,0.49995119505315044,0.42014672917917384,263,0.5078147536877703,0.5946089941417088,432,0.6890928650852235,0.7414978076586447,64,0.17276999844320218,0.23644910436696273,1364,0.6043019863239059,0.5131735245950372,76,0.1893272547965478,0.1902077126731745,1360,0.25310227082289477,0.25815024957004273,523,0.40903737829956666,0.6307068513240824,1025,0.7302006538844018,0.7756578026285158,180,0.21839654559179697,0.4048555011664906,672,0.5904879048644354,0.648584563583888,95,0.4325175594905839,0.3028327541951993
combined_pl_a05,9,0.38151202881819124,0.5833591299905416,671,0.7731052724012076,0.7715677570155703,111,0.34614923512175905,0.5533350311011576,869,0.6447246876108798,0.5413617473080177,143,0.12620481351934068,0.13295794402042554,972,0.1836614160863697,0.21386522852265716,462,0.24737637178605065,0.29079754388123785,1247,0.37263188085452553,0.380975870260097,214,0.0952225169896701,0.05314688914082858,1357,0.0530572119623476,0.07986013463324976,236,0.45286182623998616,0.6761310206724569,633,0.7245598049095553,0.7196397665661998,125,0.39273695896598193,0.640794844733482,717,0.5565781708125206,0.6484133260708489,288,0.4149063408587583,0.46491091237161813,575,0.5697442773995007,0.7003807321009498,98,0.5140577020188855,0.538675492910771,575,0.6652144701978449,0.6543161376625344,220,0.20884424405458357,0.2729072332400423,1344,0.49547529066979995,0.4322176704754226,263,0.5064405364091261,0.594476226031392,432,0.6931258640295903,0.7297335556115785,64,0.1740135230186564,0.24376139408643918,1364,0.5856445266859374,0.518164588594045,76,0.18977684579087903,0.18692095648559884,1360,0.23582240060255155,0.2380030249471501,523,0.4031307531751181,0.6420849495545697,1025,0.741006003273925,0.7850251637968705,180,0.18851903365377587,0.41206629271309625,672,0.5444008047955907,0.624337093582353,95,0.42714558773649736,0.3094501820280508
combined_ranknet_a03,9,0.3968351884000736,0.604917453445171,671,0.7489215972343118,0.7865843422208612,111,0.3744350402672493,0.5710320904865732,869,0.7076035333000427,0.5930850139996784,143,0.11203797657215736,0.11979512443355346,972,0.1668182639717266,0.20152408824968038,462,0.24766457721484483,0.28991722500534123,1247,0.3948186916659695,0.38647353485772645,214,0.12317147499069922,0.09896839638272668,1357,0.12967724766760402,0.1451362020701809,236,0.4673433667835016,0.657930166396979,633,0.755978372894832,0.7182991632723874,125,0.35019247323561115,0.608842929698477,717,0.4781884958415006,0.6184319899049084,288,0.3799771479903586,0.40372264337626895,575,0.5321996018465885,0.5536982665950173,98,0.5071971477693943,0.5073475848437808,575,0.6420717341902231,0.5695420307449895,220,0.19017177239251676,0.2582696261450214,1344,0.459096607394831,0.4078600315213065,263,0.5014546992265362,0.6062864492023816,432,0.7050186279621266,0.7604071137828958,64,0.169028944839259,0.25989083763757515,1364,0.6297439767393173,0.5687706524987205,76,0.1716274439387105,0.18884043353491853,1360,0.20322648577460245,0.23336865118494435,523,0.45435714525376164,0.6797711598538174,1025,0.7608675976954975,0.8060677620507545,180,0.18654609055001384,0.46010646978730696,672,0.549955915048607,0.7029209805642946,95,0.44939756288276217,0.3088026992949792
combined_ranknet_a05,9,0.38564423219159155,0.5638043948146234,671,0.7508524295829662,0.7728984458472349,111,0.369459009795646,0.5707495915677548,869,0.7010812742883527,0.5713468386080836,143,0.1526597800668688,0.15197894267099152,972,0.22269277179974087,0.22448645820402205,462,0.2394857060645528,0.26529154787476006,1247,0.34921740188585937,0.34543377108519163,214,0.11104438932935053,0.0885917141153203,1357,0.03417508787139451,0.11423362515163435,236,0.4544937580631789,0.6580623903597754,633,0.7475837002556364,0.7296879892392485,125,0.3577642737510815,0.614754095912826,717,0.5021338774683137,0.6220115057040974,288,0.43215494112281866,0.4817082143142461,575,0.6151192623238423,0.6991043378819204,98,0.5292524418394672,0.5687476451877509,575,0.7118476355051089,0.6813571166024075,220,0.18469033715342936,0.26456749008475094,1344,0.4687538181644514,0.41999561229439875,263,0.4758802461582068,0.5864841709858168,432,0.6602202590062336,0.7402956978040718,64,0.16856148441529145,0.23824424332856328,1364,0.6085012825913959,0.5385565941126402,76,0.19300954268218745,0.20327212977926812,1360,0.21546003594741892,0.2427065816734475,523,0.4438218112447765,0.7009874174936349,1025,0.7625590844976662,0.8048105539393189,180,0.19090798462468966,0.41149189075368603,672,0.5248773593035904,0.6559968629700174,95,0.43591370631545207,0.31258866256687584
combined_ranknet_a07,9,0.398084565442678,0.597253835822704,671,0.7651054829203056,0.7879642089604618,111,0.3746196571488979,0.561451421763289,869,0.6501181730365315,0.5379598153168828,143,0.1255536149057328,0.12665470407487397,972,0.1698607746362897,0.19989833838961132,462,0.22185025003708547,0.24188434345079135,1247,0.34692065213137535,0.32496554962503543,214,0.134878012605239,0.10392744809618146,1357,0.09156010951876509,0.13478322838562962,236,0.45826487797444243,0.6792411853990244,633,0.7270702176277922,0.7212410870891083,125,0.32863857419540665,0.6154393865544474,717,0.48236764756362016,0.6251299089168878,288,0.39027668506082114,0.44998851999900014,575,0.5188281370649213,0.6681838043193578,98,0.48683829095604747,0.515908899482973,575,0.618850668575485,0.6253869885290417,220,0.19073702501288398,0.2448793051797245,1344,0.48800753157996096,0.4021506685009092,263,0.47650593269031893,0.5575334651124042,432,0.702291770721333,0.758639203408528,64,0.13619200211062069,0.19147133231815497,1364,0.5964368548782812,0.49707501312954055,76,0.1856601791026143,0.2021535874202291,1360,0.23214695422980122,0.255002293452368,523,0.42362237427741045,0.6623023368593385,1025,0.7318746496429958,0.790427387517862,180,0.16327547348924204,0.3931184534103496,672,0.49499324790464055,0.5979091343855488,95,0.43325321052276744,0.29966650100062947
combined_sampled_ranknet,9,0.409519306413643,0.6031132127315337,671,0.7606557920077248,0.7896173002080112,111,0.3833779738471168,0.5675674209841549,869,0.6733401241747546,0.5372794185355341,143,0.13289377199387967,0.1288934230444256,972,0.19887828960152124,0.21590709449419687,462,0.23062633241743832,0.24788503396466022,1247,0.3466561370970013,0.33145006780273745,214,0.15560748681958064,0.09825910440808283,1357,0.10946528079052521,0.12951776778759794,236,0.44982006850450956,0.6599328800384806,633,0.7236502796162897,0.7138738883422561,125,0.3784459355483485,0.6265563379038886,717,0.5007651717961912,0.6311803082216367,288,0.3410477407745082,0.39173937626800626,575,0.4215103995838501,0.5422279573783768,98,0.4674074923535682,0.48007660413446696,575,0.588963133520546,0.5607732091839358,220,0.1765163278290115,0.2518541030075476,1344,0.4349453320844037,0.389012943031044,263,0.49630581426844367,0.5930236249646161,432,0.7256419180185478,0.7329329358209289,64,0.16843254146365988,0.23255641927656714,1364,0.6504121743294715,0.5374418784104732,76,0.1758572967759593,0.18574592415227126,1360,0.20094187807079045,0.23650312874151708,523,0.436699265049575,0.6746934180250126,1025,0.7567397114118595,0.8033737593467103,180,0.19565039905768988,0.44594422501362735,672,0.557017139682958,0.6552492548939022,95,0.44155078041741125,0.3065471835411288
combined_softsort_a03,9,0.4014938770700911,0.5727112026028098,671,0.7401670278352993,0.7724709411521743,111,0.3722014540588147,0.5610004116724011,869,0.66466909071837,0.5580272332857503,143,0.16212403647389953,0.1546927174550386,972,0.22610505441959677,0.22558302567677108,462,0.22161272520030603,0.22311644006267936,1247,0.35542615755380585,0.2814586124862066,214,0.14049517838586972,0.10350341021045094,1357,0.09935655823193201,0.1312229397991166,236,0.4746987600775645,0.6663005393595836,633,0.7197571426346422,0.7094561708528216,125,0.35609935357575906,0.609319985864813,717,0.4969396281392948,0.6169672300637941,288,0.39448836573545715,0.42642955973795416,575,0.49415756136617506,0.6127600971555467,98,0.4853276357837745,0.4929920286297996,575,0.6105877403082269,0.6081381170383866,220,0.20717430657650465,0.24735156103213976,1344,0.4618872014737327,0.3971536148728665,263,0.4882289188468924,0.591061988200938,432,0.7012147766850533,0.7524206383755101,64,0.15986562687444103,0.27554370243184284,1364,0.6485655782509336,0.5596679495410176,76,0.1797283570590383,0.18424145258318742,1360,0.21656775757729416,0.24450416865110217,523,0.44457543758207235,0.6858132771574428,1025,0.7539226245114106,0.8087580862379682,180,0.17698806869705694,0.38836029893184243,672,0.5236374418826776,0.6170685582047101,95,0.444926142641336,0.3110068067998361
