method,type,K562_sp,All_sp,K562_hc_sp
uniform_top5,ensemble,0.45524575616699503,0.3156034088687532,0.7261268785418211
borda_top5,ensemble,0.4548975642538688,0.31510587841448806,0.7235738630912169
uniform_top7,ensemble,0.4541291282888127,0.3156440746279306,0.7288576662357626
uniform_top3,ensemble,0.4540026173287447,0.31646246040262965,0.7200886693262313
uniform_top10,ensemble,0.4519510517837002,0.3155631438935435,0.7251561930729823
borda_top10,ensemble,0.4519319672768507,0.3152023377515344,0.7237955591050058
combined_ranknet_a03,single,0.44939756288276217,0.3088026992949792,0.7323670329631247
borda_top17,ensemble,0.4489383295535233,0.31617338601541367,0.7187360934690501
uniform_all17,ensemble,0.44574735280528627,0.31775738914432805,0.714052374938718
combined_softsort_a03,single,0.444926142641336,0.3110068067998361,0.709890908637369
combined_lambda_ranknet,single,0.44296689630985003,0.3057847824548443,0.7121838431641516
combined_sampled_ranknet,single,0.44155078041741125,0.3065471835411288,0.7198430083053629
mse_baseline,single,0.44076900664294993,0.29925468172255065,0.7187537551742096
adaptive_softsort,single,0.4397480887744845,0.3080554659957656,0.7251649502798152
combined_softsort_a07,single,0.43920342847999216,0.3032184103364423,0.7238595698407433
combined_softsort_a05,single,0.43907014810642203,0.2996830541818593,0.7029692087755053
combined_margin_ranknet,single,0.436062331746532,0.3029656946886397,0.6892208261925276
combined_ranknet_a05,single,0.43591370631545207,0.31258866256687584,0.7178610795119722
pure_ranknet,single,0.43388443528871806,0.31613926238471,0.7144775571028894
combined_ranknet_a07,single,0.43325321052276744,0.29966650100062947,0.7028387027571631
combined_pl_a03,single,0.4325175594905839,0.3028327541951993,0.6999788208559593
combined_weighted_pl,single,0.43114953132812606,0.3039045514165827,0.6945940138552249
pure_pl,single,0.4310447955557986,0.30499267097180643,0.7011002968152366
combined_pl_a05,single,0.42714558773649736,0.3094501820280508,0.7008540899559876
combined_spearman,single,0.4234379360427031,0.2975528891260656,0.7107754538877183
ridgeCV_K562,ensemble,0.4050171347869175,0.21750439715719289,0.6961001344117004
