motif,cell_type,frequency,n_sequences,spearman_with_activity,mean_activity_delta
SP1_GCbox,both,0.1834,917,0.22073862126859814,0.4321708381175995
NFE2_MARE,K562,0.1058,529,0.09470914007976575,0.25258350372314453
USF_Ebox,HepG2,0.0412,206,0.08743836810349946,0.34951475262641907
NRF1,both,0.005,25,0.07727914129374246,0.844367265701294
CCAAT,both,0.2394,1197,0.06798799054391885,0.12214361131191254
KLF1_CACCC,K562,0.2466,1233,0.06548472860190667,0.11532958596944809
TAL1_Ebox,K562,0.7562,3781,-0.05047403853374566,-0.0640031099319458
CEBP,HepG2,0.416,2080,-0.025169732012244,-0.023067981004714966
GATA1,K562,0.2676,1338,-0.023038911924113576,-0.03165854513645172
FOXA,HepG2,0.212,1060,0.013263764330170973,0.02095097303390503
STAT5_GAS,K562,0.0658,329,0.0012148902019763616,0.010993793606758118
tandem_GATA,K562,0.007,35,-0.00032907300669372434,-0.025380820035934448
HNF4A_DR1,HepG2,0.0006,3,,
HNF1A,HepG2,0.0014,7,,
ETS,both,1.0,5000,,
GATA_TAL1_composite,K562,0.0014,7,,
SP1_near_GATA,K562,0.0006,3,,
HNF4A_FOXA_pair,HepG2,0.0,0,,
