epoch,batch,global_step,loss,lr
1,0,1,0.6705547571182251,0.00020000065662354165
1,50,2,-0.017666375264525414,0.0002017076753620733
1,100,3,-0.10921606421470642,0.00020669510193741664
1,150,4,-0.15367473661899567,0.0002149561144984321
2,0,5,-0.18066595494747162,0.000220774421292343
2,50,6,-0.09737490117549896,0.0002340530850332258
2,100,7,-0.11492786556482315,0.0002505679142413451
2,150,8,-0.16766563057899475,0.0002702963197708354
3,0,9,-0.2416585087776184,0.000282276540925247
3,50,10,-0.2626449465751648,0.00030689954119671094
3,100,11,-0.260716050863266,0.00033465906683598657
3,150,12,-0.22703270614147186,0.00036551714809079667
4,0,13,-0.25243330001831055,0.0003834542022951798
4,50,14,-0.27700936794281006,0.0004190000345941176
4,100,15,-0.2780244052410126,0.000457529060103116
4,150,16,-0.2540912628173828,0.0004989885784420249
5,0,17,-0.29324036836624146,0.0005225754133860892
5,50,18,-0.3143130838871002,0.0005684355926288149
5,100,19,-0.34479913115501404,0.0006170745656551273
5,150,20,-0.3589138984680176,0.0006684258035991953
6,0,21,-0.33339858055114746,0.0006972586521939005
6,50,22,-0.35500651597976685,0.000752648128961129
6,100,23,-0.03852003067731857,0.0008105644317924054
6,150,24,-0.15121981501579285,0.0008709283421989194
7,0,25,-0.17114627361297607,0.0009045136343924405
7,50,26,-0.25650468468666077,0.0009684842336598089
7,100,27,-0.2846255898475647,0.0010346864362437555
7,150,28,-0.24197906255722046,0.0011030296901202667
8,0,29,-0.25958970189094543,0.001140792501990181
8,50,30,-0.316645085811615,0.001212249154295786
8,100,31,-0.308621883392334,0.0012856039858612843
8,150,32,-0.35091274976730347,0.0013607566612263726
9,0,33,-0.3564276397228241,0.001402050556713805
9,50,34,-0.3633143901824951,0.00147977004391234
9,100,35,-0.332200288772583,0.0015590217926659939
9,150,36,-0.3396935760974884,0.0016396974016531186
10,0,37,-0.4187243580818176,0.0016838154984648076
10,50,38,-0.38740938901901245,0.0017664673931724315
10,100,39,-0.4275246560573578,0.001850259401980235
10,150,40,-0.377614825963974,0.0019350769133541995
11,0,41,-0.38003969192504883,0.0019812639836028164
11,50,42,-0.35127151012420654,0.002067433423884521
11,100,43,-0.41003280878067017,0.0021543313139685974
11,150,44,-0.40279608964920044,0.0022418387940660606
12,0,45,-0.4002801179885864,0.002289304192506079
12,50,46,-0.4386324882507324,0.002377516101941093
12,100,47,-0.41365206241607666,0.0024660323270407395
12,150,48,-0.3881714940071106,0.0025547317944414768
13,0,49,-0.38812071084976196,0.0026026629929908696
13,50,50,-0.39685431122779846,0.002691407331509145
13,100,51,-0.45165202021598816,0.0027800266421800866
13,150,52,-0.4202507436275482,0.002868399710638695
14,0,53,-0.3996524512767792,0.002915976207498118
14,50,54,-0.45176538825035095,0.00300373382073591
14,100,55,-0.4382922351360321,0.003090939202881636
14,150,56,-0.4462819993495941,0.0031774730735556417
15,0,57,-0.43278631567955017,0.0032238804388243
15,50,58,-0.4370698630809784,0.0033091490635011787
15,100,59,-0.48567837476730347,0.003393447707112163
15,150,60,-0.4810059368610382,0.0034766610651431667
16,0,61,-0.4632907807826996,0.003521104882493945
16,50,62,-0.4621230959892273,0.003602424862642768
16,100,63,-0.44475504755973816,0.0036823737162022894
16,150,64,-0.4925612211227417,0.0037608420883440486
17,0,65,-0.5492777824401855,0.003802561554099809
17,50,66,-0.549755334854126,0.0038785408279308833
17,100,67,-0.5041263103485107,0.00395277130103882
17,150,68,-0.4971809685230255,0.004025151440252195
18,0,69,-0.4239051640033722,0.004063432387069825
18,50,70,-0.4593360424041748,0.00413277031673603
18,100,71,-0.5052809119224548,0.004200011708083117
18,150,72,-0.5194970369338989,0.004265064587674458
19,0,73,-0.47790369391441345,0.00429925170989303
19,50,74,-0.47068971395492554,0.004360761346230238
