epoch,batch,global_step,loss,lr
1,0,1,8.53422737121582,0.00020000065662354165
1,50,2,7.012208938598633,0.0002017076753620733
1,100,3,6.292133808135986,0.00020669510193741664
1,150,4,7.360101699829102,0.0002149561144984321
2,0,5,6.345029354095459,0.000220774421292343
2,50,6,7.247617721557617,0.0002340530850332258
2,100,7,6.618295669555664,0.0002505679142413451
2,150,8,5.956049919128418,0.0002702963197708354
3,0,9,7.025018215179443,0.000282276540925247
3,50,10,5.956509590148926,0.00030689954119671094
3,100,11,6.001589775085449,0.00033465906683598657
3,150,12,5.805306434631348,0.00036551714809079667
4,0,13,7.3407158851623535,0.0003834542022951798
4,50,14,6.870737075805664,0.0004190000345941176
4,100,15,7.070961952209473,0.000457529060103116
4,150,16,6.417237758636475,0.0004989885784420249
