epoch,batch,global_step,loss,lr
1,0,1,2.7627205848693848,0.00020000065662354165
1,50,2,0.3041571378707886,0.0002017076753620733
1,100,3,0.24801690876483917,0.00020669510193741664
1,150,4,0.23133207857608795,0.0002149561144984321
2,0,5,0.22995471954345703,0.000220774421292343
2,50,6,0.25148525834083557,0.0002340530850332258
2,100,7,0.2655639350414276,0.0002505679142413451
2,150,8,0.2379966378211975,0.0002702963197708354
3,0,9,0.20353753864765167,0.000282276540925247
3,50,10,0.23042455315589905,0.00030689954119671094
3,100,11,0.20858751237392426,0.00033465906683598657
3,150,12,0.19421978294849396,0.00036551714809079667
4,0,13,0.1987055242061615,0.0003834542022951798
4,50,14,0.19490881264209747,0.0004190000345941176
4,100,15,0.18417838215827942,0.000457529060103116
4,150,16,0.2047077715396881,0.0004989885784420249
5,0,17,0.1725570261478424,0.0005225754133860892
5,50,18,0.18423956632614136,0.0005684355926288149
5,100,19,0.1779901087284088,0.0006170745656551273
5,150,20,0.1779031753540039,0.0006684258035991953
6,0,21,0.19259265065193176,0.0006972586521939005
6,50,22,0.17365045845508575,0.000752648128961129
6,100,23,0.16966819763183594,0.0008105644317924054
6,150,24,0.16115804016590118,0.0008709283421989194
7,0,25,0.1599452942609787,0.0009045136343924405
7,50,26,0.15584209561347961,0.0009684842336598089
7,100,27,0.1503823697566986,0.0010346864362437555
7,150,28,0.16066305339336395,0.0011030296901202667
8,0,29,0.17194896936416626,0.001140792501990181
8,50,30,0.15125730633735657,0.001212249154295786
8,100,31,0.1528838723897934,0.0012856039858612843
8,150,32,0.1470368206501007,0.0013607566612263726
9,0,33,0.14163213968276978,0.001402050556713805
9,50,34,0.13814295828342438,0.00147977004391234
9,100,35,0.1457669734954834,0.0015590217926659939
9,150,36,0.14158101379871368,0.0016396974016531186
10,0,37,0.12673860788345337,0.0016838154984648076
10,50,38,0.13893595337867737,0.0017664673931724315
10,100,39,0.13147678971290588,0.001850259401980235
10,150,40,0.13621613383293152,0.0019350769133541995
11,0,41,0.1377899944782257,0.0019812639836028164
11,50,42,0.1376221776008606,0.002067433423884521
11,100,43,0.1415831595659256,0.0021543313139685974
11,150,44,0.13932345807552338,0.0022418387940660606
12,0,45,0.132477805018425,0.002289304192506079
12,50,46,0.12462727725505829,0.002377516101941093
12,100,47,0.13703559339046478,0.0024660323270407395
12,150,48,0.16181088984012604,0.0025547317944414768
13,0,49,0.13123451173305511,0.0026026629929908696
13,50,50,0.1485442817211151,0.002691407331509145
13,100,51,0.12014206498861313,0.0027800266421800866
13,150,52,0.14480748772621155,0.002868399710638695
14,0,53,0.11752725392580032,0.002915976207498118
14,50,54,0.11824505031108856,0.00300373382073591
14,100,55,0.13263553380966187,0.003090939202881636
14,150,56,0.11299082636833191,0.0031774730735556417
15,0,57,0.14745643734931946,0.0032238804388243
15,50,58,0.11337408423423767,0.0033091490635011787
15,100,59,0.11934968084096909,0.003393447707112163
15,150,60,0.13921594619750977,0.0034766610651431667
16,0,61,0.11010144650936127,0.003521104882493945
16,50,62,0.11554348468780518,0.003602424862642768
16,100,63,0.11726143956184387,0.0036823737162022894
16,150,64,0.1060517206788063,0.0037608420883440486
