epoch,batch,global_step,loss,lr
1,0,1,0.2892887592315674,0.00020000065662354165
1,50,2,0.25444507598876953,0.0002017076753620733
1,100,3,0.2181994915008545,0.00020669510193741664
1,150,4,0.22343073785305023,0.0002149561144984321
2,0,5,0.217579647898674,0.000220774421292343
2,50,6,0.184034526348114,0.0002340530850332258
2,100,7,0.19877251982688904,0.0002505679142413451
2,150,8,0.18596377968788147,0.0002702963197708354
3,0,9,0.20607596635818481,0.000282276540925247
3,50,10,0.17274773120880127,0.00030689954119671094
3,100,11,0.18035204708576202,0.00033465906683598657
3,150,12,0.16003845632076263,0.00036551714809079667
4,0,13,0.16780802607536316,0.0003834542022951798
4,50,14,0.17081034183502197,0.0004190000345941176
4,100,15,0.16609959304332733,0.000457529060103116
4,150,16,0.1816665083169937,0.0004989885784420249
5,0,17,0.13101807236671448,0.0005225754133860892
5,50,18,0.15854308009147644,0.0005684355926288149
5,100,19,0.1678416132926941,0.0006170745656551273
5,150,20,0.18163475394248962,0.0006684258035991953
6,0,21,0.15224017202854156,0.0006972586521939005
6,50,22,0.14840124547481537,0.000752648128961129
6,100,23,0.15449391305446625,0.0008105644317924054
6,150,24,0.1522512435913086,0.0008709283421989194
7,0,25,0.1464376151561737,0.0009045136343924405
7,50,26,0.13209845125675201,0.0009684842336598089
7,100,27,0.13963934779167175,0.0010346864362437555
7,150,28,0.13084670901298523,0.0011030296901202667
8,0,29,0.12991401553153992,0.001140792501990181
8,50,30,0.13159729540348053,0.001212249154295786
8,100,31,0.14295019209384918,0.0012856039858612843
8,150,32,0.14254993200302124,0.0013607566612263726
9,0,33,0.1309109479188919,0.001402050556713805
9,50,34,0.11592608690261841,0.00147977004391234
9,100,35,0.12434481084346771,0.0015590217926659939
9,150,36,0.12011948972940445,0.0016396974016531186
10,0,37,0.11803688853979111,0.0016838154984648076
10,50,38,0.11354070901870728,0.0017664673931724315
10,100,39,0.11947153508663177,0.001850259401980235
10,150,40,0.11680416017770767,0.0019350769133541995
11,0,41,0.11480335891246796,0.0019812639836028164
11,50,42,0.11105754971504211,0.002067433423884521
11,100,43,0.10796240717172623,0.0021543313139685974
11,150,44,0.09260277450084686,0.0022418387940660606
12,0,45,0.10348491370677948,0.002289304192506079
12,50,46,0.10697823017835617,0.002377516101941093
12,100,47,0.10947231948375702,0.0024660323270407395
12,150,48,0.10373342782258987,0.0025547317944414768
13,0,49,0.09385930001735687,0.0026026629929908696
13,50,50,0.10452812910079956,0.002691407331509145
13,100,51,0.0973762646317482,0.0027800266421800866
13,150,52,0.1010761633515358,0.002868399710638695
14,0,53,0.09645530581474304,0.002915976207498118
14,50,54,0.09995876252651215,0.00300373382073591
14,100,55,0.10383839905261993,0.003090939202881636
14,150,56,0.09932109713554382,0.0031774730735556417
15,0,57,0.09484074264764786,0.0032238804388243
15,50,58,0.08993600308895111,0.0033091490635011787
15,100,59,0.08691657334566116,0.003393447707112163
15,150,60,0.08839420974254608,0.0034766610651431667
16,0,61,0.10636363923549652,0.003521104882493945
16,50,62,0.08597217500209808,0.003602424862642768
16,100,63,0.08298386633396149,0.0036823737162022894
16,150,64,0.08955623209476471,0.0037608420883440486
17,0,65,0.08725038170814514,0.003802561554099809
17,50,66,0.07156398147344589,0.0038785408279308833
17,100,67,0.08168765902519226,0.00395277130103882
17,150,68,0.0834096148610115,0.004025151440252195
18,0,69,0.08372323215007782,0.004063432387069825
18,50,70,0.07965518534183502,0.00413277031673603
18,100,71,0.07264773547649384,0.004200011708083117
18,150,72,0.07746861129999161,0.004265064587674458
19,0,73,0.2901097536087036,0.00429925170989303
19,50,74,0.2545475959777832,0.004360761346230238
19,100,75,0.26539140939712524,0.004419862595875136
19,150,76,0.2654578685760498,0.0044764746195570014
20,0,77,0.26812976598739624,0.004505982690932574
20,50,78,0.2655531167984009,0.004558611092040328
20,100,79,0.24163763225078583,0.004608560485626944
20,150,80,0.23049890995025635,0.0046557625504204565
21,0,81,0.2199283242225647,0.004680086442218684
21,50,82,0.2278396487236023,0.004722932698061094
21,100,83,0.19908422231674194,0.004762875185673001
21,150,84,0.1972065567970276,0.004799859271326883
22,0,85,0.18855616450309753,0.004818582599280493
22,50,86,0.17822229862213135,0.00485091325375636
22,100,87,0.17289668321609497,0.004880165086938529
22,150,88,0.1715959906578064,0.004906298087881786
23,0,89,0.16922171413898468,0.004919100339991485
23,50,90,0.15336889028549194,0.004940361946473677
23,100,91,0.1707538664340973,0.004958422382860249
23,150,92,0.13705942034721375,0.004973256945908627
24,0,93,0.13998396694660187,0.004979918969071435
24,50,94,0.14822906255722046,0.004989747564485724
24,100,95,0.14152857661247253,0.004996307439670203
24,150,96,0.1521783024072647,0.004999589621963059
25,0,97,0.14302141964435577,0.004999999497720549
25,50,98,0.14832840859889984,0.004999660466765292
25,100,99,0.15261021256446838,0.00499869368488333
25,150,100,0.1448255181312561,0.004997099394867898
26,0,101,0.14380866289138794,0.004995977694952612
26,50,102,0.1320803165435791,0.004993417880928568
26,100,103,0.13180914521217346,0.004990231883712628
26,150,104,0.13504070043563843,0.004986420503421739
27,0,105,0.1457655131816864,0.004984102654397246
27,50,106,0.12912431359291077,0.004979330111426376
27,100,107,0.14432081580162048,0.004973934923202403
27,150,108,0.13103003799915314,0.004967918444648528
28,0,109,0.13063018023967743,0.0049644117393253815
28,50,110,0.121349036693573,0.004957441483593541
28,100,111,0.13057813048362732,0.004949854079619716
28,150,112,0.13658535480499268,0.0049416514328702674
29,0,113,0.13103410601615906,0.0049369669046407695
29,50,114,0.13786277174949646,0.004927820867151238
29,100,115,0.135349303483963,0.0049180651202075315
29,150,116,0.1202731728553772,0.00490770211382387
30,0,117,0.13710249960422516,0.0049018545019469395
30,50,118,0.1237860918045044,0.004890561459517366
30,100,119,0.12895160913467407,0.004878668064792943
30,150,120,0.125968337059021,0.0048661773046270946
31,0,121,0.14103034138679504,0.004859185007853103
31,50,122,0.12018056213855743,0.004845780492572996
31,100,123,0.12984326481819153,0.00483178687108779
31,150,124,0.12752394378185272,0.004817207657692373
32,0,125,0.13338646292686462,0.004809092676373874
32,50,126,0.11684991419315338,0.0047936188638074955
32,100,127,0.128111332654953,0.0047775690446718415
32,150,128,0.126003235578537,0.004760947249645987
33,0,129,0.11268308758735657,0.004751735116516461
33,50,130,0.11991780996322632,0.004734240693002906
33,100,131,0.11119598150253296,0.004716185174885665
33,150,132,0.11422295868396759,0.004697573096545996
34,0,133,0.11698224395513535,0.004687292796384431
34,50,134,0.11739496886730194,0.004667832805852386
34,100,135,0.11023014783859253,0.004647828398093453
34,150,136,0.10978437960147858,0.004627284596924233
35,0,137,0.11432813107967377,0.00461596847535828
35,50,138,0.11278658360242844,0.004594604146137462
35,100,139,0.11916401982307434,0.004572713790004565
35,150,140,0.11161994189023972,0.0045503029044047455
36,0,141,0.11944052577018738,0.004537986566139415
36,50,142,0.11061935126781464,0.004514785118313593
36,100,143,0.12321943789720535,0.004491077688965777
36,150,144,0.10966062545776367,0.004466870231872685
37,0,145,0.1055169552564621,0.004453592428664764
37,50,146,0.11241928488016129,0.004428626862572507
37,100,147,0.12265372276306152,0.004403176952353406
37,150,148,0.1146063506603241,0.004377249089382952
38,0,149,0.10302576422691345,0.004363051598113649
38,50,150,0.11521239578723907,0.004336400464662252
38,100,151,0.1241900846362114,0.0043092881484049755
38,150,152,0.11458633840084076,0.00428172145820645
39,0,153,0.12127581238746643,0.004266648949435862
39,50,154,0.1074359267950058,0.004238396102951134
39,100,155,0.10700226575136185,0.004209706686033217
39,150,156,0.1032683402299881,0.004180587903612679
40,0,157,0.106520876288414,0.00416468780102969
40,50,158,0.10809613764286041,0.004134922135419218
40,100,159,0.10621172934770584,0.004104745885360347
40,150,160,0.10306990146636963,0.004074166629180202
41,0,161,0.11261285841464996,0.004057488960390009
41,50,162,0.11887787282466888,0.004026304129450041
41,100,163,0.11079853028059006,0.003994735991897036
41,150,164,0.10346842557191849,0.003962792475610463
42,0,165,0.11093219369649887,0.003945389714729225
42,50,166,0.1089446023106575,0.0039128838374751715
42,100,167,0.1037195473909378,0.0038800231374678633
42,150,168,0.10559672862291336,0.0038468158671950614
43,0,169,0.10715170204639435,0.00382874276974691
43,50,170,0.11616048216819763,0.0037950181216946303
43,100,171,0.09981514513492584,0.0037609682511525293
43,150,172,0.1024843230843544,0.0037266017092512835
44,0,173,0.10678676515817642,0.0037079151398871943
44,50,174,0.09079351276159286,0.0036730778312563783
44,100,175,0.10438670217990875,0.0036379459236694487
44,150,176,0.09836878627538681,0.003602528239994977
45,0,177,0.111311174929142,0.0035832869935755332
45,50,178,0.10646530240774155,0.0035474466354276967
45,100,179,0.09448361396789551,0.0035113432287747597
45,150,180,0.09998078644275665,0.0034749858404631833
46,0,181,0.102403923869133,0.003455250457068196
46,50,182,0.1002425104379654,0.003418519816429727
46,100,183,0.10921766608953476,0.003381558505385088
46,150,184,0.09755659103393555,0.0033443758062309727
47,0,185,0.10337051749229431,0.0033242083806779917
47,50,186,0.09081453084945679,0.0032867030257333675
47,100,187,0.0960463434457779,0.003249000104255941
47,150,188,0.09175437688827515,0.0032111090847870994
48,0,189,0.11300225555896759,0.0031905730712581425
48,50,190,0.09683758020401001,0.0031524110077296636
48,100,191,0.09990346431732178,0.0031140851031591543
48,150,192,0.0964270532131195,0.003075604982541162
49,0,193,0.09082423150539398,0.0030547649949323854
49,50,194,0.09101977944374084,0.0030160662947905158
49,100,195,0.09765858948230743,0.0029772379946019227
49,150,196,0.10062003135681152,0.002938289845530517
50,0,197,0.09115426987409592,0.0029172114541529902
50,50,198,0.09667603671550751,0.002878097877825517
50,100,199,0.09710240364074707,0.0028388893502163193
50,150,200,0.09253253042697906,0.002799595717977908
51,0,201,0.09184790402650833,0.002778345243249158
51,50,202,0.10054589807987213,0.0027389398565178373
51,100,203,0.09660220146179199,0.002699474466021652
51,150,204,0.09785886108875275,0.0026599589829205
52,0,205,0.09331606328487396,0.002638603286695943
52,50,206,0.0923994928598404,0.002599030073486018
52,100,207,0.08397763967514038,0.002559431992822136
52,150,208,0.10184965282678604,0.002519818989187399
53,0,209,0.09832681715488434,0.0024984252643882043
53,50,210,0.09010849893093109,0.0024588087366691136
53,100,211,0.09227033704519272,0.0024192025560491803
53,150,212,0.09477289766073227,0.0023796166690456953
54,0,213,0.09413161873817444,0.0023582522282449957
54,50,214,0.09462395310401917,0.002318717034269648
54,100,215,0.0889144092798233,0.0022792273693907706
54,150,216,0.09307971596717834,0.002239793150864417
55,0,217,0.08341988921165466,0.0022185252144970523
55,50,218,0.09073641896247864,0.002179195746612307
55,100,219,0.0852040946483612,0.0021399468465699623
55,150,220,0.09140419960021973,0.0021007883711614793
56,0,221,0.09131181240081787,0.0020796838560236427
56,50,222,0.09577025473117828,0.002040683859285966
56,100,223,0.09349193423986435,0.002001799215640383
56,150,224,0.07917989045381546,0.0019630396904006457
57,0,225,0.08836285769939423,0.0019421649991048773
57,50,226,0.09686055779457092,0.0019036171819326164
57,100,227,0.08861233294010162,0.001865219140158635
57,150,228,0.08835504949092865,0.0018269805168936917
58,0,229,0.09049705415964127,0.0018064013289417018
58,50,230,0.08488348126411438,0.0017684269770289977
58,100,231,0.08395379781723022,0.0017306363515719474
58,150,232,0.08870244026184082,0.001693038943137518
59,0,233,0.0874808132648468,0.001672820008268168
59,50,234,0.08823943138122559,0.0016355386029752955
59,100,235,0.08094733208417892,0.0015984742971240484
59,150,236,0.09115985035896301,0.0015616363988767686
60,0,237,0.09581533074378967,0.001541841333339444
60,50,238,0.09115615487098694,0.001505370175760246
60,100,239,0.08124081790447235,0.0014691488075334821
60,150,240,0.09965233504772186,0.0014331863251299483
61,0,241,0.08348710834980011,0.0014138774115242975
61,50,242,0.08295977115631104,0.0013783312534135486
61,100,243,0.08979582786560059,0.001343066788636326
61,150,244,0.07905726879835129,0.0013080928733510146
62,0,245,0.09555000066757202,0.001289330864662852
