model,category,loss,model_type,sampler,test_spearman,test_pearson,noise_corr,low_noise_spearman,high_noise_spearman,noise_gap,cagi5_all,cagi5_hc,cagi5_lc
ABL1_ng_a01,ABL1,noise_gated,dream_rnn_distributional,none,,,,,,,0.3478000972895133,0.6617377604142336,0.1943590662803057
ABL2_ng_a02,ABL2,noise_gated,dream_rnn_distributional,none,0.7176393886339344,0.7751368430468193,0.03655980745031777,0.7765318978404403,0.632785771305888,0.14374612653455232,0.3058513502664022,0.599245619944113,0.1527937021822968
ABL3_ng_a04,ABL3,noise_gated,dream_rnn_distributional,none,0.717139703668192,0.7734676624063714,0.04185640292873111,0.7744811175713673,0.6290906380733425,0.14539047949802475,0.3529106746011443,0.6681611804219783,0.1848703576512166
ABL4_ng_a05,ABL4,noise_gated,dream_rnn_distributional,none,0.7140509287615128,0.7645818390215875,0.023667325364856176,0.7638194052301982,0.6425038813625386,0.12131552386765965,0.3754241861319438,0.6739171929198434,0.2140413932248967
ABL5_ng_b005,ABL5,noise_gated,dream_rnn_distributional,none,,,,,,,0.3459311209164405,0.65372613116202,0.1842250196255609
ABL6_ng_b02,ABL6,noise_gated,dream_rnn_distributional,none,0.7068104663970238,0.7606270524773231,0.014039574510801733,0.7588477776799462,0.6268059071583062,0.13204187052163996,0.3675523478740376,0.6500403227933776,0.2006457422120577
ABL7_rs_k15,ABL7,rank_stability,dream_rnn_single,none,0.7170740310211331,0.7575741808407459,-0.07538256912603475,0.7731529729720058,0.6314729356996895,0.14168003727231626,0.355148382157487,0.6537165663046186,0.1970580529002664
ABL8_rs_k25,ABL8,rank_stability,dream_rnn_single,none,0.7149023293354337,0.756038633746992,-0.07004031628107679,0.7732830151766271,0.6282920520826388,0.1449909630939883,0.3515882629199136,0.6494965029848048,0.1943176435347134
BEST1_ng_qs,BEST1,noise_gated,dream_rnn_distributional,quantile_stratified,,,,,,,0.3493929358489309,0.6455290150801374,0.1992798107810736
BEST2_ng_qsn,BEST2,noise_gated,dream_rnn_distributional,quantile_noise_weighted,0.7168705549616065,0.7731437447990894,0.04029326925738947,0.7752418722898287,0.632366334272065,0.14287553801776365,0.3803766183545158,0.6583635459256048,0.2090886519981231
BEST3_ng_hn,BEST3,noise_gated,dream_rnn_distributional,hard_negative,0.7168833246022941,0.7726465419467342,0.0443630786237052,0.7728551385366053,0.629894030101101,0.14296110843550425,,,
BEST4_full_ng,BEST4,noise_gated,factorized_full,quantile_stratified,,,,,,,,,
CA1_contrastive,CA1,contrastive_anchor,dream_rnn_single,none,,,,,,,0.3157487916464099,0.5587577194180566,0.1807211623469834
CA2_contrastive,CA2,contrastive_anchor,dream_rnn_single,none,,,,,,,0.2997210104986149,0.5329750115412575,0.1750762988187049
CA3_contrastive,CA3,contrastive_anchor,dream_rnn_single,none,,,,,,,0.3522698191146411,0.6461132567118589,0.1960499567736875
CA4_triplet,CA4,triplet_anchor,dream_rnn_single,none,,,,,,,0.244652390302525,0.4064581716591903,0.174216681820265
CA5_triplet,CA5,triplet_anchor,dream_rnn_single,none,,,,,,,,,
CA6_triplet,CA6,triplet_anchor,dream_rnn_single,none,,,,,,,,,
CA7_factorized_contrastive,CA7,contrastive_anchor,factorized,none,,,,,,,,,
CA8_contrastive_t05,CA8,contrastive_anchor,dream_rnn_single,none,,,,,,,0.3556699801185695,0.6565280214861687,0.1890862682417722
CA9_contrastive_t02,CA9,contrastive_anchor,dream_rnn_single,none,,,,,,,0.3272701775295118,0.6209475418500919,0.1701220260419793
DH1_distributional,DH1,distributional,dream_rnn_distributional,none,0.7115485307027626,0.7669646481314565,0.027483607141958098,0.7678214817916239,0.6210945076121854,0.14672697417943847,0.3441254753985014,0.6340287762817007,0.179374737681406
DH2_distributional,DH2,distributional,dream_rnn_distributional,none,0.7118503016646296,0.7622065767115183,0.02704380388724934,0.7655108168564898,0.6270437569047669,0.13846705995172293,0.3395789179709089,0.6214616739198544,0.194851416804179
DH3_distributional,DH3,distributional,dream_rnn_distributional,none,,,,,,,0.3576958545039709,0.6541499230637724,0.2062689834787391
DH4_heteroscedastic,DH4,heteroscedastic_distributional,dream_rnn_distributional,none,0.7179375338835272,0.7751570196329421,0.04128493586878808,0.7752184857684465,0.6316461010792174,0.14357238468922917,0.3356584993704923,0.6595504473899292,0.1902184952791825
DH5_heteroscedastic,DH5,heteroscedastic_distributional,dream_rnn_distributional,none,0.7172102366671708,0.7747823526973748,0.04197049246156912,0.7761747276773122,0.6353834254031059,0.14079130227420633,0.3484935346856515,0.6179055648724561,0.201844676950398
DH6_heteroscedastic,DH6,heteroscedastic_distributional,dream_rnn_distributional,none,0.7188595994801895,0.7744365480900557,0.04141843873597795,0.7734434338050196,0.630285962409893,0.14315747139512658,0.3133464231880111,0.646243206511586,0.143467664597499
DH7_distributional_dual,DH7,distributional,dream_rnn_distributional_dual,none,,,,,,,0.3905133582967877,0.6797351833124348,0.226503829279771
DH8_distributional_lv2,DH8,distributional,dream_rnn_distributional,none,0.7134727679878795,0.7688978324312632,0.021723834871803155,0.763062830759577,0.6286020092038368,0.13446082155574024,0.3637355953153043,0.6765015378824388,0.1923917757525607
DH9_distributional_lv05,DH9,distributional,dream_rnn_distributional,none,0.7122117937736544,0.7706797800472238,0.03999280925206139,0.7638332640854515,0.6263172572977538,0.1375160067876977,0.3354571687966698,0.6238945265629614,0.184043781429224
FE1_factorized,FE1,mse,factorized,none,,,,,,,,,
FE2_factorized,FE2,mse,factorized,none,,,,,,,,,
FE3_factorized,FE3,mse,factorized,none,,,,,,,,,
FE4_factorized_vib,FE4,mse,factorized_vib,none,,,,,,,,,
FE5_factorized_vib,FE5,mse,factorized_vib,none,,,,,,,,,
FE6_factorized_vib,FE6,mse,factorized_vib,none,,,,,,,,,
FE7_factorized_gc,FE7,mse,factorized_gc_adv,none,,,,,,,,,
FE8_factorized_gc,FE8,mse,factorized_gc_adv,none,,,,,,,,,
FE9_factorized_full,FE9,mse,factorized_full,none,0.6742862133304279,0.730642459635397,0.020797970623142068,0.7307379587728802,0.5957948831323444,0.13494307564053576,,,
HN1_hard_negative,HN1,mse,dream_rnn_single,hard_negative,0.704234845110445,0.7563897896040835,0.01738042529964616,0.758198466740581,0.6219616265427799,0.13623684019780113,0.3619264208968518,0.6632257025778685,0.1994231390529362
HN2_hard_negative,HN2,mse,dream_rnn_single,hard_negative,0.7003648129448199,0.7546514712086467,0.03070745544653668,0.753874788457856,0.6163162411906055,0.13755854726725059,0.3363766240554138,0.633278042608916,0.1864245912900528
HN3_hard_negative,HN3,mse,dream_rnn_single,hard_negative,0.6985447468233311,0.7513189345380643,0.022952043572151297,0.7531511590299391,0.6136062606774801,0.13954489835245898,0.3418826325310403,0.6117679912148125,0.1913853762558745
HN4_factorized_hn,HN4,mse,factorized,hard_negative,,,,,,,,,
HN5_hn_temp2,HN5,mse,dream_rnn_single,hard_negative,0.704234845110445,0.7563897896040835,0.01738042529964616,0.758198466740581,0.6219616265427799,0.13623684019780113,0.3619264208968518,0.6632257025778685,0.1994231390529362
HN6_hn_temp05,HN6,mse,dream_rnn_single,hard_negative,0.704234845110445,0.7563897896040835,0.01738042529964616,0.758198466740581,0.6219616265427799,0.13623684019780113,0.3619264208968518,0.6632257025778685,0.1994231390529362
NG1_noise_gated,NG1,noise_gated,dream_rnn_distributional,none,,,,,,,0.3080901959314536,0.610890475683096,0.1635013078231706
NG2_noise_gated,NG2,noise_gated,dream_rnn_distributional,none,0.7168164249123461,0.7733454428677693,0.042473040722990504,0.7701106595268882,0.6340646491351043,0.13604601039178388,0.321638745346334,0.6192988476560372,0.1713878633439068
NG3_noise_gated,NG3,noise_gated,dream_rnn_distributional,none,0.7184406455139941,0.7752025486232331,0.03789882751167602,0.7711761629781919,0.6347772028198162,0.13639896015837571,0.3326753549821166,0.6101983408836187,0.1879455823712037
NG4_adaptive_ng,NG4,adaptive_noise_gated,dream_rnn_distributional,none,0.7159412108242951,0.772278811411249,0.038043358227791334,0.7727767905457489,0.6317553814465188,0.1410214090992301,0.3371856188991599,0.6503710942926536,0.1647305682428385
NG5_adaptive_ng,NG5,adaptive_noise_gated,dream_rnn_distributional,none,,,,,,,0.3365252272002251,0.6625320202983536,0.1685613988626
