experiment,cell_type,all_F9_spearman,all_F9_pearson,all_F9_kendall,all_F9_n,highconf_F9_spearman,highconf_F9_pearson,highconf_F9_kendall,highconf_F9_n,all_GP1BB_spearman,all_GP1BB_pearson,all_GP1BB_kendall,all_GP1BB_n,highconf_GP1BB_spearman,highconf_GP1BB_pearson,highconf_GP1BB_kendall,highconf_GP1BB_n,all_IRF4_spearman,all_IRF4_pearson,all_IRF4_kendall,all_IRF4_n,highconf_IRF4_spearman,highconf_IRF4_pearson,highconf_IRF4_kendall,highconf_IRF4_n,all_ZFAND3_spearman,all_ZFAND3_pearson,all_ZFAND3_kendall,all_ZFAND3_n,highconf_ZFAND3_spearman,highconf_ZFAND3_pearson,highconf_ZFAND3_kendall,highconf_ZFAND3_n,all_IRF6_spearman,all_IRF6_pearson,all_IRF6_kendall,all_IRF6_n,highconf_IRF6_spearman,highconf_IRF6_pearson,highconf_IRF6_kendall,highconf_IRF6_n,all_HBG1_spearman,all_HBG1_pearson,all_HBG1_kendall,all_HBG1_n,highconf_HBG1_spearman,highconf_HBG1_pearson,highconf_HBG1_kendall,highconf_HBG1_n,all_LDLR_spearman,all_LDLR_pearson,all_LDLR_kendall,all_LDLR_n,highconf_LDLR_spearman,highconf_LDLR_pearson,highconf_LDLR_kendall,highconf_LDLR_n,all_TERT-HEK293T_spearman,all_TERT-HEK293T_pearson,all_TERT-HEK293T_kendall,all_TERT-HEK293T_n,highconf_TERT-HEK293T_spearman,highconf_TERT-HEK293T_pearson,highconf_TERT-HEK293T_kendall,highconf_TERT-HEK293T_n,all_TERT-GBM_spearman,all_TERT-GBM_pearson,all_TERT-GBM_kendall,all_TERT-GBM_n,highconf_TERT-GBM_spearman,highconf_TERT-GBM_pearson,highconf_TERT-GBM_kendall,highconf_TERT-GBM_n,all_MSMB_spearman,all_MSMB_pearson,all_MSMB_kendall,all_MSMB_n,highconf_MSMB_spearman,highconf_MSMB_pearson,highconf_MSMB_kendall,highconf_MSMB_n,all_HBB_spearman,all_HBB_pearson,all_HBB_kendall,all_HBB_n,highconf_HBB_spearman,highconf_HBB_pearson,highconf_HBB_kendall,highconf_HBB_n,all_MYCrs6983267_spearman,all_MYCrs6983267_pearson,all_MYCrs6983267_kendall,all_MYCrs6983267_n,highconf_MYCrs6983267_spearman,highconf_MYCrs6983267_pearson,highconf_MYCrs6983267_kendall,highconf_MYCrs6983267_n,all_SORT1_spearman,all_SORT1_pearson,all_SORT1_kendall,all_SORT1_n,highconf_SORT1_spearman,highconf_SORT1_pearson,highconf_SORT1_kendall,highconf_SORT1_n,all_PKLR_spearman,all_PKLR_pearson,all_PKLR_kendall,all_PKLR_n,highconf_PKLR_spearman,highconf_PKLR_pearson,highconf_PKLR_kendall,highconf_PKLR_n,all_HNF4A_spearman,all_HNF4A_pearson,all_HNF4A_kendall,all_HNF4A_n,highconf_HNF4A_spearman,highconf_HNF4A_pearson,highconf_HNF4A_kendall,highconf_HNF4A_n,all_mean_spearman,all_mean_pearson,highconf_mean_spearman,highconf_mean_pearson,all_matched_mean_spearman,highconf_matched_mean_spearman
ABL1_ng_a01,K562,0.24924143305560165,0.43908538349919035,0.172205345552974,671,0.6576634392283658,0.7237250610268248,0.48260972276549075,111,0.2995660896180677,0.444177063110445,0.2085903209975131,869,0.6613730718471383,0.5280421057890256,0.4830009844998181,143,0.09025829720125542,0.06967980025202264,0.061117537689095766,972,0.10239646857419159,0.110705634571823,0.06782178101198667,462,0.14773819654423437,0.15887472739505565,0.09993489678793245,1247,0.26599864531916506,0.24543777138723627,0.17721546889335701,214,0.10356001356425494,0.05863394643340383,0.07105919487947585,1357,0.13815984595425088,0.06747863324011918,0.09751043723882047,236,0.4013642777576144,0.6133807841750091,0.28468649293613224,633,0.7326379873284593,0.731444608178539,0.5634707644519269,125,0.23499732367201315,0.49744120292918675,0.1597441022815758,717,0.35226826750558754,0.5181351387209924,0.2457063608141611,288,0.43233679774483896,0.44982408138543345,0.29991110819149586,575,0.6198314761882449,0.646667319023332,0.4361171955785874,98,0.49011924170608245,0.540328604250604,0.33918631999050974,575,0.7044249190667045,0.6371008964996001,0.49276108889836023,220,0.1139352309458619,0.17165517163686334,0.07821621609599387,1344,0.2573905669436045,0.2701591875993194,0.17960737835177767,263,0.38023560208683277,0.46668317713674135,0.2678066615507641,432,0.599839848674378,0.6789452177914008,0.43259013386642914,64,0.14092069653910208,0.28256257188932243,0.09845793133364567,1364,0.6589065162907461,0.6232406572351786,0.468420577256695,76,0.15026226300354142,0.14208001743671592,0.10203324429069807,1360,0.21796610409067585,0.17694359995390524,0.14866718252856945,523,0.31003441969553835,0.47957576709945177,0.21416107097995443,1025,0.6531001338069585,0.6571145950393016,0.47421882571269086,180,0.15183798009595223,0.3614662288447256,0.10670632752306869,672,0.47175005014990173,0.6624873973018607,0.3367274650137863,95,0.24642719088205275,0.3450299018316114,0.47291382273122484,0.48517518822389716,0.34780009728951333,0.6617377604142336
ABL2_ng_a02,K562,0.10011377254327736,0.11149396058003004,0.06731483977803128,671,0.03433809801868273,0.11625867665805317,0.022370457496968893,111,0.16334970105536706,0.34339488213609987,0.11160026085284926,869,0.4393063657924183,0.3758835163675985,0.3196242677255869,143,-0.008942271646363806,0.049332331382845325,-0.006441048092696229,972,0.0382898646738454,0.09746207977248326,0.02486108051536307,462,0.15411594064552084,0.1587761039648884,0.10866796449900104,1247,0.15176182715219114,0.20646886079084623,0.1141761354312922,214,0.013274325689540418,-0.06057244787840815,0.009902724013845253,1357,-0.07612882017560617,-0.12936490881678747,-0.05031162129248718,236,0.30020196612754035,0.4963285375772558,0.20622803819918992,633,0.6216759015500423,0.558572305180018,0.4460053910986259,125,0.19847541055033419,0.4538366337775252,0.13590193314699783,717,0.3066068999333462,0.48445177729163924,0.21336573078691978,288,0.4226845704975233,0.5640253575824153,0.2956977586108762,575,0.7180355434760168,0.7586296372279125,0.5324220097111955,98,0.5315033530815111,0.6646844112313324,0.38045623097045805,575,0.742753455452562,0.745223424776174,0.5464396739920002,220,0.13477744362702437,0.19003042600378314,0.0928600594137102,1344,0.3733156986272908,0.35526442262745545,0.2572057366280882,263,0.43902705628326966,0.5319294348600574,0.3098602943444933,432,0.6878325529151088,0.7556376428255152,0.5149882546028918,64,0.14954538693118813,0.2176821751500402,0.10393320220183744,1364,0.648237294503638,0.5781228209790963,0.45284196395412923,76,0.1413757548037997,0.11732274311164616,0.09678760438185896,1360,0.1864784980983126,0.1461256005108511,0.12771862499045286,523,0.320826677599432,0.548346297048608,0.2245921623883617,1025,0.6481676595188824,0.7338007372875008,0.4839221490090156,180,0.14238269774957812,0.30521620014467965,0.09766865799700102,672,0.5503061742070569,0.6139583689007108,0.3875542521856786,95,0.21351411903590287,0.3127884697781866,0.40473180091625255,0.42643299749193786,0.30585135026640226,0.599245619944113
ABL3_ng_a04,K562,0.28063394575205436,0.3801326921529172,0.1926448561776676,671,0.6795081743001873,0.7051338307449321,0.506625066843119,111,0.29019146864490436,0.44002337179290074,0.198751838126644,869,0.6668301790567305,0.5406787159883569,0.48913998840284983,143,0.037546971188886405,0.03980415057204527,0.024797183166392026,972,0.0455993258674371,0.08567479114141763,0.027968715579783452,462,0.12909494691792572,0.16977378430441856,0.09142338663533775,1247,0.17434479821187593,0.23958173534517907,0.12025965152763132,214,0.10730200331637346,0.044282510890868,0.07282781240280728,1357,0.09692558918417384,0.02855432661221463,0.06674433788729954,236,0.3931547707357902,0.6369070601381059,0.2782228808302133,633,0.722888244911121,0.7446377819584961,0.5484310477753452,125,0.2881145323970224,0.42215168933325176,0.19862590229176608,717,0.36856714319886963,0.42536954642175095,0.2590886904806058,288,0.3960131392840509,0.4852802086047227,0.2789909115781585,575,0.653658667731757,0.7019334917973431,0.47877853868119014,98,0.4525529742605295,0.568692019325922,0.31912354320733727,575,0.6980745856667363,0.7007668668630266,0.5020820215037676,220,0.1939038742076454,0.2313319702644223,0.13533738222349367,1344,0.36068741908485075,0.32990782331816804,0.25697130050036526,263,0.39603887743812366,0.46570702418025195,0.2795425590745955,432,0.6174383895225242,0.6505286890856332,0.4436435403066863,64,0.14699202432994274,0.3439414073079015,0.10292068000663974,1364,0.7468181681186221,0.6690608943463999,0.5526867128478465,76,0.12918028121765351,0.1524265423397744,0.08760392704664127,1360,0.19370347716214412,0.18619098024864783,0.13249301573371225,523,0.33225758158575924,0.6116834985737037,0.23101247425045884,1025,0.6654879081975374,0.736481238784179,0.4978551260498921,180,0.10260751760597864,0.3034707137699677,0.07065566387029369,672,0.30249781960371613,0.5914163265031734,0.2196443302785345,95,0.2450389939255094,0.3530405762367448,0.4662019926545522,0.48906113594392786,0.35291067460114434,0.6681611804219783
ABL4_ng_a05,K562,0.25902740873023666,0.4215645482055002,0.1793685996058969,671,0.5938845361480419,0.66312942506842,0.42865744291985985,111,0.3138478664533014,0.4729817977871402,0.21664242720753193,869,0.6841311996572803,0.5224251445018728,0.503398320048601,143,0.1743175573573426,0.14445016160062463,0.11932126790768609,972,0.2196839708049543,0.20474820085925868,0.14901580987693377,462,0.14510432399833936,0.14233741807024725,0.10257811433087433,1247,0.2091462820283529,0.20740962669677052,0.14468188281293476,214,0.12145902437578271,0.06487578065838767,0.08355576291831941,1357,0.08268125186433345,0.0555314568683125,0.05849178417889157,236,0.4426844044359867,0.626720120124919,0.3175773735245447,633,0.7092453655121355,0.7341713662000116,0.5398739675972902,125,0.3236965475925766,0.5480196345070465,0.22402146053086736,717,0.4165637753396051,0.5477947252397559,0.29230208113826744,288,0.43422048637629546,0.5388661539237516,0.301877337995785,575,0.6636059662817813,0.7394808883271794,0.48976066660859274,98,0.5827809443766782,0.6732179791979019,0.41781828312310143,575,0.7855732649946664,0.7545767097699831,0.5733205778450944,220,0.14838124247615458,0.23730833017755557,0.10403235068622274,1344,0.338181201953355,0.33342664373174835,0.24003329027237902,263,0.4199240364305817,0.4877527828490265,0.29764626766228364,432,0.6526583859855458,0.6626404543665902,0.4808231801511878,64,0.16626044154494524,0.2915638149790165,0.11608787081462381,1364,0.6605616135166948,0.5845150584254235,0.4811667154133398,76,0.14264504366767033,0.1143980203009424,0.09494042550064602,1360,0.09728052457964133,0.12331916561039055,0.06406497855801299,523,0.3252404372079055,0.4861258583807723,0.2271319396941913,1025,0.6496338205244121,0.6952724718399181,0.4867833853656241,180,0.19690217733053764,0.379202307029863,0.13784295041671696,672,0.5652342195401938,0.673507127328102,0.3948152217816632,95,0.279766129490289,0.37529231385284645,0.4885376919153996,0.5001298976555825,0.37542418613194384,0.6739171929198434
ABL5_ng_b005,K562,0.2683486994990697,0.5122403772738743,0.1865587831853346,671,0.6814039006061389,0.7254065872247942,0.5059671122108553,111,0.2941757596193999,0.3881468964258251,0.20380519192400423,869,0.6072801892885746,0.496245659544197,0.4370574714190646,143,0.09851643131959036,0.06497373526912385,0.06587590456709952,972,0.1431350347881802,0.13736390851738248,0.09670440700992751,462,0.08921072957054586,0.09554615624647603,0.06131579334160981,1247,0.14622844204654686,0.16948352423407603,0.10950328973410418,214,0.08299680560299946,0.06070787453013309,0.05711188147367498,1357,0.005626152590529868,0.07344063037097406,0.00434344932021472,236,0.3836639467140632,0.5930015658228669,0.27089126759129867,633,0.6546431207103389,0.6462367678019688,0.4737510753123195,125,0.34237816260943976,0.5671706875305459,0.23888849261708822,717,0.3825146785000174,0.5607856295860265,0.2671374829611486,288,0.4362533352575899,0.536130971405462,0.30177444516307056,575,0.6862296940096569,0.7237823460515135,0.5032771317500115,98,0.5501795429560915,0.6465906964523749,0.38896095896753224,575,0.7634335987760182,0.7381494051061077,0.5501846915566728,220,0.14312904107258315,0.19406358429212384,0.09905231315948738,1344,0.33292170086423584,0.3548194693639346,0.23223828902558952,263,0.41546374913259193,0.4776816343511894,0.2911915240241763,432,0.6926675686950031,0.7034900336856742,0.5129785443410269,64,0.14210882202531722,0.20178315421715906,0.09783825881378864,1364,0.555415064955798,0.5147721574142475,0.3905275107438659,76,0.11893827060214368,0.1111029129144763,0.08133352712242961,1360,0.1834475519362651,0.1774588953974895,0.12353185156944077,523,0.2904210281997071,0.5454360142314991,0.20175332031090154,1025,0.6603136459541635,0.6920694451003474,0.49138624385234225,180,0.1504374314984098,0.29189772002853837,0.10463330071024833,672,0.42606925070485907,0.4896476419296963,0.30768358662984785,95,0.2537481170453028,0.35243159873277785,0.4614219729617551,0.480210140088562,0.3459311209164405,0.65372613116202
ABL6_ng_b02,K562,0.34934181650745844,0.5275095652471651,0.2455703522879853,671,0.6657904881140657,0.7256214543601953,0.494452906146239,111,0.2751490892824032,0.4235301314682952,0.1880121201836342,869,0.5488897578406219,0.479080083116956,0.40160967468865566,143,0.114643836101584,0.08706373719244281,0.07609127052363758,972,0.14494616458687812,0.15101020406299984,0.09673220418704903,462,0.19807648614476223,0.21195008445051794,0.13747412942703507,1247,0.2902893303391953,0.30917875715598697,0.20207853467839515,214,0.15784595037905608,0.1298513766301128,0.10871749755957592,1357,0.15049958179667397,0.16397610278098385,0.10938253204740737,236,0.4034901213551123,0.606931266493531,0.29165968208048926,633,0.6831886949483068,0.6986823151971655,0.5147213379830072,125,0.3550879986602395,0.5731614317739987,0.2437761765166743,717,0.5005900960293588,0.5790445142005551,0.35455900610824925,288,0.4187703758159303,0.4498702007485254,0.2898845574503692,575,0.6360596010663294,0.577048121039176,0.4606157886474087,98,0.5297242197559328,0.5665415156684511,0.3718857243834717,575,0.6978294534430265,0.6086140603065437,0.49018118790936366,220,0.17141304413762054,0.2177426860449819,0.11780893666041033,1344,0.39249649630723193,0.3768847804149911,0.2686931068865148,263,0.41257512326878676,0.5411245413069263,0.2967986750633402,432,0.6955089997694435,0.7229007253624067,0.5401096328762036,64,0.14566041305901542,0.1776709392734248,0.10028927681088363,1364,0.6155046692003693,0.45425853154999773,0.42168473734899753,76,0.16954139134295118,0.12317734440051051,0.1148677651626358,1360,0.21662945612017742,0.17312852354077438,0.1462432610742993,523,0.37899505758984825,0.49678148592727656,0.26542396676669916,1025,0.6725738386151384,0.6398014819747424,0.49835273237278055,180,0.16417038449588683,0.2544488080310418,0.11504389588866634,672,0.46588671183744956,0.43703942995483225,0.3480727300075123,95,0.2829656871931059,0.35915700764381353,0.49177888933428443,0.4730846056678871,0.3675523478740376,0.6500403227933776
ABL7_rs_k15,K562,0.3220473193115057,0.5345277782812315,0.22417933172643728,671,0.7683440153596396,0.7509131401794455,0.5796580310244,111,0.2714335098987257,0.374419772422695,0.18703578218881511,869,0.5877257261471703,0.5348091083656253,0.4299283055961891,143,0.10352642648119999,0.0682275105636693,0.06846595565199325,972,0.12824661323157205,0.14253394944999886,0.08450883960032884,462,0.1710777791335074,0.18966627564638106,0.11759278988458118,1247,0.26242830465843564,0.29589759740874083,0.1775681364931448,214,0.16554844215117862,0.0634081519254415,0.11291647626498663,1357,0.08953544327898903,0.034433857915616206,0.06247327938908839,236,0.3815891150344288,0.5375055168709648,0.274780936680492,633,0.6532941963733672,0.6472496486203101,0.48490121008978515,125,0.30566529049286184,0.5715931456391167,0.21127268631445106,717,0.4489098396123013,0.5772649665800922,0.3169818122984861,288,0.31142913375793113,0.27965216200995424,0.2112964283162034,575,0.3905016092961783,0.38550604528072163,0.26209270688282177,98,0.4107447772434581,0.3762592829766808,0.27888842350564735,575,0.42937698418426434,0.39969915886825436,0.2998510730114494,220,0.15336075134089505,0.20801377708976304,0.10578056549465435,1344,0.3699625645975111,0.3630607271630923,0.25480276631892756,263,0.405575906637374,0.4759658667466043,0.2864754318710811,432,0.6500690173451285,0.6539946124848346,0.47479404936559294,64,0.11864066738850916,0.21083156441435286,0.08147942195572487,1364,0.5700373701999243,0.5258718013967847,0.39335998588978693,76,0.07961918725954222,0.07336031182526846,0.05419805597226732,1360,0.09124933472556028,0.10473069596281319,0.06264000655156327,523,0.3619949970594198,0.6336728902875117,0.25067946774688293,1025,0.7237773253528084,0.7421982808422658,0.5381612382038563,180,0.16773622562422258,0.2941438670913664,0.11597130262071755,672,0.5379280155474356,0.5479567096960799,0.38528519918693344,95,0.2486659685876506,0.3260831915860668,0.44675909066068564,0.44707468668097844,0.35514838215748706,0.6537165663046185
ABL8_rs_k25,K562,0.3688926710984366,0.5959989378756314,0.25946598796959514,671,0.7716132655863385,0.7620709332526568,0.5862375773470379,111,0.3235083582161518,0.4901497552175053,0.22176551943309356,869,0.6121113402368183,0.5024494781978341,0.43963189241065853,143,0.04211339855312339,0.04786055220346015,0.028793018557231355,972,0.04858476131494169,0.10585377272852851,0.03343061963240109,462,0.1247776266845802,0.1580291472331397,0.08728176690643616,1247,0.23583658376067923,0.24845676552172818,0.16302059800189905,214,0.13645437672585106,0.05402671847560314,0.09373563293884439,1357,0.034761716082919246,0.03820499563863901,0.02627786838729906,236,0.3950900957857274,0.6008849424472353,0.2834772693850876,633,0.729589848507785,0.7317797593683311,0.5533578515142255,125,0.3582331807348043,0.6214947129554207,0.24545509201348234,717,0.4960685194457875,0.6017271010692513,0.3579530752265504,288,0.4243473858805375,0.45013870729581645,0.29490393912467255,575,0.6476775356548835,0.5770291418096979,0.4661068526111101,98,0.5356726237406254,0.5445429953512204,0.3732735620978417,575,0.7090959558536718,0.5971836678125508,0.492677866285812,220,0.17061501220270678,0.20439122679039795,0.11708296348523625,1344,0.3940522069629866,0.35582838592772187,0.2711879263935039,263,0.39678040978698575,0.5115929763064886,0.28238960088130277,432,0.6026125354486301,0.6850904010711858,0.45469694674694355,64,0.15977059708867136,0.2578136840820074,0.11030328749075517,1364,0.6619294624637599,0.5840009223411945,0.4719611711890963,76,0.11417528495376274,0.09047931596382831,0.07610964432644343,1360,0.0916334092035901,0.09581700170178155,0.06202300836320359,523,0.3320460591503427,0.5499664784897353,0.23169051434568033,1025,0.6854040335196666,0.7338056641797537,0.5191277963533732,180,0.23980248417534641,0.4101418513572159,0.16877893301045704,672,0.6189289485305715,0.6384345651536978,0.4669711071417603,95,0.2748186376518435,0.3725008001363138,0.489326674838202,0.48384883705163684,0.36185623073480194,0.6574294394282251
BEST1_ng_qs,K562,0.3453030189320694,0.5531665096758117,0.2416386414168321,671,0.7106735637096039,0.7584539297754497,0.537877911875649,111,0.3143335559308845,0.5400732864933311,0.2169428388982455,869,0.636917679026717,0.5320971548819309,0.4592370984235663,143,0.10585528156725237,0.06169358016412967,0.07049795296695098,972,0.14473368414128285,0.14162008419125402,0.10064970778340927,462,0.1385330006104574,0.18913853287390722,0.09537200897133083,1247,0.2580778895676309,0.28875869725608805,0.17827347169272034,214,0.12348646394795207,0.0184579298808393,0.08454189005114254,1357,0.045356632451064104,-0.007445391214534878,0.03518193949373923,236,0.4215177236639181,0.6316572203940354,0.3032279207188157,633,0.7050234474278546,0.7042744360930023,0.5333913310987637,125,0.3224345640840419,0.6314905860693274,0.22533164225033905,717,0.47730928918131044,0.6416865214404097,0.345298046085456,288,0.4095188265938367,0.4421001143355937,0.2809571413824476,575,0.6200929115988545,0.5566253490807568,0.44498737582764336,98,0.5522856642687995,0.5781794702853441,0.38851542892583435,575,0.7475642457831616,0.6276813603724152,0.52904614796941,220,0.1735749012335059,0.24620177799750126,0.12059296463124913,1344,0.34082794417385015,0.3430828705026976,0.23300020644068925,263,0.4625750265199047,0.5630085735445736,0.32883332867468745,432,0.6618013779105593,0.7028611983499224,0.48283289041305266,64,0.16382290552149206,0.21532108017310134,0.1132043836935173,1364,0.6453100977569186,0.5518439375943788,0.4464688948758068,76,0.18338330021306007,0.1348836088856932,0.12294618116492513,1360,0.18998721999250362,0.1505613862034785,0.1260586060551042,523,0.34134706744685894,0.5262616653963076,0.23850539191290634,1025,0.6167095032072589,0.6122269816271785,0.4574246123152057,180,0.24724822692448037,0.4264889429026617,0.1757072068322514,672,0.6324069209477255,0.6714199753389146,0.45971013754577567,95,0.28701463516390097,0.3838748586048105,0.4955194937917531,0.48504989943288945,0.3849433433903916,0.6551130018930975
CA1_contrastive,K562,0.326640691464326,0.5198747759428228,0.22566943219358665,671,0.7462140436908578,0.7572578166732811,0.5543267776822439,111,0.19481472341946002,0.3193739002201861,0.13161518974664022,869,0.4742593529629952,0.36752402432026005,0.33011998407593146,143,0.12750800791925218,0.12827545284900885,0.08404886168577817,972,0.15484220403413793,0.20094100017031774,0.10449187477214719,462,0.11222691597371949,0.11477881022985024,0.0762652670733881,1247,0.186930080657534,0.22441023846400196,0.1272248366234399,214,0.2094474977025534,0.1638779940429516,0.14325692359212477,1357,0.25049298544111726,0.23416003817810313,0.17026321335241704,236,0.3948834218049582,0.4980544335261155,0.2775419971220438,633,0.622680681181454,0.6381028722921716,0.4540438603567989,125,0.3043116942070831,0.4829459044904798,0.21081765314241896,717,0.4475594704265183,0.5604945918935667,0.32032739471509725,288,0.4146051615442824,0.4363346620204047,0.2865993660382339,575,0.6185115461883379,0.5793511605853846,0.44456498629197405,98,0.4744713148028344,0.49649392542244886,0.3285462308470069,575,0.62088836540522,0.5555117932385515,0.43741805155375474,220,0.13624723849837062,0.143457006601046,0.09342545876960659,1344,0.2589142088750739,0.2902480065976317,0.17685275385103252,263,0.42433667506358413,0.47658179602185713,0.3001238460284258,432,0.7073101046350623,0.6610069303180235,0.5240319507812841,64,0.07779681906021163,0.08113375018045249,0.05275240636980042,1364,0.16549604410541066,0.19731369730102563,0.10373940221935876,76,0.15172264533471658,0.12776926584721363,0.10166337337219841,1360,0.20741137504460636,0.18875589731257839,0.13913309147510686,523,0.2489603462976374,0.27794596225421153,0.1703796006506535,1025,0.4307807388927148,0.3215269450835855,0.3001810142824562,180,0.20829543811267878,0.23578972802715767,0.14591199250939046,672,0.4590706686140136,0.45331492889317937,0.32129790462231905,95,0.25375123941371125,0.3001791578450804,0.4234241246770036,0.41532799608811083,0.3157487916464099,0.5587577194180566
