model,GP1BB_sp_all,GP1BB_pe_all,GP1BB_sp_hc,GP1BB_pe_hc,GP1BB_sp_lc,GP1BB_pe_lc,GP1BB_n_all,GP1BB_n_hc,GP1BB_n_lc,HBB_sp_all,HBB_pe_all,HBB_sp_hc,HBB_pe_hc,HBB_sp_lc,HBB_pe_lc,HBB_n_all,HBB_n_hc,HBB_n_lc,HBG1_sp_all,HBG1_pe_all,HBG1_sp_hc,HBG1_pe_hc,HBG1_sp_lc,HBG1_pe_lc,HBG1_n_all,HBG1_n_hc,HBG1_n_lc,PKLR_sp_all,PKLR_pe_all,PKLR_sp_hc,PKLR_pe_hc,PKLR_sp_lc,PKLR_pe_lc,PKLR_n_all,PKLR_n_hc,PKLR_n_lc,mean_sp_all,mean_pe_all,mean_sp_hc,mean_pe_hc,mean_sp_lc,mean_pe_lc
ABL1_ng_a01,0.2995660896180677,0.444177063110445,0.6614880015213531,0.5280586760284713,0.11091645540017901,0.18680921879228088,869,143,726,0.38023560208683277,0.46668317713674135,0.599839848674378,0.6789703431753167,0.29224978361202864,0.33079916642566776,432,64,368,0.4013642777576144,0.6133807841750091,0.7326441327696299,0.7314342932373401,0.23411818621478514,0.19883459191156733,633,125,508,0.31003441969553835,0.47957576709945177,0.6526268467455245,0.657076447398903,0.14002630079547307,0.165424377565784,1025,180,845,0.34780009728951333,0.5009541978804117,0.6616497074277214,0.6488849399600078,0.19432768150561647,0.220466838673825
ABL2_ng_a02,0.16334970105536706,0.34339488213609987,0.4387850776272297,0.3758113388457893,0.0212479679594084,0.0778640619474118,869,143,726,0.43902705628326966,0.5319294348600574,0.6873055132803336,0.755662396625655,0.31988044707975616,0.358787727221278,432,64,368,0.30020196612754035,0.4963285375772558,0.6211781208152144,0.5585172514030436,0.12003472515883581,0.12159542632542622,633,125,508,0.320826677599432,0.548346297048608,0.6486008200685863,0.7338026174911757,0.15000055433451961,0.15786489293189263,1025,180,845,0.30585135026640226,0.47999978790550524,0.598967382947841,0.6059484010914159,0.15279092363313002,0.17902802710650217
ABL3_ng_a04,0.29019146864490436,0.44002337179290074,0.6662657922637113,0.5406055114390922,0.09207075691244312,0.13318336327073962,869,143,726,0.39603887743812366,0.46570702418025195,0.6174383895225242,0.650539854751024,0.27595125559429806,0.30582059493099595,432,64,368,0.3931547707357902,0.6369070601381059,0.722888244911121,0.7446045972335874,0.2054055551475964,0.19322976524088287,633,125,508,0.33225758158575924,0.6116834985737037,0.6656319520858,0.7365750074648777,0.16618425159625747,0.2176899627757028,1025,180,845,0.35291067460114434,0.5385802386712406,0.6680560946957891,0.6680812427221453,0.18490295481264876,0.21248092155458032
ABL4_ng_a05,0.3138478664533014,0.4729817977871402,0.6840922056606716,0.5224840534762388,0.11531009572542432,0.1868675508275171,869,143,726,0.4199240364305817,0.4877527828490265,0.6526583859855458,0.6626368041780115,0.28964804732217897,0.3487358497969626,432,64,368,0.4426844044359867,0.626720120124919,0.7094082197031593,0.7341930932838622,0.2979618912167304,0.2506741753187767,633,125,508,0.3252404372079055,0.4861258583807723,0.649365281561294,0.6952493952140789,0.15328763659568898,0.17053408334108733,1025,180,845,0.37542418613194384,0.5183951397854645,0.6738810232276677,0.6536408365380478,0.21405191771500567,0.2392029148210859
ABL5_ng_b005,0.2941757596193999,0.3881468964258251,0.6072801892885746,0.49621507829254424,0.125522812364044,0.152092390601773,869,143,726,0.41546374913259193,0.4776816343511894,0.6926675686950031,0.7035215920118196,0.29443446146619473,0.3201115330746437,432,64,368,0.3836639467140632,0.5930015658228669,0.6547414477690704,0.6462271111188911,0.21255173287057452,0.1941193424535536,633,125,508,0.2904210281997071,0.5454360142314991,0.6602344218156192,0.6920158731103575,0.10437606101820876,0.1297958900673378,1025,180,845,0.3459311209164405,0.5010665277078451,0.6537309068920668,0.6344949136334032,0.1842212669297555,0.19902978904932703
ABL6_ng_b02,0.2751490892824032,0.4235301314682952,0.5481468195894477,0.479074359056087,0.07240476746112645,0.1707752811570512,869,143,726,0.41257512326878676,0.5411245413069263,0.6955089997694435,0.72291174047455,0.27892740482987416,0.3404041326997568,432,64,368,0.4034901213551123,0.606931266493531,0.6833607673010869,0.698705310114091,0.2545704429285291,0.24706080260063173,633,125,508,0.37899505758984825,0.49678148592727656,0.672623225091114,0.6397782548150326,0.19679688851841873,0.2111886788318626,1025,180,845,0.3675523478740376,0.5170918562990072,0.649909952937773,0.6351174161149401,0.2006748759344871,0.2423572238223256
ABL7_rs_k15,0.2714335098987257,0.374419772422695,0.5882839559933566,0.5348281600698876,0.10363795782271694,0.12934181111542645,869,143,726,0.405575906637374,0.4759658667466043,0.6493128300430597,0.6539810614027972,0.3008150218492058,0.33797101507505667,432,64,368,0.3815891150344288,0.5375055168709648,0.653791977108195,0.6472304797623334,0.22332706182248113,0.2047908932549044,633,125,508,0.3619949970594198,0.6336728902875117,0.7237444010354913,0.7422013583222734,0.16038094392845578,0.2402532886284659,1025,180,845,0.35514838215748706,0.505391011581944,0.6537832910450256,0.6445602648893229,0.19704024635571493,0.22808925201846336
ABL8_rs_k25,0.2796209905403254,0.41116664695530536,0.6125115417809591,0.5449644754826874,0.10947815333343217,0.15655028616548827,869,143,726,0.41933416084824887,0.5237922587245467,0.5873742155736077,0.6281006170059847,0.34342437156073263,0.39044718408830376,432,64,368,0.38295276107995235,0.598081348923692,0.6902252250887747,0.6866079576200138,0.19232363405881794,0.19057429480868163,633,125,508,0.3068680077939903,0.6016236590772651,0.6854781132336301,0.7236019421492265,0.0993833943118051,0.15243853405096564,1025,180,845,0.34719398006562924,0.5336659784202024,0.6438972739192428,0.6458187480644781,0.18615238831619696,0.22250257477835983
BEST1_ng_qs,0.22744553773016982,0.39288610539514973,0.5307554971020148,0.4614458459121092,0.0727213671371619,0.12093992316612287,869,143,726,0.36457169908062914,0.4161827352584073,0.6439966041618489,0.5892491105519597,0.2673891495117505,0.3234675329506467,432,64,368,0.36068594063028525,0.5800584276989863,0.6315516255113801,0.6357530402121307,0.20035843120983388,0.20234012182309152,633,125,508,0.3158678608768147,0.5570751718463648,0.6000703763431027,0.6356905276777667,0.1543763187339112,0.20249671688060614,1025,180,845,0.31714275957947474,0.4865506100497271,0.6015935257795866,0.5805346310884916,0.1737113166481644,0.2123110737051168
BEST2_ng_qsn,0.25838229393501927,0.4002444794793917,0.5989867819046101,0.5169301564489461,0.08878932632234371,0.16500841197946442,869,143,726,0.3604552266809371,0.4597866715080947,0.6513751590487018,0.709560911598554,0.2552989121738977,0.2935499066339949,432,64,368,0.341190468018911,0.42447264141554986,0.4560839164845605,0.4895636830197118,0.21513797297830806,0.2020244240592507,633,125,508,0.3406611532518982,0.5987700683051543,0.6965653770901814,0.7514322838466183,0.14308625559057347,0.17404259657756935,1025,180,845,0.3251722854716914,0.4708184651770476,0.6007528086320135,0.6168717587284576,0.1755781167662807,0.20865633481256984
