model,element,n_all,spearman_all,pearson_all,n_hc,spearman_hc,pearson_hc,n_lc,spearman_lc,pearson_lc
ABL1_ng_a01,GP1BB,869,0.2995660896180677,0.444177063110445,143,0.6614880015213531,0.5280586760284713,726,0.11091645540017901,0.18680921879228088
ABL1_ng_a01,HBB,432,0.38023560208683277,0.46668317713674135,64,0.599839848674378,0.6789703431753167,368,0.29224978361202864,0.33079916642566776
ABL1_ng_a01,HBG1,633,0.4013642777576144,0.6133807841750091,125,0.7326441327696299,0.7314342932373401,508,0.23411818621478514,0.19883459191156733
ABL1_ng_a01,PKLR,1025,0.31003441969553835,0.47957576709945177,180,0.6526268467455245,0.657076447398903,845,0.14002630079547307,0.165424377565784
ABL2_ng_a02,GP1BB,869,0.16334970105536706,0.34339488213609987,143,0.4387850776272297,0.3758113388457893,726,0.0212479679594084,0.0778640619474118
ABL2_ng_a02,HBB,432,0.43902705628326966,0.5319294348600574,64,0.6873055132803336,0.755662396625655,368,0.31988044707975616,0.358787727221278
ABL2_ng_a02,HBG1,633,0.30020196612754035,0.4963285375772558,125,0.6211781208152144,0.5585172514030436,508,0.12003472515883581,0.12159542632542622
ABL2_ng_a02,PKLR,1025,0.320826677599432,0.548346297048608,180,0.6486008200685863,0.7338026174911757,845,0.15000055433451961,0.15786489293189263
ABL3_ng_a04,GP1BB,869,0.29019146864490436,0.44002337179290074,143,0.6662657922637113,0.5406055114390922,726,0.09207075691244312,0.13318336327073962
ABL3_ng_a04,HBB,432,0.39603887743812366,0.46570702418025195,64,0.6174383895225242,0.650539854751024,368,0.27595125559429806,0.30582059493099595
ABL3_ng_a04,HBG1,633,0.3931547707357902,0.6369070601381059,125,0.722888244911121,0.7446045972335874,508,0.2054055551475964,0.19322976524088287
ABL3_ng_a04,PKLR,1025,0.33225758158575924,0.6116834985737037,180,0.6656319520858,0.7365750074648777,845,0.16618425159625747,0.2176899627757028
ABL4_ng_a05,GP1BB,869,0.3138478664533014,0.4729817977871402,143,0.6840922056606716,0.5224840534762388,726,0.11531009572542432,0.1868675508275171
ABL4_ng_a05,HBB,432,0.4199240364305817,0.4877527828490265,64,0.6526583859855458,0.6626368041780115,368,0.28964804732217897,0.3487358497969626
ABL4_ng_a05,HBG1,633,0.4426844044359867,0.626720120124919,125,0.7094082197031593,0.7341930932838622,508,0.2979618912167304,0.2506741753187767
ABL4_ng_a05,PKLR,1025,0.3252404372079055,0.4861258583807723,180,0.649365281561294,0.6952493952140789,845,0.15328763659568898,0.17053408334108733
ABL5_ng_b005,GP1BB,869,0.2941757596193999,0.3881468964258251,143,0.6072801892885746,0.49621507829254424,726,0.125522812364044,0.152092390601773
ABL5_ng_b005,HBB,432,0.41546374913259193,0.4776816343511894,64,0.6926675686950031,0.7035215920118196,368,0.29443446146619473,0.3201115330746437
ABL5_ng_b005,HBG1,633,0.3836639467140632,0.5930015658228669,125,0.6547414477690704,0.6462271111188911,508,0.21255173287057452,0.1941193424535536
ABL5_ng_b005,PKLR,1025,0.2904210281997071,0.5454360142314991,180,0.6602344218156192,0.6920158731103575,845,0.10437606101820876,0.1297958900673378
ABL6_ng_b02,GP1BB,869,0.2751490892824032,0.4235301314682952,143,0.5481468195894477,0.479074359056087,726,0.07240476746112645,0.1707752811570512
ABL6_ng_b02,HBB,432,0.41257512326878676,0.5411245413069263,64,0.6955089997694435,0.72291174047455,368,0.27892740482987416,0.3404041326997568
ABL6_ng_b02,HBG1,633,0.4034901213551123,0.606931266493531,125,0.6833607673010869,0.698705310114091,508,0.2545704429285291,0.24706080260063173
ABL6_ng_b02,PKLR,1025,0.37899505758984825,0.49678148592727656,180,0.672623225091114,0.6397782548150326,845,0.19679688851841873,0.2111886788318626
ABL7_rs_k15,GP1BB,869,0.2714335098987257,0.374419772422695,143,0.5882839559933566,0.5348281600698876,726,0.10363795782271694,0.12934181111542645
ABL7_rs_k15,HBB,432,0.405575906637374,0.4759658667466043,64,0.6493128300430597,0.6539810614027972,368,0.3008150218492058,0.33797101507505667
ABL7_rs_k15,HBG1,633,0.3815891150344288,0.5375055168709648,125,0.653791977108195,0.6472304797623334,508,0.22332706182248113,0.2047908932549044
ABL7_rs_k15,PKLR,1025,0.3619949970594198,0.6336728902875117,180,0.7237444010354913,0.7422013583222734,845,0.16038094392845578,0.2402532886284659
ABL8_rs_k25,GP1BB,869,0.2796209905403254,0.41116664695530536,143,0.6125115417809591,0.5449644754826874,726,0.10947815333343217,0.15655028616548827
ABL8_rs_k25,HBB,432,0.41933416084824887,0.5237922587245467,64,0.5873742155736077,0.6281006170059847,368,0.34342437156073263,0.39044718408830376
ABL8_rs_k25,HBG1,633,0.38295276107995235,0.598081348923692,125,0.6902252250887747,0.6866079576200138,508,0.19232363405881794,0.19057429480868163
ABL8_rs_k25,PKLR,1025,0.3068680077939903,0.6016236590772651,180,0.6854781132336301,0.7236019421492265,845,0.0993833943118051,0.15243853405096564
BEST1_ng_qs,GP1BB,869,0.22744553773016982,0.39288610539514973,143,0.5307554971020148,0.4614458459121092,726,0.0727213671371619,0.12093992316612287
BEST1_ng_qs,HBB,432,0.36457169908062914,0.4161827352584073,64,0.6439966041618489,0.5892491105519597,368,0.2673891495117505,0.3234675329506467
BEST1_ng_qs,HBG1,633,0.36068594063028525,0.5800584276989863,125,0.6315516255113801,0.6357530402121307,508,0.20035843120983388,0.20234012182309152
BEST1_ng_qs,PKLR,1025,0.3158678608768147,0.5570751718463648,180,0.6000703763431027,0.6356905276777667,845,0.1543763187339112,0.20249671688060614
BEST2_ng_qsn,GP1BB,869,0.25838229393501927,0.4002444794793917,143,0.5989867819046101,0.5169301564489461,726,0.08878932632234371,0.16500841197946442
BEST2_ng_qsn,HBB,432,0.3604552266809371,0.4597866715080947,64,0.6513751590487018,0.709560911598554,368,0.2552989121738977,0.2935499066339949
BEST2_ng_qsn,HBG1,633,0.341190468018911,0.42447264141554986,125,0.4560839164845605,0.4895636830197118,508,0.21513797297830806,0.2020244240592507
BEST2_ng_qsn,PKLR,1025,0.3406611532518982,0.5987700683051543,180,0.6965653770901814,0.7514322838466183,845,0.14308625559057347,0.17404259657756935
BEST3_ng_hn,GP1BB,869,0.2713809072586959,0.3534151200720635,143,0.4899205733903731,0.40585634010445354,726,0.11154614011613971,0.15178372689465425
